mug	kan
mugginess	zwoelheid
muggy	benauwd
muggy	broeierig
muggy	drukkend
muggy	zwoel
mulberry	moerbei
mulct	geldboete
mule	muildier
mule	muiltje
mule	pantoffel
multicolored	bont
multicolored	veelkleurig
multicoloured	bont
multicoloured	veelkleurig
multifarious	verschillend
multiple	veelvoud
multiply	multipliceren
multiply	vergroten
multiply	vermenigvuldigen
multitude	boel
multitude	drom
multitude	hoop
multitude	massa
multitude	menigte
multitude	schare
multitude	stapel
multitude	tas
multitude	troep
mum	mam
mum	mamma
mum	stil
mum	stilte
mumble	gemompel
mummy	mamma
mummy	mummie
mundane	aards
mundane	alledaags
municipality	gemeente
munificent	vrijgevig
munitions	munitie
murder	moord
murk	donker
murk	duister
murk	duisternis
murky	donker
murky	duister
murky	somber
murmur	brommen
murmur	gemompel
murmur	gemurmel
murmur	mompelen
murmur	morren
murmur	mummelen
murmur	murmelen
murmur	ruisen
murmur	suizeling
muscle	spier
muse	muze
mush	moes
mush	pap
mushroom	champignon
mushroom	paddestoel
mushroom	zwam
music	muziek
musical	muzikaal
musically	muzikaal
musician	musicus
musician	muzikant
musician	speelman
musician	toonkunstenaar
musk	muskus
musket	geweer
muss	rommel
muss	warboel
must	behoren
must	dienen
must	horen
must	moeten
must	schimmel
must	zullen
mustache	knevel
mustache	snor
mustard	mosterd
musty	beschimmeld
musty	duf
musty	muf
musty	vuns
musty	vunzig
mutable	onbestendig
mutable	veranderlijk
mutable	wispelturig
mutation	verandering
mute	sprakeloos
mute	stom
muted	zwijgend
mutinous	oproerig
mutinous	opstandig
mutiny	muiterij
mutt	mormel
mutter	brommen
mutter	gemompel
mutter	mompelen
mutter	morren
mutter	mummelen
mutter	murmelen
mutter	rommelen
mutter	ruisen
muttering	gemompel
mutton	schaap
mutton	schapevlees
mutual	onderling
mutual	wederkerig
mutual	wederzijds
mutuality	wederkerigheid
mutually	onderling
mutually	wederkerig
muzzle	bek
muzzle	muil
muzzle	muilband
muzzle	muilkorf
my	m'n
my	mijn
myriad	myriade
myriad	ontelbaar
myrrh	mirre
myrtle	mirte
myself	mij
myself	zelf
mysterious	geheimzinnig
mysterious	mysterieus
mysterious	raadselachtig
mysteriously	mysterieus
mystery	geheim
mystery	geheimenis
mystery	mysterie
mystery	raadsel
mystic	mysticus
mystic	mystiek
mysticism	mysticisme
mysticism	mystiek
myth	legende
myth	mythe
mythology	mythologie
nab	inrekenen
nacelle	gondel
nacre	paarlemoer
nag	paard
nail	draadnagel
nail	nagel
nail	nagelen
nail	spijker
nail	spijkeren
naive	argeloos
naive	naïef
naive	ongekunsteld
naive	onnozel
naked	bloot
naked	kaal
naked	louter
naked	naakt
naked	onbedekt
naked	onopgesmukt
naked	open
nakedness	naaktheid
name	benaming
name	benoemen
name	dopen
name	heten
name	naam
name	naamwoord
name	noemen
named	genaamd
nameless	anoniem
nameless	naamloos
nameless	onbekend
namesake	naamgenoot
nanny	kinderjuffrouw
nanny-goat	geit
nap	druilen
nap	dutten
nap	haar
nap	sluimeren
nape	nek
napkin	servet
narcissus	narcis
narcosis	narcose
narcotize	narcotiseren
nark	ergeren
narrate	debiteren
narrate	verhalen
narrate	vertellen
narration	verhaal
narration	vertelling
narrative	relaas
narrative	verhaal
narrative	verslag
narrative	vertelling
narrative	vertelsel
narrow	begrenzen
