loathful	100-2556-B
loathing	100-2578-B,100-2594-B,100-2611-B
loathsome	100-2628-B
lobby	100-2651-B,100-2662-B,100-2672-B
lobster	100-2688-B,100-2703-B,100-2725-B
local	100-2743-B,100-2761-B,100-2774-B
localise	100-2792-B
locality	100-2813-B
localize	100-2829-B
locally	100-2850-B,100-2865-B
locate	100-2885-B,100-2902-B,100-2916-B,100-2932-B,100-2948-B,100-2967-B
location	100-2986-B,100-3006-B,100-3020-B,100-3036-B,100-3052-B
loch	101-0-B,101-10-B,101-20-B
lock	101-35-B,101-50-B,101-59-B,101-68-B,101-82-B,101-98-B,101-108-B,101-119-B,101-132-B,101-142-B
locket	101-158-B
lockjaw	101-175-B
loco	101-191-B
locomotive	101-207-B
locust	101-229-B
lodestone	101-247-B
lodge	101-265-B,101-281-B,101-298-B,101-308-B
lodger	101-319-B
lodging	101-334-B,101-351-B
loft	101-366-B
loftiness	101-378-B
lofty	101-401-B,101-412-B,101-423-B,101-435-B
log	101-450-B,101-463-B,101-477-B
logarithm	101-489-B
logic	101-509-B
logical	101-522-B,101-541-B
loin	101-557-B,101-568-B
lone	101-579-B,101-592-B
lonely	101-606-B,101-621-B
lonesome	101-637-B,101-654-B
long	101-672-B,101-683-B,101-693-B
longbow	101-703-B
longing	101-720-B,101-738-B,101-756-B,101-779-B
look	101-793-B,101-806-B,101-819-B,101-828-B,101-838-B,101-862-B,101-875-B,101-885-B,101-897-B,101-912-B,101-926-B,101-944-B,101-959-B,101-972-B,101-985-B,101-995-B
looker	101-1006-B
looker on	101-1020-B
looking	78-452-S,78-470-S
looks	101-1042-B
loom	101-1057-B
loony	101-1073-B
loop	101-1083-B,101-1092-B,101-1102-B,101-1113-B
loophole	101-1124-B
loose	101-1143-B,101-1153-B,101-1168-B,101-1179-B
loosely	101-1190-B
loot	101-1202-B,101-1212-B,101-1227-B,101-1242-B,101-1252-B
loquacious	101-1263-B,101-1285-B,101-1306-B
lord	101-1328-B,101-1338-B,101-1353-B,101-1363-B
lordship	101-1375-B
lorraine	1-2501-B
lorry	101-1397-B,101-1409-B,101-1426-B
lose	101-1444-B,101-1457-B,101-1472-B,101-1487-B,101-1502-B
loss	101-1517-B,101-1530-B,101-1542-B,101-1554-B,101-1570-B,101-1581-B
lost	101-1594-B
lot	101-1608-B,101-1620-B,101-1629-B,101-1638-B,101-1647-B,101-1657-B,101-1665-B,101-1676-B,101-1688-B
loth	101-1699-B
lottery	101-1712-B,101-1728-B
loud	101-1746-B,101-1756-B,101-1768-B,101-1784-B,101-1794-B,101-1811-B,101-1826-B
loudly	101-1837-B,101-1851-B,101-1867-B
lough	101-1879-B
lounge	101-1890-B,101-1906-B,101-1919-B,101-1931-B,101-1943-B
louse	101-1959-B
love	101-1970-B,101-1984-B,101-2000-B,101-2012-B
loveless	101-2028-B
lovely	101-2048-B,101-2065-B,101-2080-B,101-2099-B,101-2117-B,101-2135-B,101-2151-B,101-2167-B,101-2179-B,101-2192-B,101-2210-B,101-2226-B,101-2242-B,101-2254-B,101-2270-B,101-2282-B,101-2299-B,101-2311-B,101-2322-B,101-2339-B,101-2355-B,101-2371-B,101-2385-B,101-2402-B,101-2417-B
