afschieten	52-2483-B
afschilderen	119-595-B
afschrift	42-143-B,57-251-B,177-2046-B,177-2084-B
afschrik	2-1897-B,3-342-B,86-329-B
afschuw	2-1917-B,3-363-B,51-61-B,53-772-B,82-1783-B,86-345-B,100-2594-B,115-995-B
afschuwelijk	2-2038-B,3-198-B,18-559-B,51-37-B,53-849-B,63-3419-B,76-1929-B,80-1079-B,83-2249-B,84-1612-B,86-20-B,86-65-B,86-273-B,100-2556-B,100-2628-B,108-2722-B,111-166-B,115-975-B,118-625-B,182-542-B,185-1060-B
afslaan	47-3172-B,81-1242-B,164-2076-B
afslachten	28-240-B,104-1416-B,156-1339-B
afslag	2-1056-B,17-457-B,52-3127-B,138-818-B
afslijten	3-1093-B,73-569-B,188-0-B
afsluitboom	75-1776-B
afsluiten	18-2280-B,19-1021-B,19-2235-B,23-1219-B,35-1753-B,59-3561-B,69-943-B,101-35-B,114-2869-B,115-95-B,129-2306-B,154-1681-B,164-2089-B,172-2292-B
afsluiter	149-2981-B,164-2468-B
afsluiting	19-2361-B,68-187-B,83-1921-B
afspiegeling	139-1637-B,139-1770-B
afspoelen	75-1085-B,144-1566-B,169-3229-B,187-1244-B
afspraak	4-2214-B,4-3085-B,9-1192-B,14-2495-B,41-2674-B,46-2540-B,141-68-B,179-1398-B,181-148-B
afspreken	9-973-B,14-2403-B,152-332-B
afstaan	31-901-B,140-2012-B,142-1298-B,192-59-B
afstammeling	50-468-B,50-548-B,115-2257-B
afstammen	5-264-B,37-264-B,50-436-B,93-3518-B,117-1575-B,142-3537-B,161-1283-B
afstamming	11-2650-B,50-359-B,50-644-B,100-390-B,117-1394-B
afstand	2-1299-B,31-2744-B,53-3767-B,98-2569-B,125-1487-B,141-202-B,141-578-B,142-1394-B,159-1869-B,187-2526-B
afstand doen van	141-140-B
afstoffen	57-552-B
afstompen	23-2259-B,47-312-B,56-2603-B
afstotelijk	115-1271-B,141-1021-B,141-1060-B,141-3097-B
afstoten	141-1006-B
afstropen	70-1075-B,156-329-B
afstuiten	138-1137-B
aftakking	24-2806-B,25-1623-B
aftands	47-3331-B,51-3120-B,97-1100-B,143-3391-B
aftappen	50-397-B,55-2074-B,171-870-B
aftekenen	49-188-B,55-2446-B,100-85-B,118-218-B
aftellen	42-2623-B
aftreden	2-1263-B,64-985-B,142-1313-B,142-1414-B
aftrek	2-1073-B,104-372-B,147-1407-B
aftrekken	48-181-B,91-357-B,167-1672-B,190-925-B
aftrekking	167-1691-B
aftuigen	174-752-B
afvaardigen	48-2947-B,50-82-B
afvaardiging	48-2987-B,50-37-B
afvaart	49-2744-B
afval	47-1037-B,75-872-B,95-1317-B,139-2332-B,140-2231-B,142-2724-B,146-270-B,146-408-B,149-1716-B,177-3486-B
afvallen	56-1268-B,66-801-B,97-1070-B,187-1424-B
afvallig	12-3493-B,97-1115-B,181-1053-B
afvallige	12-3511-B,141-88-B
afvegen	190-255-B
afvoer	177-3168-B
afvoeren	58-3305-B,140-3351-B
afvuren	69-1301-B,97-2536-B
afwachting	64-1581-B
afwassen	187-1259-B
afwateren	55-2089-B
afweer	48-692-B,48-932-B
afwegen	188-706-B
afwennen	181-2756-B
afwerpen	131-2803-B,192-73-B
afwezig	3-2056-B,3-2088-B,183-765-B
afwezigheid	3-1889-B,154-185-B,154-290-B
afwijkend	2-1443-B,51-409-B,54-2007-B,183-2567-B
afwijzing	47-2378-B,53-1836-B,139-2280-B,140-537-B
afwikkelen	100-858-B,152-349-B
afwikkeling	182-1114-B
afwisseling	10-2686-B,32-323-B,54-2068-B,140-1721-B,183-2636-B,183-2808-B
afwissen	108-3029-B,190-268-B
afzenden	50-1861-B,53-2153-B,151-53-B,153-2174-B
afzender	151-175-B
afzet	104-516-B,147-1419-B,147-1500-B
afzetgebied	104-386-B
afzetten	11-1489-B,46-77-B,49-3312-B,52-2881-B,56-1282-B,75-1294-B,140-3367-B,164-2104-B,178-2216-B
afzetting	42-464-B
afzienbaar	72-114-B
afzonderen	50-2661-B,54-2390-B,92-1312-B,93-3443-B,150-425-B,150-818-B,150-2358-B,151-1229-B,151-1800-B
afzonderlijk	12-2720-B,120-1704-B,150-2748-B,151-1249-B,151-1391-B,152-822-B,152-912-B,155-1640-B,159-2925-B
agaat	8-2698-B
agape	8-2669-B
agenda	8-2886-B,51-1823-B
agent	8-2933-B,40-1818-B,127-1551-B
agentschap	8-2813-B
ageren	5-3757-B
agglomeratie	8-3049-B
agglutineren	8-3106-B
aggregaat	8-3284-B
aggregatie	8-3304-B
agio	9-75-B,129-3495-B
agitator	9-624-B
agiteren	9-133-B
agonie	9-841-B
agrafe	34-2394-B
agrarier	9-1401-B,66-2703-B
agrarisch	9-954-B,9-1378-B
agressie	8-3378-B
agressief	8-3458-B
agronomie	9-1475-B
ahorn	103-3345-B
air	9-2024-B,13-548-B,15-1658-B,65-786-B,101-819-B,154-2316-B,185-560-B
ajuin	116-491-B
akelig	52-824-B,76-1950-B,79-2514-B,79-2858-B,80-1101-B,86-87-B
akker	68-1986-B
akkerbouw	9-1497-B,66-2765-B,175-477-B
akkoord	4-2237-B,4-3101-B,4-3230-B,9-1211-B,14-2516-B,33-2150-B,38-2174-B,39-814-B,152-496-B
akoestiek	5-2681-B
akoestisch	5-2661-B
akte	5-3768-B,31-2365-B,48-241-B,52-649-B,54-3374-B,119-2310-B,173-303-B
al	10-613-B,10-2256-B,10-2790-B,12-2523-B,57-1097-B,62-3218-B,62-3327-B,174-439-B,191-2910-B
al te	118-2136-B
alarm	9-2556-B,9-2701-B,9-3149-B
albaans	1-110-B
albanees	1-127-B
albast	9-2539-B
albino	9-2770-B
album	9-2784-B
albumine	9-2861-B
alchimie	9-2878-B
alcohol	9-2895-B,24-1808-B,100-938-B,160-2323-B
alcoholhoudend	9-2911-B
alcoholisch	9-2936-B
alcoholisme	9-3020-B
aldoor	31-870-B,41-730-B,41-1099-B
aldus	157-2475-B,174-2106-B
aleer	21-101-B,61-3305-B
alfabet	10-2216-B
alge	10-13-B
algebra	10-60-B
algemeen	26-2135-B,37-2495-B,37-2687-B,75-2820-B,75-2948-B,76-17-B,94-2414-B,133-2698-B,181-2373-B,181-2413-B,186-958-B,191-263-B
algerie	1-145-B
algoritme	10-94-B
alhoewel	9-2738-B,10-2802-B,174-449-B
alibi	10-145-B
alimentatie	10-465-B,103-365-B
alinea	89-3611-B,119-2876-B
alkali	10-564-B
alkalisch	10-594-B
alkoof	9-3090-B
alle	10-620-B,12-2530-B
alle twee de	24-2498-B
allebei	24-2516-B
alledaags	19-121-B,37-2511-B,37-2743-B,46-968-B,53-1401-B,62-3246-B,110-596-B,117-912-B,136-229-B,164-1442-B,178-2553-B,178-2758-B,186-974-B
alleen	10-1993-B,63-2756-B,95-1477-B,106-752-B,116-533-B,155-1531-B,155-1619-B,155-1660-B,158-1258-B,158-1396-B,158-2140-B
alleenhandel	108-2440-B
alleenheerschappij	17-2189-B
alleenheerser	17-2239-B
alleenspraak	108-2379-B,158-2077-B
allegorie	10-954-B
allegorisch	10-860-B,10-905-B
allemaal	10-629-B,10-2907-B,62-3227-B,62-3339-B
allen	10-642-B
allereerst	69-2060-B,69-2165-B,130-3645-B
allergie	10-1033-B
allergisch	10-1013-B
allerhande	10-652-B
