fauteuil	14-1659-B
favoriet	67-1350-B,67-1745-B
fazant	124-688-B
februari	1-1712-B
federatie	67-2404-B
fee	67-1815-B,125-2126-B
feest	31-1158-B,67-2152-B,68-1075-B
feestmaal	19-845-B,67-2164-B
feestvieren	31-1047-B,67-2180-B
feilloos	67-976-B,67-995-B
feit	65-3333-B
feitelijk	6-981-B,6-1137-B,89-3345-B,129-792-B,137-2774-B,185-2157-B
fel	3-1128-B,5-3478-B,5-3541-B,6-1419-B,68-2091-B,92-2483-B,92-2590-B,148-888-B,152-2885-B
felheid	5-1653-B,153-318-B
feliciteren	39-3117-B
feminisme	68-139-B
feminist	68-158-B
feniks	124-959-B
fenomeen	124-704-B
ferm	24-281-B,25-1968-B,43-200-B,60-1080-B,67-2059-B,69-1781-B,74-2629-B,163-1414-B,166-2231-B
ferment	68-417-B
fermenteren	68-433-B
festijn	67-2198-B
festiviteit	31-1176-B,31-1957-B,68-1090-B
fiasco	66-107-B,68-1554-B
fiat	4-1708-B,9-1229-B,13-2427-B,123-1156-B
fictie	68-1658-B
fictief	68-1711-B,68-1772-B
fiducie	39-1970-B,66-549-B,179-946-B
fier	101-401-B,133-1091-B
fiets	22-778-B,22-1043-B,46-451-B
figurant	57-39-B,65-2090-B
figuur	32-1032-B,68-2457-B,88-77-B,123-2306-B,124-2240-B,163-880-B
fijn	20-1949-B,46-1028-B,48-3248-B,48-3389-B,69-632-B,81-2428-B,101-2167-B,112-1217-B,167-1485-B,171-1597-B
fiks	166-589-B,166-730-B
filantroop	124-766-B
filantropie	124-792-B
filatelie	124-817-B
file	68-2701-B,100-135-B,136-2813-B,145-2556-B,165-3031-B,179-2574-B
filet	156-1809-B
filiaal	8-1186-B,8-1276-B,25-1679-B
filigraan	68-2758-B
film	69-85-B
filmcamera	29-304-B
filmkunst	33-2928-B
filmster	162-2492-B
filoloog	124-837-B
filosofie	124-900-B
filosoof	124-858-B
filter	69-131-B,165-778-B
filtreren	69-253-B,165-535-B
finaal	34-3015-B,47-1981-B,61-863-B,69-297-B,135-2852-B,189-974-B
financieel	69-380-B,69-421-B
financieren	69-360-B
firma	37-3629-B,69-1791-B
fiscus	63-2372-B
fit	83-449-B,188-1125-B
fitten	92-17-B,92-87-B
fixeren	16-2230-B,67-227-B,69-2813-B,70-59-B,150-1224-B
fjord	69-1165-B,70-165-B
fladderen	70-1655-B
flakkeren	70-589-B,70-1343-B
flambouw	70-605-B,176-1222-B
flank	70-508-B,154-2011-B
flap	23-1922-B
flard	136-1404-B,154-1230-B,171-1637-B
flat	12-2771-B,70-745-B,70-830-B
flatteren	59-626-B
flauw	52-55-B,56-2648-B,70-755-B,89-739-B,97-821-B,157-14-B,166-2059-B
flegma	124-945-B
fles	24-2605-B,70-347-B
flets	119-1136-B,147-1681-B,187-0-B
flikken	105-3323-B,121-505-B
flikkeren	70-620-B,70-1361-B,77-897-B
flink	25-1979-B,26-1844-B,29-1668-B,38-685-B,55-1335-B,58-1514-B,69-1802-B,74-2642-B,158-1858-B,159-962-B,164-3036-B,167-826-B,174-192-B,175-0-B
flirten	70-1671-B,74-2931-B,124-748-B
flits	70-668-B,99-2139-B
flodderen	186-1184-B
floers	43-2583-B,71-335-B,107-3199-B,184-601-B
flop	66-122-B,68-1568-B
floreren	70-2173-B,133-128-B
floret	71-441-B
fluisteren	189-412-B
fluit	68-2231-B,71-111-B,125-1090-B,189-493-B
fluiten	84-3096-B,125-1101-B,170-235-B,189-507-B,189-718-B,189-743-B
fluitje	125-1114-B,189-523-B
fluor	70-2752-B
fluweel	184-746-B
focus	71-291-B
foedraal	25-750-B,30-1575-B,30-1760-B,40-3647-B,95-890-B
foefje	54-3556-B,76-2469-B,146-2224-B,167-1264-B,178-1707-B,178-1801-B
foetus	68-1323-B
folie	71-453-B
folklore	71-651-B
foltering	176-1755-B
fond	80-320-B
fonds	175-412-B
fonetiek	124-1041-B
fonetisch	124-1022-B
fonkelen	77-946-B,77-1021-B,149-772-B,159-2473-B,180-660-B
fonograaf	124-1097-B
fontein	72-2553-B
fooi	18-2265-B,79-814-B,123-1807-B,175-1356-B
fopspeen	37-809-B,57-54-B,118-2957-B
forceren	71-2214-B,185-1602-B
forel	179-405-B
formaat	72-784-B,155-2459-B,163-895-B
formeren	72-683-B,152-2433-B
formule	72-1048-B
formuleren	72-1079-B,190-2380-B
formulier	72-697-B
fors	69-1813-B,166-2243-B,167-844-B
fort	72-1388-B,72-1534-B
fortuin	50-2380-B,67-532-B,72-1682-B
forum	72-1756-B,119-1807-B
fosfor	124-1162-B,124-1178-B
fossiel	72-1968-B
fotograaf	124-1275-B
fotograferen	124-1196-B
fototoestel	29-322-B
fout	2-1498-B,24-932-B,62-16-B,62-152-B,67-952-B,89-2755-B,107-3262-B,191-2276-B
foutief	62-31-B,62-86-B,67-1030-B,191-2287-B
fraai	20-1964-B,69-642-B,81-2442-B,101-2179-B,111-1788-B
fractuur	72-2949-B
fragiel	72-3027-B
fragment	72-3083-B,102-628-B,124-2520-B
framboos	137-783-B
franje	73-2072-B
frankeerzegel	162-1561-B
frankeren	162-1581-B
frankering	128-2216-B
fransman	1-1768-B
frase	124-1316-B,151-755-B
frauderen	48-2094-B,169-3304-B
fregat	73-1819-B
fregatvogel	73-1834-B
fris	41-3781-B,73-1279-B,73-1412-B,138-1755-B
frisheid	73-1438-B
frivool	73-2179-B,73-2234-B
frommelen	44-230-B,44-1474-B
frons	74-1637-B,191-2037-B
fronsen	96-1241-B
front	73-2549-B,73-2604-B
fronton	73-2681-B
fruiten	73-3009-B
frustreren	73-2942-B
fuga	73-3087-B
fuif	31-1200-B,68-1111-B
fuiven	31-1069-B
functie	74-565-B
fundament	71-1726-B,72-2333-B,167-1196-B
fundamenteel	20-68-B,74-722-B
funderen	62-1151-B,72-2184-B
funest	67-631-B,87-2547-B
furie	74-1868-B
fust	19-2047-B,30-1790-B
fut	60-1152-B,134-2041-B
futiliteit	178-1953-B
fysica	124-1619-B
fysiek	124-1490-B,124-1506-B
gaaf	92-1911-B
gaai	94-1316-B
gaan	56-1627-S,77-2392-B,120-2804-B,144-1412-B,159-974-B,163-2273-B,178-60-B,186-2319-B,190-2641-B
gaanderij	74-2772-B
gaap	191-2608-B
gaarne	66-166-B,77-188-B,137-2489-B,189-2369-B
gaas	75-2326-B
gadeslaan	65-2696-B,107-210-B,114-2333-B,187-1641-B
gaelisch	1-1802-B
gage	121-2153-B,147-1307-B,186-1352-B,186-1477-B
gal	22-1099-B,74-2550-B
galant	43-656-B,68-1447-B,74-2656-B,127-1737-B
galei	74-2881-B
galerie	74-2790-B
galerij	74-2806-B
galg	74-2976-B,76-2042-B
gallicisme	74-2894-B
gallium	74-2915-B
galmen	34-2008-B,57-2444-B,121-2862-B,142-2054-B,144-1422-B
galnoot	74-2559-B
