gut	darm
guts	ingewanden
gutter	geul
gutter	goot
gutter	groef
guv	baas
guv	chef
guy	pop
guzzle	zuipen
gymnastics	gymnastiek
gypsum	gips
gypsy	zigeuner
gyrate	ronddraaien
habit	gebruik
habit	gewoonte
habit	kleed
habit	usance
habitant	bewoner
habitant	inwoner
habitation	bewoning
habitation	woning
habitation	woonplaats
habitual	gewoon
habitually	gewoon
habituate	wennen
hack	hakken
hack	houw
hack	houweel
hack	houwen
hack	kappen
hack	kerf
hack	schoffel
hack	slag
hack	snee
hackneyed	afgezaagd
hackneyed	banaal
haemorrhage	bloeding
haft	heft
hag	heks
haggle	afdingen
haggle	marchanderen
haggle	pingelen
hail	aanroepen
hail	begroeten
hail	hagel
hail	praaien
hailstone	hagelkorrel
hailstone	hagelsteen
hair	borstel
hair	haar
hair	haren
hairbrush	haarborstel
hairdo	coiffure
hairdo	kapsel
hairdresser	kapper
haired	harig
hairy	harig
hairy	ruig
hairy	ruigharig
halberd	hellebaard
halcyon	rustig
half	half
half	helft
half-light	schemering
halfway	halfweg
halfway	halverwege
hall	eetzaal
hall	gang
hall	hal
hall	vestibule
hall	zaal
hallmark	stempel
hallow	heiligen
hallucination	hallucinatie
hallucination	waanvoorstelling
hallucination	zinsbedrog
hallucination	zinsbegoocheling
hallway	gang
halo	aureool
halo	nimbus
halo	stralenkrans
halt	aanhouden
halt	afslaan
halt	halte
halt	keren
halt	rust
halt	stilhouden
halt	stilleggen
halt	stilstaan
halt	stilstand
halt	stilzetten
halt	stoppen
halt	stuiten
halter	halster
halve	halveren
halyard	val
ham	ham
hamlet	buurtschap
hamlet	gehucht
hamlet	vlek
hammer	haan
hammer	hamer
hammer	kloppen
hammer	slaan
hammock	hangmat
hamper	belemmeren
hamper	hinderen
hamper	mand
hamster	hamster
hamstring	verlammen
hand	aangeven
hand	aanreiken
hand	afdragen
hand	arbeider
hand	hand
hand	overbrengen
hand	overgeven
hand	overhandigen
hand	toereiken
hand	werker
hand	werkkracht
hand	werkman
handbook	handboek
handbook	handleiding
handgrip	handvat
handicap	belemmeren
handicap	belemmering
handicap	hindernis
handicap	hinderpaal
handicraft	ambacht
handicraft	beroep
handicraft	handwerk
handicraft	vak
handiness	handigheid
handiwork	handwerk
handkerchief	zakdoek
handle	bedienen
handle	behandelen
handle	gevest
handle	greep
handle	hals
handle	handelen
handle	handvat
handle	hanteren
handle	heft
handle	hengsel
handle	klink
handle	knop
handle	kruk
handle	manipuleren
handle	onderhandelen
handle	oor
handle	steel
handle	vat
handle	verhandelen
handle	verwerken
handling	behandeling
handout	aalmoes
handrail	leuning
handsome	fijn
handsome	fraai
handsome	knap
handsome	mooi
handsome	net
handsome	royaal
handsome	schoon
handwriting	handschrift
handy	doelmatig
handy	gemakkelijk
handy	gepast
handy	geschikt
handy	handig
handy	passend
hang	hangen
hang	ophangen
hang	opknopen
hanger-on	klaploper
hanging	hangen
hangman	beul
hank	streng
hankie	zakdoek
hanky	zakdoek
hap	gebeuren
hap	geschieden
haphazard	toevallig
happen	gebeuren
happen	geschieden
happen	toegaan
happen	voorkomen
happen	voortgang hebben
happen	voorvallen
happen	worden
happening	gebeurtenis
happening	voorval
happily	gelukkig
happiness	geluk
happy	blij
happy	gelukkig
happy-go-lucky	zorgeloos
harangue	toespraak
