12	1-11-B
a	2-613-B,2-619-B
abacus	2-626-B,2-640-B,2-657-B
abaft	2-672-B
abandon	2-685-B,2-702-B
abandoned	2-718-B
abandonment	2-737-B,2-756-B,2-778-B,2-806-B
abase	2-828-B,2-845-B,2-860-B,2-877-B
abasement	2-898-B
abash	2-920-B,2-942-B
abashment	2-958-B,2-979-B,2-996-B,2-1015-B,2-1033-B
abatement	2-1056-B,2-1073-B,2-1090-B,2-1111-B,2-1129-B
abbacy	2-1145-B
abbey	2-1158-B
abbot	2-1170-B
abbreviate	2-1180-B,2-1200-B,2-1220-B
abbreviation	2-1240-B
abdicate	2-1263-B,2-1281-B
abdication	2-1299-B,2-1318-B,2-1341-B,2-1366-B
abdomen	2-1391-B,2-1404-B
abduction	2-1422-B
aberrant	2-1443-B
aberration	2-1462-B,2-1479-B,2-1498-B,2-1514-B
abet	2-1536-B,2-1551-B,2-1567-B,2-1579-B,2-1591-B,2-1606-B,2-1624-B,2-1638-B,2-1653-B,2-1665-B,2-1678-B,2-1692-B
abetter	2-1705-B,2-1724-B,2-1742-B
abettor	2-1764-B,2-1783-B,2-1801-B
abhor	2-1823-B,2-1842-B
abhorrence	2-1858-B,2-1879-B,2-1897-B,2-1917-B,2-1936-B,2-1958-B,2-1975-B,2-2000-B,2-2019-B
abhorrent	2-2038-B,2-2061-B
abide	2-2080-B,2-2094-B,2-2110-B,2-2127-B,2-2140-B,2-2153-B,2-2166-B,2-2182-B,2-2196-B,2-2212-B,2-2228-B,2-2243-B,2-2255-B,2-2271-B,2-2287-B,2-2303-B,2-2320-B,2-2336-B,2-2352-B
abiding	2-2366-B,2-2384-B,2-2397-B
ability	2-2417-B,2-2437-B,2-2456-B,2-2470-B
abject	2-2487-B,2-2504-B,2-2520-B,2-2537-B,2-2552-B,2-2567-B,2-2583-B,2-2600-B
abjure	2-2620-B,2-2638-B,2-2655-B,2-2672-B
ablative	2-2690-B
able	2-2708-B,2-2722-B,2-2735-B,2-2748-B,2-2761-B,2-2776-B,2-2791-B,2-2803-B,2-2815-B,2-2830-B
ably	2-2846-B,2-2859-B,2-2871-B,2-2883-B
abnegate	2-2896-B,2-2915-B,2-2934-B
abnegation	2-2951-B,2-2972-B,2-2995-B
abnormal	2-3024-B,2-3043-B
abnormality	2-3065-B,2-3091-B,2-3112-B
abnormally	2-3141-B
abnormity	2-3162-B
abode	2-3186-B,2-3202-B,2-3217-B,2-3230-B,2-3247-B,2-3260-B
abolish	2-3277-B,2-3296-B,2-3315-B,2-3333-B,2-3351-B,2-3370-B
abolishment	2-3390-B,2-3414-B,3-0-B
abolition	3-25-B,3-47-B,3-68-B,3-89-B,3-110-B,3-128-B,3-151-B
abominable	3-174-B,3-198-B,3-222-B
abominate	3-242-B,3-258-B,3-281-B
abomination	3-301-B,3-323-B,3-342-B,3-363-B,3-383-B,3-402-B,3-425-B,3-443-B,3-469-B,3-489-B
aboriginal	3-509-B,3-532-B,3-551-B
abort	3-570-B
abortion	3-585-B
abortive	3-602-B,3-617-B,3-636-B,3-656-B,3-674-B
abound	3-695-B,3-710-B,3-726-B,3-741-B,3-758-B
about	3-773-B,3-783-B,3-799-B,3-817-B,3-829-B,3-838-B,3-848-B,3-857-B,3-871-B,3-886-B,3-895-B,3-906-B,3-922-B,3-933-B,3-946-B,3-956-B
about face	3-968-B
above	3-984-B,3-994-B,3-1006-B,3-1022-B,3-1035-B,3-1044-B
aboveboard	3-1055-B,3-1074-B
abrade	3-1093-B,3-1110-B
abrasive	3-1128-B,3-1141-B,3-1156-B
abridge	3-1172-B,3-1189-B,3-1206-B
abridgement	3-1223-B,3-1243-B,3-1265-B,3-1285-B
abridgment	3-1308-B
abroad	3-1330-B,3-1344-B
abrogate	3-1362-B,3-1382-B,3-1401-B,3-1420-B
abrogation	3-1440-B,3-1463-B,3-1485-B,3-1507-B,3-1529-B
abrupt	3-1553-B,3-1567-B,3-1579-B,3-1593-B,3-1616-B,3-1634-B
abruptly	3-1647-B,3-1663-B,3-1679-B
abruptness	3-1699-B,3-1720-B
abscess	3-1739-B,3-1753-B,3-1771-B,3-1791-B
abscissa	3-1805-B
abscond	3-1821-B,3-1837-B,3-1854-B
absence	3-1872-B,3-1889-B,3-1909-B,3-1923-B,3-1938-B,3-1952-B,3-1967-B,3-1988-B,3-2010-B,3-2026-B
absent	3-2042-B,3-2056-B,3-2071-B
absently	3-2088-B
absentmindedness	3-2105-B
