aziatisch	1-495-B
azie	1-471-B
azijn	185-1509-B
azimut	18-972-B
azuren	18-987-B
baai	20-939-B,22-999-B
baaierd	32-796-B
baan	25-2274-B,34-177-B,42-1392-B,43-370-B,74-531-B,94-1982-B,115-1821-B,117-62-B,120-2987-B,121-751-B,128-2067-B,144-2407-B,145-2384-B,177-482-B,177-1463-B,187-2538-B,189-1700-B
baanbrekend	125-814-B
baanbreker	125-834-B,177-1104-B
baar	19-1035-B,22-907-B,22-1370-B,30-1684-B,127-1320-B,145-344-B,165-2105-B,168-3311-B,187-2264-B
baard	20-1614-B
baardeloos	20-1658-B
baardig	20-1626-B
baarmoeder	183-163-B,190-1887-B
baars	122-2448-B
baas	24-2353-B,33-730-B,78-1229-B,81-62-B,98-715-B,104-1597-B
baat	7-2643-B,17-2856-B,21-2168-B,74-2269-B,132-16-B
baatzucht	150-2919-B
babbelen	18-1000-B,22-2333-B,32-2630-B,32-2670-B,78-955-B,94-603-B,121-1419-B,129-1251-B,129-1266-B
babbelziek	32-2737-B,101-1263-B
baby	18-1063-B
bacil	18-1151-B,27-464-B,76-1257-B
bacterie	18-1716-B
bacteriologie	18-1689-B
bad	20-493-B,52-515-B,179-1424-B
baden	20-515-B,20-569-B
badgast	20-554-B
badjas	20-583-B
badkuip	20-502-B,179-1432-B
badplaats	159-1855-B
bagage	18-2041-B,96-889-B,102-353-B
bagatel	178-1920-B
bajonet	20-991-B
bak	22-1451-B,25-681-B,33-404-B,34-939-B,40-3603-B,68-632-B,94-2609-B,95-864-B,119-1736-B,171-665-B,179-234-B,179-1444-B,184-142-B,188-1106-B
bakboord	97-1242-B,128-613-B
baken	19-277-B,27-1589-B,189-2594-B
bakermat	43-2164-B
bakkebaard	189-331-B,189-363-B
bakken	18-2179-B,18-2251-B,73-2987-B
bakker	18-2222-B
bakkerij	18-2203-B,18-2235-B
bakoven	118-1357-B
baksteen	26-479-B
bakstenen	26-494-B
bal	18-2583-B,25-609-B,33-2602-B,35-1568-B,46-1606-B,77-1172-B,102-568-B,119-1379-B,158-1270-B,160-1558-B,173-129-B
balanceren	145-178-B,170-43-B
balans	18-2298-B,61-2884-B,148-1983-B
baldadig	187-443-B
balie	18-2897-B,19-1044-B,119-3145-B,136-1671-B,178-1529-B
