kwiteren	138-1465-B
la	55-2733-B
laag	19-2720-B,19-2810-B,20-2508-B,36-556-B,36-611-B,48-363-B,72-2094-B,87-2300-B,98-307-B,101-2627-B,101-2712-B,101-2775-B,105-473-B,105-618-B,107-1985-B,111-286-B,127-490-B,159-431-B,161-2215-B,165-1375-B,173-2475-B,174-2797-B,185-1115-B,185-1193-B,185-1382-B,186-1031-B
laaghartig	19-2730-B,101-2636-B,105-483-B,111-297-B,185-1125-B,185-1205-B
laan	10-1121-B,17-3240-B
laars	24-1647-B,24-1774-B
laat	21-864-B,97-2108-B,171-1129-B
laatdunkend	14-3036-B,14-3158-B
laatst	60-525-B,69-310-B,84-2659-B,97-1842-B,97-2261-B
laatstleden	97-1854-B
label	62-2282-B,96-1902-B,170-2074-B,170-2443-B
laboratorium	96-1872-B,96-2023-B
labyrint	96-2397-B,104-3099-B
lach	97-2399-B
lachbui	97-2519-B
lachen	97-2410-B,97-2467-B
lachwekkend	97-2445-B,144-241-B,144-1916-B
laconiek	96-2564-B
ladder	96-2724-B,148-1816-B
lade	55-2743-B
laden	27-1733-B,32-1589-B,73-989-B,96-2790-B,100-2344-B
ladenkast	56-434-B
lading	27-1746-B,30-472-B,32-1602-B,73-1003-B,96-2815-B,100-2355-B,100-2402-B,153-2270-B
laf	43-1535-B,43-1578-B
lafaard	43-1546-B,127-2183-B
lafhartig	43-1561-B,43-1591-B,43-2817-B
lagune	97-43-B,97-57-B
lak	59-2399-B,96-2492-B,96-2581-B,119-921-B,183-3103-B
lakei	70-2738-B,71-1790-B,96-2551-B,96-2662-B
laken	35-2384-B,138-1275-B,153-1140-B
lakken	59-2410-B,96-2503-B,96-2593-B,183-3115-B
lakmoes	100-1631-B
lakwerk	96-2517-B,96-2608-B
lam	97-140-B
lama	97-130-B,100-2268-B
lamleggen	119-2994-B
lamp	27-809-B,97-371-B,99-1768-B
lampepit	189-1349-B
lampje	27-819-B
lamprei	97-432-B
lamsvlees	97-149-B
lancet	70-1111-B,97-507-B
land	42-3064-B,57-1613-B,68-2011-B,97-594-B,158-968-B
landauer	97-650-B
landbouw	9-1519-B,66-2783-B,87-336-B,175-495-B,175-526-B
landbouwer	9-1448-B,9-1585-B,66-2732-B
landbouwkunde	9-1540-B
landen	10-258-B,53-520-B,97-604-B
landengte	94-11-B
landgoed	55-322-B,62-1444-B,66-2673-B,132-2659-B
landhuis	185-1257-B
landing	50-694-B,53-537-B,97-681-B
landingsplaats	124-2656-B
landkaart	103-3321-B
landman	42-3163-B,66-2750-B,87-317-B,122-13-B,146-2461-B
landmeter	169-854-B
landschap	97-749-B,148-2624-B,148-2695-B
landsgrens	24-1967-B
landstreek	97-616-B,139-2962-B,172-2900-B
landverhuizer	59-1286-B
lang	79-1399-B,98-2635-B,101-693-B,171-10-B
langdurig	98-2648-B
lange broek	119-2217-B,179-366-B
langer	74-1724-B,109-109-B,116-181-B
langs	10-2059-B,22-550-B,28-830-B,121-0-B
langzamerhand	78-1941-B,78-1963-B
lankmoedig	98-2687-B
lans	97-448-B,159-2815-B
lantaarn	97-381-B,97-961-B
lap	35-2396-B,136-1414-B,171-1650-B
lapidair	97-1052-B
lappen	105-3352-B,121-519-B
larderen	97-1317-B
lariks	97-1277-B
larve	80-967-B,97-1550-B
lasso	97-1522-B,97-1774-B
last	27-1760-B,32-1616-B,59-3456-B,100-2367-B,116-746-B,118-3079-B,171-1823-B,178-1316-B,188-779-B
lastbrief	37-2127-B,103-2086-B
lastig	18-639-B,51-2446-B,82-171-B,82-333-B,83-1719-B,116-436-B,176-2586-B,179-194-B,179-1368-B
lat	19-1096-B,20-671-B,97-2275-B,156-1292-B
laten	10-1364-B,31-67-B,76-1683-B,98-1530-B,98-2906-B,103-832-B,115-3101-B
laten schieten	98-2916-B
latent	55-892-B,97-2218-B,128-3170-B
later	8-2236-B,8-2439-B,97-2249-B,167-224-B
latrine	97-2328-B
latuw	99-227-B
latwerk	178-822-B
laurier	97-2650-B
lauw	88-607-B,90-658-B,102-428-B,172-2182-B
lauwer	97-2665-B
lava	97-2679-B
lavement	36-197-B
laven	139-2001-B
lavendel	97-2717-B
lawaaierig	101-1768-B,112-2754-B
lawine	17-2960-B
laxeermiddel	98-150-B
lector	98-1799-B
leden	71-920-B,120-2658-B
leder	98-1361-B
lederen	98-1375-B
ledig	23-57-B,59-2183-B,183-667-B,183-782-B,183-966-B,186-167-B
ledigen	59-2195-B,62-2369-B,186-178-B
leed	8-1765-B,12-761-B,79-2208-B,119-316-B,159-624-B
leeftijd	8-2710-B
leeg	23-69-B,59-2209-B,73-777-B,183-680-B,183-797-B,186-191-B
leeggieten	175-1378-B
leegte	23-80-B,59-2156-B,183-652-B,183-951-B,186-201-B
leek	98-339-B
leen	67-2451-B,68-1962-B
leengoed	67-2460-B,68-1972-B
leenman	68-1347-B,99-1239-B,183-3223-B
leer	13-2138-B,54-3360-B,98-1391-B,171-2078-B
leerachtig	98-1404-B,98-1465-B
leergang	34-2580-B,43-421-B
leerlooien	171-359-B
leerschool	149-415-B
leerstelling	55-126-B,172-1756-B
leerstoel	98-1746-B,133-3509-B
leerstuk	55-145-B,172-1775-B
leesbaar	98-2247-B,137-2458-B
leest	186-1927-B,186-2036-B
leeuw	100-703-B
leeuwerik	97-1535-B,156-784-B
leeuwetand	46-1672-B
leeuwin	100-714-B
lef	17-754-B,24-469-B,43-141-B,46-2102-B
legaal	98-2060-B,98-2102-B
legaat	21-2550-B,98-2030-B,98-2135-B
legatie	98-2170-B
legen	59-2220-B
legende	98-2187-B,110-2226-B
leger	14-2077-B,86-840-B
legerafdeling	54-2807-B
legering	10-1577-B
legerkorps	42-909-B
legermacht	14-2088-B
legerstede	20-2517-B
leggen	98-210-B,100-2902-B,125-2278-B,134-2173-B,152-0-B
legioen	98-2264-B
legitimeren	98-2315-B,98-2396-B
lei	156-1314-B
leiden	32-646-B,39-1385-B,41-2199-B,52-931-B,78-1077-B,80-2183-B,82-2820-B,98-570-B,103-1721-B,145-2395-B,146-1765-B,153-1626-B,179-2640-B
leider	98-796-B
leiding	52-1146-B,103-1967-B
leidsel	140-366-B
leidsman	98-810-B,125-360-B
leisteen	152-2046-B,156-1324-B
lekker	46-1097-B,48-3327-B,48-3424-B,102-1091-B,171-1608-B,192-541-B
lekkerbek	75-1731-B
lekkernij	48-3211-B
lelie	99-2686-B
lemmer	22-2679-B
lemmet	22-2692-B
lende	82-1948-B,101-568-B
lendestuk	68-2974-B
lenen	24-2246-B,24-2259-B,76-2988-B,84-3035-B,98-2512-B,100-2452-B
lenig	9-38-B,70-1278-B,100-1033-B,100-1063-B,100-1510-B,100-1541-B,112-1841-B,168-1905-B
lening	100-2463-B
lens	59-2232-B,77-567-B,98-2753-B,186-213-B
lente	161-1344-B,161-1555-B
lentemaand	1-2538-B
lenzen	59-2243-B
lepel	161-449-B,161-461-B
lepra	98-2808-B
leraar	92-1010-B,104-1722-B,149-518-B,149-613-B,171-1982-B,180-238-B
lerares	108-53-B,149-590-B,149-634-B,171-1997-B
leren	98-1213-B,98-1423-B,98-1450-B,149-433-B,171-1936-B
les	98-2895-B
lessenaar	50-1648-B,98-1764-B
lethargie	99-83-B
letten op	187-1695-B
letter	32-1113-B,99-130-B,180-1140-B
lettergreep	170-646-B
letterkunde	100-1427-B
letterkundig	100-1368-B
letterlijk	100-1309-B,100-1347-B,173-547-B,184-1450-B
lettertype	72-2967-S
leugen	66-1170-B,68-1609-B,99-1167-B
leugenachtig	102-1655-B,106-74-B
leuk	11-1767-B,61-331-B,74-1053-B
leuning	19-0-B,81-2411-B,119-3192-B,132-1956-B,136-1601-B,136-1730-B,168-2235-B
leuningstoel	14-1677-B
leunstoel	14-1699-B
leuren	122-532-B
leus	109-1413-B,156-2522-B,187-1851-B
leuze	109-1424-B,156-2534-B,187-1866-B
leven	64-892-B,99-1313-B,100-1847-B,100-2187-B,167-575-B,185-2889-B
levend	10-521-B,11-3531-B,12-39-B,100-1858-B,100-2200-B
levende have	100-2104-B
levendig	7-1975-B,9-50-B,9-3208-B,10-534-B,12-0-B,12-55-B,25-48-B,26-307-B,26-1184-B,26-1868-B,94-1187-B,100-1870-B,100-2030-B,100-2214-B,106-562-B,135-1630-B,160-2264-B,161-1264-B,185-2955-B,185-3043-B
levendigheid	12-73-B,99-1324-B,100-1977-B,135-1876-B,185-2993-B
levenloos	47-227-B,89-823-B,99-1402-B
levenslot	50-2396-B,67-545-B,72-1712-B
levensmiddelen	71-1072-B,71-1171-B,71-1192-B,71-1242-B,79-3029-B,133-1605-B
levensonderhoud	100-1929-B,100-2230-B,169-1527-B
lever	100-2062-B
leveren	49-431-B,74-1447-B,134-1874-B,168-2037-B
levering	49-624-B
lexicon	99-508-B
lezen	77-741-B,123-3190-B,137-2376-B,137-2559-B
lezenaar	50-1663-B,98-1782-B
lezer	98-1813-B,137-2476-B
lezing	98-1826-B,123-3175-B,137-2573-B
liaan	99-682-B
libel	55-2003-B,119-1642-B
liberaal	99-711-B
licentie	99-910-B,99-999-B
lichaam	23-2879-B,123-2320-B,158-1896-B
lichaamsbouw	27-571-B,72-3274-B,163-928-B
licht	26-1200-B,29-989-B,35-151-B,57-2076-B,57-2308-B,65-3220-B,66-217-B,70-1463-B,76-544-B,99-1779-B,99-2069-B,106-3007-B,119-1147-B,156-1993-B,156-2025-B,187-2728-B,187-2749-B
lichten	59-2256-B,153-2056-B
lichtend	26-1213-B,99-1791-B
lichtgelovig	44-822-B,44-845-B,80-2676-B
lichtgevend	136-930-B
lichttoren	99-1985-B
lichtzinnig	73-2197-B,73-2254-B,76-2162-B,99-1881-B,99-1906-B
lid	94-2500-B,99-2697-B,105-2885-B,150-1020-B,150-2309-B,168-2508-B
lidmaat	99-2706-B,105-2896-B,168-2522-B
lidmaatschap	105-2911-B
lidwoord	15-349-B
lied	18-2680-B,30-650-B,32-731-B,32-772-B,98-221-B,158-3064-B,179-2218-B
lieden	71-689-B,122-1900-B,123-2540-B
lief	8-366-B,21-1428-B,46-2427-B,47-735-B,64-2180-B,73-1700-B,96-166-B,101-2270-B,101-2466-B,112-1293-B,169-2456-B,169-2631-B
liefdadig	32-1769-B
liefde	101-2000-B
liefdeloos	101-2028-B,180-2519-B,181-2595-B,181-2994-B
liefdemaal	8-2681-B
liefelijk	76-557-B,158-701-B,172-1444-B
liefhebben	101-2012-B
liefhebber	11-0-B,66-2060-B,101-2477-B
liefhebberij	65-3454-B,85-499-B
liefheid	96-440-B,169-2752-B
liefje	21-1441-B,101-2494-B,108-70-B,169-2647-B
liefst	129-2910-B,137-1191-B
liefste	21-1456-B,47-745-B,101-2507-B,169-2665-B
liegen	68-1620-B,99-1178-B
lier	102-1707-B
lies	79-3064-B
lieveheersbeestje	96-2890-B
lieveling	67-1388-B,67-1785-B,107-811-B
liever	69-2115-B,129-2928-B,137-1205-B
lift	58-3141-B,85-623-B,99-1478-B
liga	39-3690-B,98-986-B
