petrol	benzine
petroleum	olie
petroleum	petroleum
petticoat	onderrok
pettish	balorig
pettish	kregel
pettish	nukkig
pettish	slechtgehumeurd
pettishly	nukkig
petty	gering
petty	klein
petty	onbeduidend
petty	onbetekenend
petulant	balorig
petulant	gemelijk
petulant	kregel
petulant	slechtgehumeurd
pew	zitplaats
pewit	kieviet
pewit	kievit
pewter	tin
pfennig	pfennig
phalanx	vingerkootje
phantasy	fantasie
phantasy	verbeeldingskracht
phantom	blinde
phantom	droombeeld
phantom	geest
phantom	schim
phantom	spook
phantom	verschijning
pharmaceutics	farmacie
pharmacist	apotheker
pharmacist	farmaceut
pharmacy	apotheek
pharmacy	farmacie
phase	fase
phase	kwartier
phase	schijngestalte
phase	stadium
pheasant	fazant
phenomenon	fenomeen
phenomenon	verschijnsel
philander	flirten
philanthropist	filantroop
philanthropy	filantropie
philately	filatelie
philologist	filoloog
philosopher	filosoof
philosopher	wijsgeer
philosophy	filosofie
philosophy	wijsbegeerte
phlegm	flegma
phoenix	feniks
phone	opbellen
phone	telefoneren
phone	telefoon
phonetic	fonetisch
phonetics	fonetiek
phonetics	klankleer
phoney	bedrieger
phonograph	fonograaf
phonology	klankleer
phony	onecht
phony	vals
phosphor	fosfor
phosphorus	fosfor
photograph	fotograferen
photograph	kieken
photograph	opname
photograph	portret
photographer	fotograaf
phrase	bewoording
phrase	frase
phrase	gezegde
phrase	inkleden
phrase	uitdrukken
phrase	uitdrukking
phrase	zin
phrase	zinsnede
phrenetic	dol
phrenetic	woest
phthisis	longtering
phthisis	tering
physical	fysiek
physically	fysiek
physician	arts
physician	dokter
physician	geneesheer
physician	medicus
physicist	natuurkundige
physics	fysica
physics	natuurkunde
physiognomy	gelaatstrekken
pianist	pianist
piano	klavier
piano	piano
piano	vleugel
piano	vleugelpiano
pianoforte	piano
pianoforte	vleugel
pianoforte	vleugelpiano
piazza	plein
piazza	veranda
pick	afbreken
pick	afplukken
pick	afrukken
pick	hakken
pick	keur
pick	keus
pick	keuze
pick	kiezen
pick	plukken
pick	uitkiezen
pickax	houweel
pickax	pikhouweel
picket	paal
picket	post
picket	staak
pickle	inleggen
pickle	inmaken
pickle	pekelen
pickle	zouten
picky	kieskeurig
picnic	picknick
pictorial	schilderachtig
picture	afbeelden
picture	afbeelding
picture	beeld
picture	beeltenis
picture	doek
picture	figuur
picture	plaat
picture	portret
picture	prent
picture	schilderij
picture	schildering
picture	schilderstuk
picture	tafereel
picture	voorstelling
picturesque	schilderachtig
picturesquely	schilderachtig
pie	pastei
pie	taart
piece	bonk
piece	brok
piece	deel
piece	eindje
piece	fragment
piece	gedeelte
piece	homp
piece	onderdeel
piece	stuk
piece	stukje
pieplant	rabarber
pier	aanlegplaats
pier	aanlegsteiger
pier	landingsplaats
pier	steiger
pierce	binnendringen
pierce	doordringen
pierce	priemen
pierce	prikken
piercing	doordringend
piety	vroomheid
piffle	onzin
pig	varken
pig	varkensvlees
pig	zwijn
pigeon	duif
pigeon	houtduif
pigeon	ringduif
pigeon	woudduif
pigheaded	koppig
piglet	big
pigment	kleurstof
pigment	pigment
pigmy	dwerg
pigmy	dwergachtig
pigmy	pygmee
pike	piek
pike	snoek
pilaster	pilaster
pile	boel
pile	brandstapel
pile	drom
pile	heipaal
pile	hooiopper
pile	hoop
pile	massa
pile	menigte
pile	opper
pile	paal
pile	schare
pile	stapel
pile	tas
pile	troep
pile	zuil
piles	aambeien
pilfer	gappen
