staatsburger	34-1156-B
stabiel	40-2018-B,41-653-B,123-1063-B,162-131-B,163-524-B
stad	27-1896-B,34-1222-B,177-209-B
stadie	162-316-B,162-523-B
stadion	162-331-B
stadium	124-674-B,162-347-B,162-536-B
stads	182-2336-B
stadswijk	54-1500-B,135-731-B
staf	20-630-B,29-1109-B,102-1853-B,145-418-B,162-379-B,163-1125-B,163-2882-B,187-20-B
staken	165-2876-B
staketsel	68-275-B,119-1289-B
staking	165-2890-B
stal	43-1686-B,106-2301-B,162-146-B,162-1399-B,166-1401-B,166-2417-B
stalactiet	162-1159-B
stalagmiet	162-1203-B
stalen	82-278-B,172-167-B
stalletje	19-1787-B,96-790-B,153-811-B,162-1410-B,162-1945-B
stalling	75-761-B
stam	24-562-B,34-1847-B,136-699-B,136-1075-B,145-1303-B,163-2063-B,164-1533-B,165-668-B,178-1480-B,179-877-B
stamboom	75-2801-B
stamelen	162-1494-B,166-2382-B
stamhuis	57-998-B
stampen	45-259-B,129-150-B,162-1636-B
stamper	123-3529-B,125-1342-B
stamvader	11-2595-B,71-2727-B,132-320-B
stand	10-2883-B,34-2607-B,39-1104-B,48-2596-B,78-1888-B,83-2141-B,99-417-B,117-741-B,128-1326-B,128-1521-B,128-2828-B,131-3480-B,137-23-B,137-965-B,149-1196-B,152-161-B,155-2248-B,162-1695-B,162-1961-B,163-283-B,163-649-B,163-1006-B
stand van zaken	155-2264-B
standaard	60-3104-B,70-225-B,162-2153-B
standaardmaat	113-452-B
standbeeld	88-143-B,163-862-B
stander	21-1712-B,57-2013-B,190-2931-B
standhouden	60-883-B,97-1871-B
standje	138-1288-B,141-2621-B,141-2818-B,149-922-B
standpunt	128-1536-B,162-2353-B,185-849-B
standvastig	40-2035-B,41-671-B,69-1943-B,93-1839-B,123-1081-B,162-158-B,163-1252-B,163-1326-B,163-1519-B
standvastigheid	40-1881-B
stang	19-1152-B,122-2472-B,127-1420-B,136-1640-B,145-427-B
stank	103-1472-B,103-1486-B,115-1053-B,115-1173-B,127-2523-B,139-1086-B,157-1097-B,163-2113-B,164-1050-B
stanza	162-2410-B
stap	48-2609-B,109-2529-B,118-2874-B,163-2353-B,165-2552-B,178-369-B,186-2396-B
stapel	5-631-B,44-96-B,44-2657-B,83-647-B,91-2372-B,102-2108-B,104-1384-B,109-1725-B,110-456-B,114-772-B,124-3184-B,162-260-B,164-1670-B
stapelen	5-451-B,83-659-B
stappen	162-1334-B,163-2363-B,165-2564-B,178-380-B,186-2406-B
star	70-88-B,144-1065-B,152-171-B,163-2976-B
staren	75-2452-B,122-835-B,162-2598-B
starter	163-40-B
statica	163-578-B
statie	162-550-B,163-663-B,164-2226-B
statig	74-2737-B,103-505-B,112-2354-B,158-1533-B,158-1626-B
statigheid	103-616-B
station	49-3432-B,162-563-B,163-678-B,164-2238-B
stationair	109-1016-B
stationeren	100-2948-B,125-2413-B
stationschef	163-733-B
stationsgebouw	163-694-B
statisch	163-539-B
statistiek	163-806-B
statistisch	163-760-B,163-782-B
status	78-1900-B,137-34-B,163-1019-B
statuur	163-965-B
statuut	163-1049-B
staven	5-2358-B,16-3489-B,17-1795-B,39-2326-B,42-1526-B,62-1253-B,63-44-B,95-1803-B,133-1172-B,168-2343-B,184-1768-B
stearine	163-1766-B
stedeling	34-1177-B,177-219-B
steeds	10-3065-B,62-3028-B,62-3202-B
steeg	10-1142-B,97-780-B
steek	94-582-B,101-1102-B,119-1882-B,130-3422-B,159-2107-B,162-50-B,164-799-B,164-1388-B,174-1813-B,180-647-B
steekhoudend	183-1563-B
steekmug	77-2315-B
steekspel	176-2764-B,176-2805-B
steel	19-2097-B,32-687-B,81-2314-B,83-2736-B,96-1327-B,125-1181-B,152-1778-B,152-2316-B,162-1348-B,163-2073-B,179-1548-B
steelpan	30-1886-B,148-679-B
steen	26-551-B,28-2115-B,94-1702-B,145-280-B,164-1880-B
steen en been klagen	97-282-B
steengruis	79-1022-B,79-2914-B
steenhouwer	104-1230-B,164-1933-B,164-1957-B
steenkool	36-312-B
steenpuist	24-127-B
steevast	62-2743-B,140-71-B,140-141-B
steg	83-1959-B
steiger	94-1651-B,124-2676-B,188-1805-B
steil	3-1634-B,123-1544-B,129-1901-B,137-275-B,153-162-B,153-1091-B,163-1819-B,163-1845-B
steilheid	3-1699-B,163-1859-B
steilte	3-1720-B,163-1879-B
stekel	130-3434-B,130-3534-B,135-2522-B,160-1912-B,160-2137-B,164-811-B,174-128-B
stekelvarken	128-392-B
steken	94-592-B,112-543-B,125-2431-B,126-685-B,127-1251-B,128-114-B,130-3447-B,130-3549-B,134-2073-B,134-2197-B,162-61-B,163-2893-B,164-824-B,174-1826-B
stekker	126-3086-B,164-2512-B
stel	27-1349-B,75-375-B,80-575-B,108-409-B,152-180-B
stelen	28-1077-B,99-1567-B,134-1304-B,146-2506-B,163-1607-B,170-222-B,173-2529-B
steler	173-2516-B
stelkunde	10-76-B
stellage	21-1726-B,57-2027-B,75-610-B,162-1973-B,190-2949-B
stellen	38-2042-B,58-441-B,80-1916-B,92-1590-S,125-2444-B,128-1337-B,130-2308-B,134-2208-B,152-189-B,168-2571-B,169-153-B
stelletje	152-201-B
stellig	15-2660-B,31-2039-B,31-2184-B,128-1661-B,128-1754-B,168-3044-B,168-3132-B
stelligheid	31-2283-B
stelling	132-3301-B,151-821-B,173-1592-B,173-2297-B
stelregel	129-1641-B,131-633-B
stelsel	139-2867-B,149-60-B,170-1867-B
stelselmatig	170-1918-B,170-1966-B,170-2018-B
stelt	164-215-B
stem	120-1379-B,120-2683-B,154-2057-B,186-130-B,186-703-B,186-883-B
stemband	166-15-B
stembuiging	108-1381-B
stemgeluid	186-141-B
stemhebbend	159-65-B,185-3143-B
stemmen	17-422-B,179-2241-B,186-713-B
stemmig	3-2801-B,49-1905-B,57-1510-B,151-2342-B,158-97-B,162-714-B
stemmigheid	158-186-B
stemming	18-2779-B,18-2795-B,54-2849-B,127-2034-B,127-2048-B,172-1242-B,179-2308-B,186-726-B,186-753-B
stempel	28-1325-B,81-1024-B,89-72-B,104-325-B,131-775-B,134-234-B,149-3045-B,162-1650-B
stempelen	96-1914-B,128-2445-B,162-1664-B
stenen	164-1892-B
stengel	22-2730-B,82-1923-B,152-2328-B,162-1360-B,163-2084-B
stenig	164-1905-B
stenigen	164-1918-B
stenograaf	141-1929-B,163-2189-B
stenografie	154-486-B,163-2237-B
steppe	163-2458-B
ster	125-1071-B,162-2521-B
stereometrie	163-2472-B
stereoscoop	163-2497-B
stereotiep	163-2543-B,163-2566-B
stereotype	163-2521-B
sterfelijk	109-472-B,109-508-B
sterfgeval	47-850-B
steriel	15-1308-B,19-2201-B,90-3111-B,163-2612-B
steriliseren	163-2628-B
sterk	6-1508-B,25-2103-B,26-2094-B,48-373-B,69-1960-B,82-557-B,84-1737-B,92-2576-B,92-2641-B,101-1826-B,106-2784-B,128-3137-B,129-662-B,129-716-B,145-151-B,165-0-B,166-645-B,166-779-B,166-2296-B,175-222-B,184-538-B,185-948-B
sterk werkend	55-2301-B
sterke drank	100-966-B
sterken	39-2341-B,72-1482-B
sterkte	71-2300-B,71-2384-B,72-1407-B,72-1548-B,128-3105-B,129-585-B,135-326-B,165-1755-B,185-1045-B
sterrenbeeld	40-2246-B
sterrenkunde	16-1313-B
sterrenkundige	16-1216-B
sterrenwacht	114-2292-B
sterrenwichelaar	16-1118-B
sterrenwichelarij	16-1167-B
sterretje	16-736-B,162-2531-B,162-2672-B
sterven	47-1418-B,51-2098-B,64-3041-B,123-831-B
stervensnood	9-918-B
steun	9-1807-B,55-184-B,83-2551-B,132-1996-B,142-2822-B,168-2358-B
steunen	2-1692-B,18-1239-B,24-622-B,25-1068-B,60-559-B,90-1493-B,98-1105-B,103-328-B,121-1401-B,132-2007-B,142-2833-B,150-563-B,168-2372-B,169-1457-B,182-1364-B
steunpilaar	36-3022-B,125-210-B
steur	166-2350-B
steurgarnaal	129-1297-B
stevig	67-143-B,69-1971-B,69-2016-B,83-1286-B,83-2084-B,102-1456-B,104-1540-B,145-164-B,158-1937-B,162-177-B,163-3035-B,166-2309-B,167-880-B,175-96-B
stevigheid	158-2057-B
stichten	27-616-B,31-130-B,58-383-B,61-3406-B,62-1270-B,72-2246-B,92-735-B,126-698-B,152-435-B
stichter	72-2473-B
stichting	62-1378-B,72-2414-B
stiekem	163-1638-B
stier	27-973-B,171-1714-B
stierenvechter	176-1250-B
stijfhoofdig	114-2724-B,166-1205-B
stijl	94-1004-B,127-1431-B,128-2175-B,162-1125-B,162-1757-B,166-2451-B,182-1831-B
stikken	33-1774-B,135-2546-B,157-1601-B,164-0-B,164-1401-B,165-1206-B,167-2961-B
stikstof	112-2129-B
stil	28-2752-B,109-1038-B,110-521-B,112-2688-B,112-2726-B,135-2068-B,135-2237-B,135-2352-B,142-2953-B,150-1593-B,155-160-B,155-200-B,164-137-B,164-203-B,166-2713-B,177-1681-B
stileren	58-454-B,166-2522-B
stilhouden	81-1287-B,85-764-B,164-2251-B
stilist	17-1862-B,191-2261-B
stilleggen	81-1303-B,164-2267-B
stillen	13-702-B,29-0-B,108-906-B,118-3023-B,135-2248-B,159-293-B,164-148-B
stilstaan	81-1319-B,162-632-B,164-2283-B
stilstand	31-2724-B,81-1334-B,162-651-B,162-1988-B,162-2374-B,164-2298-B,164-2449-B
