dodge	list
dodgy	slim
doe	hinde
dog	achtervolgen
dog	hond
dog	vervolgen
doge	doge
dogged	hardnekkig
dogged	koppig
dogma	dogma
dogma	leerstelling
dogma	leerstuk
doing	doen
dole	aalmoes
dole	steun
doleful	droevig
doleful	treurig
doll	pop
doll	tonnetje
dollar	dollar
dolorous	pijnlijk
domain	domein
domain	gebied
domain	goed
domain	landgoed
dome	dom
dome	gewelf
dome	koepel
domestic	eigen
domestic	huiselijk
domestic	inheems
domestic	inlands
domestic	vertrouwd
domesticate	temmen
domesticated	huiselijk
domicile	domicilie
domicile	woonplaats
dominate	heersen
dominion	gebied
dominion	heerschappij
domino	domino
donate	cadeau geven
donate	schenken
donation	donatie
donation	geschenk
donation	gift
donation	schenking
done	gebeuren
donkey	ezel
doom	lot
doom	noodlot
doom	ondergang
doom	veroordelen
door	deur
door	ingang
door	portier
doorkeeper	portier
doorman	portier
doorway	ingang
dope	bedwelmen
dormant	latent
dosage	dosis
dose	dosis
dossier	bestand
dossier	dossier
dot	oog
dot	punt
dot	spikkel
dot	stip
dot	stippelen
double	dubbel
double	duplex
double	nasynchroniseren
double	tweeledig
double	tweevoudig
double	verdubbelen
doubly	dubbel
doubly	tweeledig
doubly	tweevoudig
doubt	dubben
doubt	twijfel
doubt	twijfeling
doubtful	onzeker
doubtful	twijfelachtig
douche	douche
douche	stortbad
dough	beslag
dough	deeg
dough	pasta
doughty	dapper
doughty	flink
doughty	koen
dour	ruw
dove	duif
down	beneden
down	dons
down	naar
down	neerwaarts
down	nesthaar
down	omlaag
down	onder
down	verslaan
down	waas
downfall	ondergang
downright	bepaald
downright	rechtstreeks
downstairs	beneden
downstairs	daarbeneden
downstairs	onder
downward	neerwaarts
dowry	bruidsschat
doze	druilen
doze	dutten
doze	sluimeren
dozen	dozijn
dozen	twaalftal
dozer	bulldozer
drab	saai
drachm	drachme
drachma	drachme
draco	draak
draft	concept
draft	klad
draft	ontwerp
draft	ontwerpen
draft	schets
draft	traite
draft	trekken
draftee	rekruut
drag	boegseren
drag	slepen
drag	trekken
drag	voorttrekken
dragon	draak
dragon	vlieger
dragonfly	juffertje
dragonfly	libel
dragonfly	waterjuffer
dragoon	dragonder
drain	afgieten
drain	aftappen
drain	afwateren
drain	draineren
drain	droogleggen
drake	woerd
drama	drama
drama	toneelstuk
dramaturgy	dramaturgie
drape	draperen
drape	hullen
drapery	gordijn
drastic	drastisch
drastic	ingrijpend
drastic	radicaal
drastic	sterk werkend
drastically	drastisch
draught	drank
draught	dronk
draught	teug
draught	tocht
draught	trek
draughts	damspel
draw	aantrekken
draw	aftekenen
draw	haal
draw	hozen
draw	loten
draw	loting
draw	ontlenen
draw	ontlokken
draw	ophalen
draw	putten
draw	scheppen
draw	spannen
draw	tappen
draw	tekenen
draw	trek
draw	trekken
draw	trekking
draw	uithalen
draw	uittekenen
draw	voortrekken
drawback	nadeel
drawback	schaduwzijde
drawer	la
drawer	lade
drawer	schuiflade
drawers	onderbroek
drawing	dessin
drawing	schets
drawing	trekking
dread	duchten
dread	schrik
dread	schromen
dread	vrees
dread	vreselijk
dread	vrezen
dreadful	ijselijk
dreadful	schrikaanjagend
dreadful	verschrikkelijk
