elixir	elixer
elk	eland
ell	el
ellipse	ellips
elm	iep
elm	olm
elongate	rekken
elope	weglopen
elopement	ontvoering
elopement	vlucht
eloquent	welsprekend
eloquently	welsprekend
else	ander
else	anders
elsewhere	elders
elucidate	ophelderen
elucidate	verklaren
elucidation	verklaring
emanate	uitstralen
emancipate	emanciperen
emasculate	ontmannen
embankment	dijk
embankment	kade
embankment	wal
embankment	waterkering
embark	inschepen
embarrass	hinderen
embarrassed	beschaamd
embarrassment	benardheid
embarrassment	hinder
embarrassment	knelpunt
embarrassment	penarie
embarrassment	verlegenheid
embassy	ambassade
embassy	gezantschap
embellish	flatteren
embellish	opsieren
embellish	opwerken
embellish	verfraaien
embellish	vermooien
embellish	versieren
embellishment	versiering
embitter	vergallen
emblem	embleem
emblem	kleur
emblem	symbool
emblem	zinnebeeld
embody	belichamen
embody	uitdrukken
embolden	aanmoedigen
embrace	omarmen
embrace	omklemmen
embrace	omknellen
embrace	omspannen
embrace	omvatten
embrasure	schietgat
embroider	borduren
embroidery	borduursel
embroidery	borduurwerk
embroil	verwarren
embroil	verwikkelen
embryo	embryo
embryo	kiem
embryology	embryologie
emend	verbeteren
emerald	smaragd
emerge	uitkomen
emergence	verschijning
emeritus	emeritus
emery	amaril
emigrant	emigrant
emigrant	landverhuizer
emigrate	emigreren
emigrate	uittrekken
emigre	emigrant
eminent	uitstekend
eminent	verheven
emir	emir
emit	afscheiden
emit	uitstralen
emmet	mier
emotion	aandoening
emotion	bewogenheid
emotion	emotie
emotion	gemoedsbeweging
emotion	gewaarwording
emotion	roersel
emperor	keizer
emphasis	klemtoon
emphasis	nadruk
emphasise	benadrukken
emphasize	benadrukken
emphasize	onderstrepen
emphatic	krachtig
emphatically	krachtig
empire	imperium
empire	keizerrijk
empire	rijk
empiric	empiricus
empiricist	empiricus
employ	aannemen
employ	aanwenden
employ	aanwerven
employ	benutten
employ	bezigheid
employ	gebruiken
employ	tewerkstellen
employee	employé
employee	personeelslid
employee	werknemer
employer	werkgever
employment	ambt
employment	bediening
employment	bezigheid
employment	dienst
employment	gebruik
employment	werk
empower	machtigen
empress	keizerin
emptiness	leegte
empty	hol
empty	ledig
empty	ledigen
empty	leeg
empty	legen
empty	lens
empty	lenzen
empty	lichten
empty	loos
empty	ruimen
empty	uithalen
empyrean	lucht
emulsion	emulsie
enact	spelen
enamel	brandverf
enamel	email
enamel	glazuur
enamel	lak
enamel	lakken
encamp	kamperen
encampment	kamp
encampment	kampement
encase	opbergen
enchant	betoveren
enchant	verrukken
enchanter	duivelskunstenaar
enchanter	tovenaar
enchanting	bekoorlijk
enchanting	betoverend
enchanting	verrukkelijk
enchantingly	bekoorlijk
enchantingly	betoverend
enchantment	betovering
enchantment	toverij
enchantress	heks
enchantress	tovenares
enchiridion	handboek
encircle	insluiten
encircle	omringen
encircle	omvatten
enclose	bevatten
enclose	insluiten
encompass	beslaan
encompass	inhouden
encompass	omvatten
encounter	aantreffen
encounter	gevecht
encounter	ontmoeten
encounter	ontmoeting
encounter	tegenkomen
encounter	treffen
encourage	aanmoedigen
encourage	aansporen
encourage	aanvuren
encourage	aanwakkeren
encourage	aanzetten
encourage	animeren
encourage	bemoedigen
encourage	opkikkeren
encourage	opmonteren
encourage	opwekken
encourage	verlevendigen
encourage	zwepen
encouragement	aanmoediging
encouragement	aansporing
encumber	belasten
encumber	belemmeren
encumber	hinderen
encumbrance	beletsel
encumbrance	hindernis
encumbrance	last
encyclopaedia	encyclopedie
encyclopedia	encyclopedie
end	afloop
end	aflopen
end	afmaken
end	afsluiten
end	besluit
end	besluiten
end	beëindigen
