a brac	22-1933-S
a hoop	33-2060-S,33-2078-S,33-2099-S,33-2121-S
abandon	1-11-B
abandonment	1-40-B,1-63-B
abase	1-80-B,1-95-B
abate	1-112-B,1-126-B,1-141-B,1-156-B,1-173-B,1-188-B,1-201-B
abattoir	1-217-B
abbess	1-234-B
abbey	1-252-B
abbreviate	1-268-B,1-287-B,1-309-B,1-326-B,1-343-B,1-364-B
abdicate	1-386-B
abdomen	1-419-B,1-434-B
abduct	1-463-B
aberration	1-486-B,1-506-B,1-522-B,1-541-B,1-558-B
abhor	1-580-B,1-595-B,1-609-B
abide	1-620-B,1-635-B,1-655-B,1-669-B
ability	1-683-B,1-699-B,1-714-B,1-730-B,1-748-B,1-764-B,1-780-B
abject	1-794-B,1-808-B,1-828-B,1-848-B,1-861-B
ablaze	1-877-B,1-891-B,1-908-B
able	1-923-B,1-938-B,1-952-B,1-966-B,1-977-B
ablution	1-991-B,1-1007-B
abnegate	1-1025-B,1-1042-B,1-1064-B
abnormal	1-1083-B
abode	1-1100-B,1-1109-B,1-1122-B,1-1134-B
abolish	1-1147-B,1-1162-B,1-1180-B,1-1200-B,1-1219-B
abolition	1-1250-B
abominable	1-1273-B,1-1293-B
abominate	1-1327-B,1-1346-B
abortion	1-1363-B
abortive	1-1381-B,1-1395-B,1-1412-B,1-1426-B
abound	1-1441-B
about	1-1457-B,1-1480-B,1-1496-B,1-1513-B,1-1529-B,1-1541-B
above	1-1556-B,1-1570-B
abracadabra	1-1586-B
abrade	1-1604-B,1-1625-B
abrasion	1-1638-B
abreast	1-1657-B,1-1673-B
abridge	1-1690-B,1-1705-B,1-1721-B,1-1737-B,1-1752-B,1-1776-B,1-1795-B,1-1809-B,1-1827-B
abroad	1-1846-B
abrogate	1-1864-B,1-1883-B,1-1898-B
abrupt	1-1918-B,1-1934-B,1-1948-B,1-1961-B,1-1979-B,1-1994-B,1-2006-B
abscess	1-2021-B
abscissa	1-2034-B
abscond	1-2049-B
absence	1-2065-B,1-2085-B,1-2102-B,1-2117-B,1-2132-B
absent	1-2160-B,1-2171-B
absolute	1-2188-B,1-2203-B,1-2215-B,1-2231-B,1-2247-B,1-2266-B,1-2286-B,1-2300-B,1-2313-B,1-2329-B
absolution	1-2342-B
absolve	1-2358-B
absorb	1-2371-B,1-2386-B,1-2405-B,1-2417-B,1-2430-B,1-2443-B,1-2457-B,1-2474-B
abstain	1-2488-B,1-2507-B,1-2525-B
abstention	1-2543-B,1-2561-B,1-2582-B,1-2602-B
abstinence	1-2622-B
abstract	1-2640-B,1-2659-B,1-2676-B,1-2691-B,1-2709-B,1-2728-B,1-2743-B,1-2760-B,1-2780-B
abstraction	1-2800-B,1-2820-B,1-2841-B,1-2865-B,1-2887-B,1-2906-B,1-2925-B
absurd	1-2947-B,1-2968-B,1-2985-B,1-3000-B,1-3017-B,1-3033-B
abundance	1-3053-B,1-3071-B,1-3088-B,1-3105-B
abundant	1-3123-B,1-3142-B
abuse	1-3155-B,1-3167-B,1-3182-B,1-3196-B,1-3213-B,1-3248-B,1-3259-B
abusive	1-3271-B,1-3285-B,1-3304-B
abut	1-3319-B
abutment	1-3333-B
abysmal	1-3349-B,1-3363-B,1-3378-B,1-3395-B,2-0-B,2-13-B
abyss	2-26-B,2-41-B
acacia	2-52-B
academic	2-66-B,2-85-B
academician	2-100-B,2-124-B
academy	2-146-B
accelerate	2-162-B,2-188-B
accent	2-210-B,2-223-B,2-236-B,2-262-B
accentuate	2-275-B
