antibody	8-730-B
antic	8-747-B,8-765-B,8-784-B
anticipate	8-800-B,8-820-B,8-837-B
anticipation	8-880-B
antidote	8-903-B,8-917-B,8-933-B,8-951-B
antifreeze	8-966-B
antimony	8-986-B
antipasto	8-1003-B
antipathy	8-1018-B,8-1037-B,8-1056-B,8-1073-B
antipodes	8-1092-B
antique	8-1109-B,8-1124-B
antiquity	8-1140-B,8-1161-B
antiserum	8-1179-B
antithesis	8-1195-B,8-1214-B
antler	8-1234-B
anus	8-1255-B,8-1266-B
anvil	8-1278-B
anxiety	8-1289-B,8-1305-B,8-1325-B,8-1339-B,8-1355-B
anxious	8-1371-B,8-1389-B,8-1405-B,8-1422-B,8-1444-B,8-1462-B,8-1483-B
any	8-1501-B,8-1511-B,8-1521-B,8-1530-B,8-1541-B,8-1553-B,8-1562-B,8-1570-B,8-1579-B
anybody	8-1591-B
anyhow	8-1606-B
anymore	8-1636-B
anyone	8-1651-B,8-1663-B,8-1677-B
anyway	8-1698-B
apace	8-1711-B
apart	8-1724-B,8-1736-B,8-1752-B
apathetic	8-1770-B,8-1788-B,8-1807-B,8-1824-B,8-1849-B,8-1867-B,8-1888-B
apathy	8-1905-B,8-1924-B,8-1943-B,8-1965-B,8-1982-B,8-2004-B
ape	8-2021-B,8-2032-B,8-2049-B
aperitif	8-2063-B
aperture	8-2081-B,8-2111-B,8-2126-B,8-2141-B
apex	8-2157-B,8-2168-B,8-2178-B,8-2187-B,8-2198-B
aphorism	8-2214-B
apiece	8-2230-B,8-2243-B
apocalypse	8-2259-B
apogee	8-2277-B,8-2290-B
apologia	8-2303-B,8-2321-B
apologist	8-2338-B
apology	8-2356-B,8-2371-B,8-2387-B,8-2404-B,8-2420-B,8-2436-B
apoplexy	8-2451-B,8-2466-B,8-2480-B,8-2500-B
apostasy	8-2516-B
apostate	8-2541-B
apostle	8-2558-B
apostrophe	8-2582-B,8-2602-B
apotheosis	8-2619-B
apparatus	8-2647-B,8-2665-B,8-2682-B,8-2698-B,8-2717-B,8-2734-B
apparel	8-2751-B,8-2768-B,8-2783-B,8-2797-B,8-2813-B
apparent	8-2830-B,8-2846-B,8-2878-B,8-2894-B
apparition	8-2910-B,8-2932-B,8-2951-B,8-2967-B
appeal	8-2983-B,8-2997-B,8-3013-B,8-3030-B,8-3063-B,8-3080-B,8-3098-B
appealing	8-3116-B,8-3132-B
appear	8-3150-B,8-3166-B,8-3184-B,8-3219-B
appearance	8-3237-B,8-3260-B,8-3282-B,8-3298-B
appease	8-3317-B,8-3336-B,8-3359-B
appellation	8-3394-B,8-3409-B,8-3426-B,8-3442-B
append	8-3460-B,9-0-B
appendage	9-19-B,9-32-B,9-49-B,9-66-B,9-86-B
appendix	9-102-B,9-114-B
appertain	9-129-B,9-149-B,9-169-B,9-187-B,9-204-B,9-221-B
appetite	9-238-B,9-252-B,9-267-B
appetizer	9-283-B,9-302-B,9-318-B,9-333-B
applaud	9-350-B,9-371-B
applause	9-389-B
appliance	9-406-B,9-421-B
applicable	9-437-B
applicant	9-454-B,9-469-B,9-487-B
application	9-504-B,9-526-B,9-545-B,9-566-B,9-585-B,9-604-B,9-622-B,9-641-B,9-663-B,9-681-B,9-700-B,9-721-B
applique	9-739-B
apply	9-755-B,9-770-B,9-786-B,9-805-B,9-821-B,9-834-B
appoint	9-855-B,9-870-B,9-887-B,9-912-B
appointment	9-927-B,9-945-B,9-962-B,9-981-B,9-1000-B,9-1016-B,9-1038-B,9-1058-B
apportion	9-1076-B,9-1093-B,9-1117-B,9-1142-B
apposite	9-1159-B,9-1177-B
apposition	9-1192-B
appraisal	9-1210-B
appraise	9-1227-B
appreciate	9-1251-B,9-1278-B,9-1302-B
appreciation	9-1344-B,9-1372-B,9-1392-B
apprehend	9-1412-B,9-1430-B,9-1449-B,9-1467-B,9-1488-B
apprehension	9-1528-B,9-1547-B,9-1570-B,9-1591-B,9-1610-B,9-1634-B,9-1653-B,9-1674-B,9-1697-B,9-1717-B,9-1740-B,9-1761-B,9-1778-B
apprehensive	9-1797-B,9-1823-B,9-1846-B,9-1866-B,9-1887-B,9-1908-B,9-1931-B
apprentice	9-1967-B,9-1986-B
