pıtırtı	178-15-B
rabıta	20-1682-B,41-1412-B,42-2699-B,108-2814-B,113-405-B,126-1771-B,194-2047-B
rabıtasız	52-1027-B
raca	151-2526-B
radar	132-1488-B
radikal	80-3203-B
radikalizm	151-1543-B
radon	151-1683-B
radyator	151-1381-B
radyo	72-345-B,119-403-B
radyografi	151-1565-B
radyoizotop	151-1587-B
radyoloji	151-1612-B
raf	21-2031-S
rafineri	154-2445-B
rafya	151-1695-B
rahat	26-445-B,34-2943-B,34-3054-B,35-1508-B,36-923-B,40-482-B,40-3678-B,43-1178-B,95-1759-B,95-1974-B,134-2325-B,134-2393-B,150-3018-B,156-3042-B,158-790-B,158-936-B,196-2861-B
rahat ferah kolaylık	62-240-B
rahat keyifli	42-762-B
rahat konforlu	175-943-B
rahat oturamamak	75-2652-B
rahat vermemek	91-1627-S
rahatlamak	203-725-B
rahatlatmak	168-1265-B,203-743-B
rahatlık	40-496-B,40-3561-S,115-2148-B
rahatsız	5-1445-B,97-3111-B,100-2615-B,100-3822-S,141-1874-B,149-9-B,174-1889-B,201-997-B,201-3048-B,202-2305-B,203-528-B,209-2663-B
rahatsız etme	58-17-S
rahatsız etmek	21-205-B,51-678-B,57-65-B,58-54-B,82-213-S,100-2561-B,122-1719-B,139-616-B,174-1830-B,198-1744-B,213-1827-B
rahatsızlık	29-145-B,55-1567-B,55-3580-B,57-2160-B,58-163-B,75-2676-B,91-1606-B,100-3653-B,101-3180-B,198-1768-B,201-3065-B,202-2647-B
rahibe	128-0-B,172-2119-B,205-2538-B
rahim	17-481-B,87-2348-B,118-1176-B,203-2951-B,212-2637-B
rahip	32-1926-B,32-1966-B,58-1285-B,144-3552-B,155-2948-B
rahmet	17-975-B,87-2114-B,119-3096-B
rahmetli	48-580-B,110-945-S
rahne	44-754-B,77-164-B,77-2746-B,83-2979-B
rakam	76-485-B,127-2911-B,127-2977-B
raket velvele gurultu	151-1105-B
rakip	36-851-B,118-279-B,160-623-B
rakip karşıt	130-439-B
rakipsiz	118-354-B
rakit	180-3027-B
rakkas	135-1159-B
rakkase	47-492-B
raks	47-449-B
rakı	7-2356-B,10-1222-B
ralli	151-2700-B
rampa	151-2876-B
randevu	9-1038-B,11-2332-B,47-1624-B,65-1118-B,156-1296-B,199-607-B
randıman	116-1571-B,131-885-B
ranza	17-1908-S,24-499-B
ranza zırva sacmalık	24-522-S
rapor	119-1897-B,121-787-B,156-2783-B,181-2854-B
rapsodi	159-1046-B
raptetme	41-1444-B,112-1149-B
raptetmek	12-1089-B,18-923-B,21-1877-B,38-2663-B,107-495-B,194-2059-B,202-1149-B
raptiye	73-2689-B
rasat	128-2439-B
rasathane	128-2475-B
rasgele	27-2876-S,91-1236-B,101-3032-B
rasgele gelişiguzel	91-1254-B
raspa	152-1155-B
rastlamak	72-2343-B,185-2553-B
rastlantı	38-2305-B,40-1224-B,78-2924-B,80-2767-B,80-2946-B,91-1286-B
rastık	109-179-B,117-2039-B
ravent	159-1163-B
ray	90-108-B,151-2043-B,162-1714-B
rayiha	10-977-B,14-1938-B,77-2637-B,81-1238-B,136-1137-B,164-2464-B,174-1613-B
rayihalı	10-990-B,14-1969-B,81-1255-B
razı	40-514-B,211-2248-B
razı olmak	2-3418-B,38-3593-B
rağbet	51-3027-B,100-2103-B,207-598-B
rağbet edilen şey beraber	60-123-S
rağbetsizlik	101-2380-B
rağmen	67-3349-B,97-2507-B
raşitik	159-1500-B
realist	153-367-B
realite	153-455-B
realizm	153-351-B
recel	39-0-B,106-1757-B
recete	80-2111-B,144-661-B,153-2149-B,153-2779-B
recete alındı	153-2165-B
recine	160-2766-B
recineli	160-2780-B
reddedilmek	149-2563-B
reddetme	36-3545-B
reddetmek	1-1064-B,48-1813-B,50-2323-B,54-2916-B,54-3214-B,54-3501-B,55-1120-B,56-1781-B,56-3922-B,83-2055-B,126-140-B,126-2789-B,149-2579-B,153-1739-B,154-3419-B,155-1158-B,156-1559-B,156-2253-B,157-811-B,200-11-B
reddetmek atmak	155-1175-B
redingot	60-892-B,82-1312-B
refah	4-2539-B,34-2957-B,74-2839-B,78-2123-B,147-2227-S,147-2293-B,210-880-B
refakat	12-1796-S,12-1921-B,35-3025-B,35-3167-B,75-72-B
referandum	154-2214-B
referans	154-2156-B
refik	74-3124-B
refleks	154-2728-B
reflektor	154-2674-B
reform	154-2786-B
rehabilitasyon	128-3502-B
rehber	35-2891-B,39-3180-B,54-1859-B,59-2896-B,90-118-B,90-207-B,110-2788-B,138-1344-B,140-2944-B
rehberlik	90-50-B,110-2630-B,110-2857-B
rehin	50-3238-B,65-1137-B,83-1897-B,134-2004-B,140-30-B,166-2076-B
rehin soz vaat	140-43-B
rehinden kurtarmak	154-1155-B
rehine	96-1253-B,134-2015-B,188-1112-B
rehine tutsak	96-1268-B
reis	26-2391-B,29-578-B,30-1898-B,64-973-B,80-564-B,92-2035-B,110-2802-B,143-3355-B,144-1645-B
reislik	144-1578-B
rejim	53-1767-B,155-198-B
rekabet	36-809-B,40-667-B
rekabet etmek	36-539-B
reklam	3-1247-B,7-2661-B,148-1559-B
rekolte	44-2624-B,92-330-B,214-1686-B
rekor	154-650-B
rektor	29-1189-B
rektorluk	29-1208-B
rektum	154-1093-B
remiz	1-309-B,64-15-B,171-1971-B,189-2102-B,200-1986-B
remzi	76-283-B,189-2115-B
rencper	73-1842-B,134-2622-B,140-749-B
rende	88-1304-B,139-1299-B,169-1870-B
rende ucak	139-1244-S
rendelemek	88-1137-B,139-1311-B,152-1166-B,169-1882-B
rengarenk	77-1487-B,123-1789-B
rengi	44-1328-S,117-1570-S
rengi atmak	72-356-B
renk	61-2577-B,170-300-B,185-598-B
renk tonu	96-2255-B
renk vermek	34-1546-B,195-73-B
renklendirme	34-1581-B
renklenmek	34-1564-B
renkli	22-2405-B,34-1621-B,115-1805-B,138-402-B
renksiz	2-2890-B,19-1847-B,34-1673-B,47-2310-B,132-1395-B,211-648-B
renksizlik	132-1408-B
repertuvar	156-2383-B
resepsiyon	153-2623-B
reseptor	153-2644-B
resesif	153-2745-B
resif	154-1844-B,170-883-B
resim	49-3474-B,52-3493-B,53-985-B,61-2306-B,62-2912-B,76-498-B,98-650-B,112-2234-B,122-511-B,132-1083-B,138-150-B,138-556-B,141-2880-B,141-2951-B,144-1293-B,156-3293-B,191-1555-B,195-1807-B
resimli	138-110-B
resital	153-2990-B
resmen	80-1540-B
resmetmek	39-2795-B,49-3490-B,50-2930-B,51-2503-B,60-161-B,76-511-B,132-1015-B,138-164-B,141-3048-B,156-3148-B,168-1281-B
resmi	28-2685-B,28-2741-B,80-1554-B,129-992-B,176-127-B,181-2632-B,182-2931-B,191-2131-B
resmiyet	28-2759-B,28-2829-B,80-1680-B,181-1869-B
ressam	10-2977-B,132-1047-B
ressam sehpası	62-267-B
ressamlık	132-1098-B
restore etmek	158-1006-B
resul	147-1079-B
ret	2-377-B,56-3626-B,68-3410-B,125-2313-B,153-1756-B,154-3386-B
reva	213-2343-B
revac	46-580-B,157-1395-B,163-1325-B
revak	141-2627-B
reverans	21-1497-B,46-936-S,46-965-B
revnak	154-3277-B,169-2206-B,170-311-B
revolver	90-744-B,138-2673-B,159-892-B
revu	159-927-B
rey	67-2170-B,207-1407-B
reyhan	15-2095-B
rezalet	49-1860-B,55-4015-B,97-2872-B,102-1261-B,130-1091-B,131-931-B,157-355-B,164-1686-B,169-489-B
reze	94-2187-B
rezene	75-399-B
rezil	15-1886-B,18-2328-B,40-215-B,57-320-B,102-1228-B,115-193-B,118-2549-B,206-1307-B
rezil itibarsız	57-339-B
reşit	4-270-B,118-1504-S
riayet	49-387-B,127-1848-B,155-13-B
riayetsiz	106-442-B
riayetsizlik	173-2431-B
rica	51-3042-B,104-2722-B,137-1471-B,139-2589-B,143-774-B,157-1410-B,176-268-B
rica bahane	139-2599-S
rica etmek	157-1423-B,176-219-S
rikkat	35-781-B
rimel	117-2055-B
rina	172-2695-B
ring	31-1378-B,159-2748-B
ringa	94-837-B
risale	20-2081-B,23-227-B,66-1526-B,132-2027-B
risk	29-1112-B,160-491-B,205-830-B
riskli	205-975-B
ritim	25-784-B,159-1226-B
ritmik	25-798-B
rivayet	2-1644-B,156-2796-B,184-12-B
riya	97-1595-B
riyakar	26-837-S,95-1345-B
riyakarlık	97-1610-B
riyasız	90-242-B
riziko	29-1124-B,92-1544-B,143-1023-B,160-501-B
riziko tehlike	92-1558-B
robot	160-1140-B
roka	160-1347-B
roket	4-1564-B,160-1359-B
rol	133-1525-B,156-3314-B,182-217-B
rolyef	155-2686-B
rom	162-439-B
roman hayal yalan	75-2473-B
romantik	160-2404-B
romantiklik	160-2345-B
romatizma	159-1107-B
romork	196-2426-B
romorkor	199-944-B
rontgen	135-256-S
rop	82-1327-B
roportaj	105-786-B
rota	161-1186-B,161-1219-S
rotor	161-108-B
rozet	14-825-S,14-844-B,160-2703-B,190-683-B
ruchan	143-3433-B
ruh	13-351-B,67-883-B,67-1189-B,71-813-B,85-1031-B,103-1009-B,106-2221-B,138-2988-B,177-561-B,195-0-B,207-32-B
ruh can	177-570-B
ruhani	179-82-B
ruhbilim	148-1108-B
ruhsal	105-3406-B,179-99-B
ruhsal durum	122-3178-S
ruhsat	13-944-B,28-3085-B,111-806-B,111-2293-B,136-2118-B,145-1764-B,208-1497-B
ruhsatname	136-2205-B
ruhsuz	19-1865-B,98-2831-B,100-437-B,109-2311-B,177-714-B,179-0-B,213-326-B
ruhsuzlaşmak	109-2395-B
ruj	113-584-B,161-212-B
rulet	161-426-B
rulo	160-1992-B
rum	162-399-B
rumba	162-447-B
rupi	162-1967-B
rusum	29-2873-B
rusup	143-1886-B
rutbe	35-1108-B,49-1990-B,57-2707-B,152-436-B,181-3062-B
rutbe sıra dizi	152-448-B
rutubet	47-159-B,122-1410-S,122-1440-B,210-1398-B
rutubet nem lendirmek	47-172-B
rutubetli	31-2760-B,47-200-B,47-691-B,53-651-B,122-1454-B,187-1052-B
ruya	60-601-B
ruzgar	18-3032-S,93-1403-B
ruzgar bora	90-1078-B
ruzgar sağanak	78-3089-S
ruzgara acık soğuk	19-348-B
ruzgargulu	33-2018-B,209-2780-B
ruzgarlı	22-1771-B
ruşt	116-1429-B
ruşvet	20-1941-B,22-1918-B,144-3203-B
ruşvetci	42-158-S
rıhtım	58-2174-B,111-2394-B,138-654-S,138-675-B,150-1741-B,210-1649-B
rıza	6-616-B,11-1989-B,38-3613-B,40-528-B,129-1312-B
rızk	46-2780-B,113-1557-B
saadet	19-1228-B,63-842-B,74-2752-B,74-2854-B,91-1463-B,93-1250-B,147-2310-B,209-1730-B
saadet mutluluk	19-1241-B
saat	96-1726-B,120-929-B,194-1791-B,194-2671-B,194-2853-B
saati	96-1736-S
sabah	33-2153-B,47-1908-B,80-596-B,123-801-B,187-1891-B
sabahlamak	207-2435-B
sabahlık	96-1897-B,135-593-B,213-2679-B
sabit	29-1454-B,39-1759-S,39-1792-B,73-2491-B,76-2718-B,98-2389-B,105-3651-B,106-294-B,166-2233-B,168-1553-B,180-2250-B,180-2521-B,180-3085-B,181-3125-B,182-377-B,186-2380-B,188-1010-B,200-3076-B,202-3030-B,202-3088-B
sabit sağlam bukulmez firma	76-2729-B
sabitleştirmek	77-758-B
sabitlik	39-1686-B,101-1178-B
sabotajcı	162-2687-B
sabretmek	188-226-B
sabun	32-1043-B,175-1142-B
sabun kopuğu	110-1047-B
sabunlamak	175-1153-B
sabunlu	175-1183-B
