suyu salca	88-1990-S
suzgec	34-194-B,76-1160-B,184-985-B
suzmek	20-1519-B,31-3344-B,59-3049-B,71-2107-B,76-1176-B,76-1323-B,102-2131-B,119-0-B,136-0-B,184-915-B
suzulme	59-3131-B,102-2150-B,136-18-B
suzulmek	57-2394-B,59-3063-B,76-1191-B,86-198-B,102-2171-B,136-38-B
sıcak	9-3691-B,13-519-B,15-2642-B,43-1189-B,75-1217-B,93-888-B,187-1069-B
sıcakkanlı	35-2926-B,208-1069-B
sıcakkanlılık	87-2363-B
sıcaklık	75-1977-B,76-2565-B,93-900-B,192-104-B,208-1243-B
sıcan	152-1277-B
sıcankulağı	30-1801-B
sıcrama	21-623-B,26-1840-B,47-1482-B,96-22-S,96-67-B,111-414-S,163-1728-B,181-2352-B
sıcramak	21-640-B,26-1856-B,47-460-B,107-1960-B,174-70-B,179-439-B,179-3086-B,181-2414-B,198-947-B
sıcramak oynamak	82-1055-B
sıcratma	178-65-B
sıcratmak	21-658-B,21-868-B,47-1497-B,96-81-B,107-1976-B,111-525-B,174-86-B
sıcrayış	21-677-B,21-886-B,26-2190-B,107-1993-B,111-542-B,180-0-B
sıfat	3-2328-B,12-2949-B,26-1705-B,66-1564-B,136-3178-B
sıfat ozellik simge	12-2966-B
sıfır	13-36-B,31-1235-B,126-2379-S,127-1522-B,127-2019-B,131-173-B,214-2535-B
sıhhat	13-610-B,68-1499-B,92-2761-B,143-2438-B,177-1061-B,195-2168-B,199-331-B,210-894-B
sıhhatli	20-1848-B,87-791-B,92-2776-B,92-2851-B,93-751-B,163-1824-B,173-2226-B,177-1075-B,210-1111-B,211-1007-B
sık	35-2766-B,50-2010-B,193-1539-B
sık keşif	193-1459-S
sık yoğun	50-2021-B
sıklaşmak	193-1729-B
sıklaştırma	37-2560-B
sıklaştırmak	193-1749-B
sıklet	93-2137-B,113-2102-B
sıklık	193-1550-B
sıkma	31-3024-B,32-188-B,32-1850-B,45-1098-B,91-669-S,130-2482-B,180-1828-B
sıkmac	190-2497-B
sıkmak	7-2711-B,21-181-S,21-1918-B,29-431-B,36-3034-B,39-2705-B,44-972-B,45-1111-B,51-175-S,57-3313-B,60-1711-B,63-3079-B,123-278-B,130-775-B,137-1107-B,138-1637-B,144-1795-B,144-3140-B,180-1843-B
sıkı	33-207-B,35-2779-B,55-2867-S,73-2526-B,76-2775-B,81-750-B,125-1141-B,125-2355-B,176-786-B,182-2979-B,184-2888-B,185-382-B,194-2186-B
sıkı tutma kavrama	89-401-B
sıkıca	73-2538-B,91-1991-B,185-399-B
sıkıcı	19-390-B,21-1414-B,46-1854-B,59-2664-B,60-690-B,61-19-B,61-861-B,84-1337-B,86-855-B,93-1418-B,105-3559-B,125-1332-B,127-2667-B,130-1034-B,135-36-B,136-1292-B,137-1197-B,140-1330-B,164-599-B,191-2279-B,199-576-B,205-2891-S,208-1087-B,209-2227-B,209-2329-B
sıkıcı kasvetli	60-707-B
sıkılgan	15-1982-B,15-2018-S,125-385-B,158-1930-B,169-2235-B
sıkılganlık	169-2255-B
sıkılma	63-3097-B
