sage	wajuaji
sago	sago
sago	sago
sago	sagu
sago	sagu
sail	matanga
sail	shira
sail	shira
sail	tanga
sailboat	mashua
sailboat	mashua
sailcloth	turbali
sailcloth	turubai
sailcloth	turubali
sailor	mwanamaji
sailor	wanamaji
saint	mawalii
saint	takatifu
saint	walii
sake	ajili
sake	ajili
salad	saladi
salad	saladi
salary	ijara
salary	ijara
salary	kipato
salary	malipo
salary	ujira
salary	vipato
salesmanship	uuzaji
salinity	chumvi
salinity	chunyu
saliva	belaghami
saliva	belghamu
saliva	gole
saliva	magole
saliva	mate
saliva	mate
saliva	udelele
saliva	udende
saliva	ute
salt	chumvi
salt	chumvi
salutation	heshima
salutation	heshima
salutation	jambo
salutation	mambo
salutation	salamu
salutation	salamu
salute	-kongowea
salute	-pa salaam
salute	-pa salamu
salute	-salimia
salute	-salimu
salute	-saluti
salute	-toa salaam
salute	-toa salamu
salute	-wajihi
salvation	afu
salvation	afu
salvation	afua
salvation	afua
salvation	masamaha
salvation	masamaha
salvation	masameho
salvation	salama
salvation	samaha
salvation	ufidio
salvation	ufidiwa
salvation	ukomboleo
salvation	ukomboo
salvation	ukombozi
salvation	uokozi
salvation	wokofu
salvation	wokovu
salvation	wokozi
salve	dawa ya kupaka
salve	dawa za kupaka
salve	mafuta
salve	makuru
salve	malhamu
salve	marahamu
salve	marhamu
sampling	uonjaji
sanction	-idhini
sanction	-idhinisha
sanction	-saidia
sanction	idhini
sanction	idhini
sanction	uradhi
sanctity	utakatifu
sand	kizingo
sand	mchanga
sand	vizingo
sandal	kubazi
sandal	lapulapu
sandal	makubazi
sandal	staka
sandal	staka
sandalwood	sandali
sandalwood	sandali
sandbank	fungu
sandbank	mafungu
sandbank	makupwa
sandbank	vipwa
sandfly	usubi
sandstorm	kivumbi
sandstorm	vivumbi
sandy	kichanga
sarcasm	kejeli
sarcasm	kejeli
sarcasm	kijembe
sarcasm	salata
sarcasm	vijembe
sarcastic	-kavu
sarcastic	kavu
sash	henzarani
sash	kumbuu
sash	mahazamu
sash	mikumbuu
sash	mkumbuu
sash	ukumbuo
sash	ukumbuu
satiate	-kinaisha
satiation	shibe
satiation	shibe
satiety	ujalifu
satiety	ujalivu
satiety	ujazi
satisfaction	majilipio
satisfaction	majilipizi
satisfaction	majilipo
satisfaction	radhi
satisfaction	radhi
satisfaction	ridhaa
satisfaction	ridhaa
satisfaction	shibe
satisfaction	shibe
satisfaction	ukinaifu
satisfaction	uradhi
satisfaction	uradhi
satisfaction	usuluhi
satisfaction	usuluhifu
satisfaction	utoshelezi
satisfactory	salaam
satisfactory	salama
satisfy	-afikanisha
satisfy	-afiki
satisfy	-kidhi
satisfy	-kifia
satisfy	-kifu
satisfy	-kinaisha
satisfy	-kuta
satisfy	-radhi
satisfy	-radi
satisfy	-ridhi
satisfy	-ridhisha
satisfy	-taradhia
satisfy	-timiliza
satisfy	-tosheleza
satisfy	-tua
saturate	-sharabu
sauce	mchuzi
sauce	michuzi
sauce	sosi
sauce	sosi
savage	mshenzi
savage	shenzi
savagery	ushenzi
save	-afu
save	-afua
save	-dunduliza
save	-futusha
save	-hifadhi
save	-komboa
save	-limbika
save	-okoa
save	-opoa
save	-ponya
save	-ponyesha
save	-salimisha
save	-salimu
save	-samehe
save	-toa
save	-vua
save	-weka
save	-weka akiba
saving	kingojeo
saving	kingojezi
saving	kingojo
saving	uokozi
saving	uponyi
saving	wokozi
saw	-keketa
saw	-kereza
saw	-piga msumeno
saw	jambeni
saw	jambeni
say	-amba
say	-arifu
