summit	nguu
summon	-alika
summon	-alisha
summon	-hudhurisha
summon	-ita
sunbeam	kengee
sunbeam	mionzi
sunbeam	mwonzi
sunbeam	ukengee
sunrise	maawio
sunrise	macheo
sunrise	mashariki
sunrise	matlaa
sunrise	matlai
sunset	machweo
superabundance	mamiminiko
superabundance	miminiko
superficial	juujuu
superficial	ovyo
superficiality	mapurukushani
superficiality	purukushani
superficially	-juujuu
superficially	hivi hivi
superficially	kijuujuu
superfluity	mbobo
superintend	-kagua
superintend	-simamia
superintendent	kaimu
superintendent	makaimu
superintendent	msimamizi
superintendent	wasimamizi
superior	-aula
superior	mkuu
superior	wakuu
superiority	ubora
superiority	ukuu
supermarket	supamaketi
supermarket	supamaketi
superstition	mapokeo
superstition	mapokezi
superstition	pokeo
superstition	pokezi
superstition	ushirikina
supervise	-simamia
supervision	uangaliaji
supervision	ulinzi
supervision	usimamizi
supervisor	akida
supervisor	maakida
supervisor	maangalizi
supervisor	mwangalizi
supervisor	waangalizi
supper	kilalio
supper	vilalio
supplement	maongezeko
supplement	maongezo
supplement	ongezeko
supplement	ongezo
supplicant	mwombi
supplicant	waombi
supplication	dua
supplication	dua
supplication	ulalamishi
supplication	ulalamizi
supplication	uombezi
supplication	uombi
supplies	kande
supplies	kande
supplies	zana
supply	akiba
supply	akiba
supply	malimbiko
supply	masitoo
supply	risavu
supply	risavu
supply	rizavu
supply	rizavu
supply	sitoo
supply	stoa
supply	stoa
supply	stoo
supply	stoo
supply	uletaji
supplying	utilaji
support	-auni
support	-aunia
support	-awini
support	-awuni
support	-chechesha
support	-checheza
support	-chukua
support	-egamesha
support	-egameza
support	-egamisha
support	-egemiza
support	-gadimu
support	-himili
support	-jaza
support	-nafisi
support	-nusuru
support	-posha
support	-ruzuku
support	-saidia
support	-tarazaki
support	-tetea
support	-unga mkono
support	-ziwia
support	-zuia
support	-zuwia
support	egemeo
support	faraja
support	gadi
support	jiguzo
support	maegemeo
support	magadi
support	magadi
support	makwa
support	mashikizo
support	mategemeo
support	mhimili
support	mihimili
support	muawana
support	neema
support	nguzo
support	nguzo
support	nusra
support	nusra
support	nusura
support	nusura
support	posho
support	posho
support	saada
support	saada
support	shikizo
support	shupaza
support	tegemeo
support	tuka
support	tuka
support	wima
supporter	mkimu
supporter	wakimu
suppose	-aza
suppose	-dhani
suppose	-gisi
suppose	-waza
supposition	dhana
supposition	dhana
supposition	makisi
supposition	makisio
supposition	sabiki
supposition	sabiki
supposition	udhani
supposition	udhanifu
suppress	-husuru
suppression	ukandamizwaji
supreme	-tukufu
surely	ina
surety	dhamana
surety	dhamana
surety	hakika
surety	hakika
surety	kudhamini
surety	udhamini
surf	-rambaza
surf	mapapo
surf	papo
surface	sura
surface	sura
surface	wajihi
surge	-chachuka
surge	-chafua
surmise	-kisi
surmise	-kissi
surmise	dhana
surmount	-kiuka
surpass	-kulula
surpass	-piku
surpass	-pita
surpass	-shinda
surpass	-zidi
surplus	ziada
surplus	ziada
surprise	-feli
surprise	-fuma
surprise	-fumania
surprise	-ghairisha
surprise	-gundua
surprise	-kanganya
surprise	-sangaza
surprise	-shangaa
surprise	-shangaza
surprise	-shitua
surprise	-shtua
surprise	-shtusha
surprise	-stua
surprise	-stusha
surprise	ajabu
surprise	ajabu
surprise	butaa
surprising	ajabu
