strop	152-797-B,152-811-B
strophe	152-823-B
structure	152-837-B,152-854-B,152-872-B,152-891-B,152-910-B
struggle	152-928-B,152-945-B,152-964-B,152-980-B,152-995-B,152-1013-B,152-1031-B,152-1047-B,152-1066-B,152-1084-B
struggling	152-1103-B,152-1121-B,152-1139-B
strut	152-1157-B,152-1172-B,152-1185-B
stubborn	152-1199-B,152-1218-B,152-1232-B,152-1250-B,152-1266-B,152-1283-B,152-1298-B,152-1314-B,152-1331-B,152-1352-B
stubbornness	152-1367-B,152-1386-B,152-1405-B,152-1425-B,152-1446-B,152-1468-B,152-1488-B,152-1509-B,152-1531-B
stucco	152-1550-B,152-1564-B,152-1576-B
study	152-1588-B,152-1600-B,152-1614-B,152-1628-B,152-1646-B,152-1661-B,152-1673-B,152-1686-B,152-1700-B,152-1714-B,152-1727-B,152-1738-B,152-1752-B,152-1766-B,152-1780-B,152-1794-B,152-1807-B
stuff	152-1820-B
stuffiness	152-1837-B,152-1855-B
stuffy	152-1875-B
stumble	152-1891-B,152-1907-B,152-1926-B,152-1944-B,152-1958-B,152-1972-B,152-1990-B,152-2008-B,152-2026-B,152-2042-B
stump	152-2058-B,152-2069-B,152-2084-B,152-2096-B,152-2110-B,152-2123-B,152-2138-B,152-2150-B
stupefaction	152-2164-B,152-2186-B,152-2209-B,152-2230-B
stupid	152-2252-B,152-2268-B,152-2282-B,152-2295-B,152-2307-B,152-2323-B,152-2336-B,152-2349-B,152-2361-B,152-2374-B,152-2389-B,152-2409-B,152-2424-B
stupidity	152-2439-B,152-2455-B,152-2473-B,152-2492-B,152-2513-B,152-2533-B,152-2549-B,152-2569-B,152-2586-B,152-2603-B,152-2620-B,152-2639-B,152-2658-B,152-2674-B
sturdy	152-2690-B,152-2703-B
stutter	152-2721-B,152-2738-B,152-2756-B,152-2774-B,152-2790-B
sty	152-2806-B,152-2820-B
style	152-2831-B,152-2844-B,152-2858-B,152-2872-B,152-2885-B,152-2898-B,152-2911-B,152-2925-B,152-2949-B,152-2962-B
stylish	152-2975-B,152-2992-B,152-3008-B,152-3025-B,152-3043-B,152-3057-B
subdue	152-3071-B,152-3086-B
subject	152-3101-B
subjugate	152-3115-B,152-3133-B,153-0-B
subjugation	153-18-B,153-41-B
submerge	153-62-B,153-79-B
submissive	153-94-B
submissiveness	153-112-B,153-131-B,153-150-B,153-174-B,153-200-B,153-224-B
submit	153-251-B
subsequent	153-267-B
subsequently	153-286-B,153-305-B,153-325-B,153-345-B,153-364-B,153-383-B
subservience	153-403-B,153-421-B,153-443-B,153-461-B
subside	153-481-B
subsistence	153-496-B,153-518-B
substance	153-538-B,153-554-B,153-570-B,153-586-B
substantive	153-602-B
substitute	153-620-B,153-638-B,153-656-B,153-674-B
subterfuge	153-692-B,153-708-B,153-728-B,153-748-B,153-766-B
subtract	153-786-B,153-801-B
subtraction	153-815-B
suburb	153-834-B,153-851-B,153-868-B,153-883-B
success	153-898-B,153-913-B,153-928-B,153-941-B,153-954-B,153-970-B,153-983-B,153-996-B,153-1009-B,153-1027-B,153-1045-B,153-1063-B,153-1081-B,153-1097-B,153-1110-B,153-1123-B,153-1142-B,153-1158-B,153-1173-B,153-1189-B,153-1205-B,153-1221-B,153-1242-B
successful	153-1261-B,153-1277-B,153-1300-B
succession	153-1318-B,153-1337-B,153-1358-B,153-1380-B,153-1401-B,153-1423-B,153-1438-B,153-1458-B,153-1476-B,153-1495-B
successively	153-1513-B
successor	153-1540-B,153-1557-B,153-1576-B
suck	153-1593-B,153-1604-B,153-1615-B,153-1628-B
sucker	153-1642-B,153-1659-B
suckle	153-1677-B,153-1693-B,153-1708-B
suddenly	153-1726-B,153-1743-B,153-1759-B,153-1776-B,153-1805-B,153-1825-B,153-1839-B,153-1861-B,153-1880-B
suds	153-1898-B,153-1920-B
sue	153-1940-B,153-1950-B,153-1959-B,153-1972-B,153-1984-B
suffer	153-1995-B,153-2012-B,153-2029-B,153-2046-B,153-2059-B,153-2077-B,153-2093-B,153-2108-B,153-2123-B
suffering	153-2139-B,153-2154-B,153-2175-B,153-2192-B,153-2209-B,153-2227-B,153-2246-B,153-2261-B,153-2276-B,153-2292-B
suffice	153-2306-B,153-2321-B,153-2335-B,153-2349-B,153-2363-B
sufficiency	138-2277-S,138-2300-S,153-2378-B,153-2395-B,153-2412-B,153-2429-B
sufficient	153-2452-B
sugar	153-2473-B,153-2486-B
sugarcane	153-2499-B,153-2518-B,153-2537-B,153-2552-B
suggest	153-2567-B
suggestion	153-2583-B,153-2603-B,153-2621-B,153-2639-B,153-2657-B,153-2677-B
suicide	153-2695-B
suit	153-2710-B,153-2721-B,153-2731-B,153-2745-B,153-2755-B,153-2765-B,153-2775-B,153-2785-B,153-2795-B,153-2805-B
suitable	153-2815-B,153-2830-B,153-2849-B,153-2869-B,153-2885-B,153-2902-B
sulfur	153-2918-B
sulk	153-2933-B
sulkiness	153-2944-B,153-2961-B,153-2980-B,153-2998-B
sullenness	153-3015-B,153-3034-B,153-3053-B
sulphur	153-3070-B,153-3085-B,153-3100-B,153-3117-B
sultanate	153-3134-B
sum	153-3153-B,153-3165-B,153-3175-B,153-3185-B,153-3195-B,153-3205-B,153-3218-B
summary	153-3233-B,153-3251-B,153-3266-B,153-3281-B
summer	153-3298-B,153-3314-B
summit	153-3330-B,154-0-B
summon	154-12-B,154-26-B,154-41-B,154-60-B
sunbeam	154-72-B,154-87-B,154-102-B,154-117-B
sunrise	154-133-B,154-148-B,154-163-B,154-181-B,154-196-B
sunset	154-211-B
superabundance	154-226-B,154-252-B
superficial	154-276-B,154-295-B
superficiality	154-312-B,154-341-B
superficially	154-368-B,154-390-B,154-414-B
superfluity	154-437-B
superintend	154-455-B,154-474-B
superintendent	154-495-B,154-516-B,154-539-B,154-564-B
superior	154-590-B,154-605-B,154-619-B
superiority	154-634-B,154-652-B
supermarket	154-669-B,154-692-B
superstition	154-715-B,154-736-B,154-758-B,154-777-B,154-797-B
supervise	154-821-B
supervision	154-840-B,154-863-B,154-882-B
supervisor	154-904-B,154-921-B,154-940-B,154-962-B,154-984-B
supper	154-1006-B,154-1021-B
supplement	154-1036-B,154-1058-B,154-1078-B,154-1098-B
supplicant	154-1116-B,154-1134-B
supplication	154-1152-B,154-1169-B,154-1186-B,154-1210-B,154-1233-B,154-1254-B
supplies	154-1273-B,154-1288-B,154-1303-B
supply	154-1317-B,154-1330-B,154-1343-B,154-1360-B,154-1375-B,154-1389-B,154-1403-B,154-1417-B,154-1431-B,154-1444-B,154-1456-B,154-1468-B,154-1480-B,154-1492-B
supplying	154-1507-B
support	154-1525-B,154-1539-B,154-1554-B,154-1569-B,154-1584-B,154-1603-B,154-1621-B,154-1637-B,154-1655-B,154-1672-B,154-1690-B,154-1707-B,154-1723-B,154-1739-B,154-1753-B,154-1769-B,154-1785-B,154-1800-B,154-1816-B,154-1832-B,154-1850-B,154-1865-B,154-1885-B,154-1900-B,154-1914-B,154-1929-B,154-1944-B,154-1959-B,154-1972-B,154-1987-B,154-2004-B,154-2019-B,154-2034-B,154-2048-B,154-2066-B,154-2084-B,154-2100-B,154-2117-B,154-2133-B,154-2147-B,154-2161-B,154-2175-B,154-2189-B,154-2203-B,154-2218-B,154-2233-B,154-2247-B,154-2261-B,154-2275-B,154-2289-B,154-2305-B,154-2321-B,154-2337-B,154-2350-B,154-2363-B
supporter	154-2376-B,154-2392-B
suppose	154-2409-B,154-2422-B,154-2437-B,154-2451-B
supposition	154-2465-B,154-2483-B,154-2501-B,154-2520-B,154-2540-B,154-2559-B,154-2578-B,154-2597-B
suppress	154-2618-B
suppression	154-2635-B
supreme	154-2661-B
surely	154-2677-B
surety	154-2688-B,154-2703-B,154-2718-B,154-2732-B,154-2746-B,154-2763-B
surf	154-2779-B,154-2793-B,154-2805-B
surface	154-2815-B,154-2828-B,154-2841-B
surge	154-2856-B,154-2872-B
surmise	154-2886-B,154-2900-B,154-2915-B
surmount	154-2929-B
surpass	154-2945-B,154-2961-B,154-2975-B,154-2989-B,154-3005-B
surplus	154-3019-B,154-3033-B
surprise	154-3047-B,154-3062-B,154-3077-B,154-3095-B,154-3115-B,154-3132-B,154-3151-B,154-3169-B,154-3187-B,154-3206-B,154-3223-B,154-3239-B,154-3257-B,154-3272-B,154-3289-B,154-3304-B,154-3319-B
surprising	154-3334-B
surrender	155-0-B,155-23-B,155-38-B,155-59-B
surreptitiously	155-77-B,155-104-B,155-133-B,155-161-B
surround	155-192-B,155-207-B,155-223-B,155-241-B,155-257-B
surrounding	155-275-B,155-297-B,155-318-B
surveillance	155-337-B,155-356-B,155-375-B
survey	155-395-B,155-407-B,155-422-B,155-435-B,155-447-B
survive	155-461-B
suspect	155-475-B,155-490-B,155-506-B,155-520-B,155-535-B
suspend	155-551-B,155-572-B,155-592-B,155-608-B,155-625-B,155-643-B
