shepherd	140-2433-B,140-2452-B
sherbet	140-2472-B,140-2490-B,140-2508-B,140-2524-B,140-2540-B,140-2557-B
shield	140-2574-B,140-2588-B,140-2599-B,140-2616-B,140-2629-B,140-2642-B,140-2661-B,140-2673-B,140-2685-B
shift	140-2700-B,140-2711-B
shifter	140-2722-B,140-2737-B
shifting	140-2752-B,140-2771-B
shilling	140-2788-B,140-2802-B
shine	140-2818-B,141-0-B,141-14-B,141-26-B,141-42-B,141-58-B,141-70-B,141-86-B,141-100-B,141-114-B,141-127-B,141-141-B,141-156-B,141-170-B,141-187-B,141-203-B,141-219-B,141-235-B,141-246-B,141-258-B,141-271-B,141-286-B,141-300-B,141-313-B
shining	141-326-B,141-340-B,141-356-B,141-373-B
ship	141-391-B,141-403-B,141-415-B,141-429-B,141-439-B,141-449-B,141-461-B,141-473-B,141-485-B
shipper	141-497-B,141-513-B
shipping	141-530-B
shipyard	141-548-B,141-565-B,141-583-B,141-597-B,141-613-B
shirk	141-629-B
shirt	141-640-B,141-654-B,141-668-B,141-680-B
shit	141-694-B,141-707-B,141-720-B
shiver	141-733-B,141-746-B,141-759-B,141-776-B,141-793-B,141-810-B
shivering	141-826-B,141-843-B
shock	141-860-B,141-875-B,141-890-B,141-904-B,141-917-B,141-934-B,141-946-B,141-960-B,141-973-B,141-987-B,141-1002-B,141-1016-B,141-1029-B
shoddy	141-1042-B,141-1056-B,141-1070-B,141-1084-B
shoe	141-1098-B,141-1109-B
shoot	141-1120-B,141-1140-B,141-1156-B,141-1169-B,141-1187-B,141-1199-B,141-1210-B,141-1222-B,141-1234-B,141-1245-B
shooting	141-1260-B,141-1275-B
shop	141-1290-B,141-1300-B,141-1312-B,141-1325-B,141-1336-B,141-1346-B,141-1356-B,141-1366-B
shopkeeper	141-1376-B,141-1398-B
shore	141-1419-B,141-1433-B,141-1445-B,141-1459-B,141-1471-B,141-1483-B,141-1495-B,141-1507-B,141-1520-B
short	141-1531-B,141-1543-B
shortage	141-1555-B,141-1570-B,141-1587-B,141-1603-B,141-1618-B,141-1633-B,141-1650-B,141-1667-B,141-1684-B,141-1703-B,141-1718-B,141-1735-B,141-1752-B,141-1773-B,141-1792-B,141-1810-B
shortcut	141-1828-B,141-1842-B,141-1866-B,141-1890-B
shorten	141-1914-B,141-1931-B,141-1947-B,141-1962-B
shortness	141-1979-B
shot	141-1995-B,141-2008-B,141-2023-B,141-2038-B,141-2052-B,141-2063-B,141-2074-B
shoulder	141-2087-B,141-2101-B,141-2115-B,141-2129-B,141-2143-B,141-2159-B,141-2175-B,141-2191-B
shout	141-2207-B,141-2219-B,141-2231-B,141-2250-B,141-2263-B,141-2274-B,141-2285-B,141-2298-B,141-2313-B,141-2325-B
shouting	141-2338-B,141-2354-B
shove	141-2368-B,141-2385-B,141-2401-B,141-2414-B,141-2426-B,141-2440-B,141-2454-B,141-2469-B,141-2485-B,141-2499-B,141-2512-B
show	141-2526-B,141-2537-B,141-2549-B,141-2562-B,141-2579-B,141-2591-B,141-2604-B,141-2618-B,141-2628-B
show off	141-2643-B,141-2660-B
showing	141-2678-B
showy	141-2697-B,141-2708-B
shrewd	141-2721-B,141-2735-B,141-2752-B
shrewdness	141-2767-B,141-2783-B,141-2799-B,141-2817-B,141-2835-B
shriek	141-2853-B,141-2867-B,141-2882-B
shrike	142-0-B
shrimp	142-12-B,142-25-B,142-38-B,142-51-B,142-64-B
shrink	142-79-B,142-94-B,142-108-B,142-121-B,142-136-B
shrivel	142-148-B,142-164-B,142-180-B,142-196-B
shroud	142-211-B,142-225-B,142-239-B,142-253-B,142-267-B,142-281-B
shrub	142-295-B,142-309-B,142-322-B,142-335-B,142-349-B,142-361-B,142-373-B,142-387-B
shudder	142-400-B,142-414-B,142-430-B,142-444-B,142-458-B,142-476-B,142-494-B,142-509-B,142-526-B,142-544-B,142-561-B,142-577-B,142-592-B
shuffle	142-607-B
shut	142-623-B,142-635-B
shy	142-647-B
shyness	142-655-B,142-668-B
sick	142-681-B
sickly	142-693-B,142-707-B
sickness	142-721-B,142-739-B,142-756-B,142-773-B,142-789-B,142-805-B,142-821-B,142-837-B,142-851-B,142-868-B
side	142-883-B,142-895-B,142-906-B,142-917-B,142-928-B,142-939-B,142-950-B
siege	142-962-B
sieve	142-978-B,142-994-B
sift	142-1008-B,142-1023-B,142-1036-B,142-1050-B,142-1065-B,142-1078-B,142-1091-B,142-1105-B,142-1118-B,142-1131-B,142-1145-B,142-1157-B
sigh	142-1168-B,142-1181-B,142-1200-B,142-1215-B
sight	142-1225-B,142-1240-B
sign	142-1251-B,142-1264-B,142-1280-B,142-1291-B,142-1302-B,142-1314-B,142-1326-B,142-1338-B,142-1349-B,142-1361-B,142-1373-B,142-1385-B,142-1400-B,142-1412-B,142-1423-B,142-1434-B,142-1448-B,142-1462-B
signal	142-1477-B,142-1492-B,142-1508-B,142-1522-B,142-1536-B,142-1550-B,142-1564-B,142-1577-B,142-1589-B,142-1601-B,142-1616-B
signature	142-1631-B,142-1647-B
significance	142-1663-B,142-1682-B
significant	142-1702-B,142-1721-B,142-1740-B
significantly	142-1762-B,142-1783-B
signify	142-1804-B
silence	142-1822-B,142-1842-B,142-1856-B,142-1873-B
silent	142-1887-B,142-1903-B,142-1921-B,142-1936-B
silently	142-1948-B,142-1968-B
silicon	142-1982-B
silk	142-1999-B,142-2011-B
sill	142-2023-B,142-2034-B,142-2047-B,142-2062-B,142-2075-B,142-2088-B,142-2103-B
silliness	142-2116-B,142-2133-B,142-2149-B
silly	142-2163-B,142-2178-B,142-2190-B
silver	142-2201-B,142-2215-B,142-2228-B
similar	142-2241-B,142-2260-B,142-2279-B
similarity	142-2292-B,142-2309-B,142-2330-B,142-2348-B,142-2368-B,142-2384-B,142-2400-B,142-2419-B,142-2438-B,142-2454-B,142-2470-B,142-2490-B,142-2510-B,142-2531-B,142-2550-B,142-2572-B,142-2592-B,142-2609-B
similarly	142-2626-B,142-2644-B,142-2662-B,142-2682-B,142-2700-B,142-2725-B,142-2745-B
similitude	142-2761-B,142-2780-B
simple	142-2799-B,142-2811-B
simpleton	142-2825-B,142-2840-B,142-2859-B,142-2878-B,142-2895-B,142-2914-B,142-2933-B
simplicity	142-2953-B,142-2970-B
simplify	142-2987-B,142-3007-B
simulate	143-0-B
simultaneously	143-16-B,143-40-B,143-60-B
sin	143-82-B
since	143-92-B,143-103-B,143-116-B,143-128-B,143-141-B,143-155-B,143-167-B,143-181-B,143-196-B,143-208-B,143-220-B,143-231-B,143-243-B
sincere	143-257-B,143-274-B,143-287-B
sinew	143-304-B,143-315-B,143-326-B,143-337-B,143-350-B,143-362-B,143-374-B
sing	143-386-B,143-397-B
singe	143-407-B
singing	143-421-B,143-437-B
single	143-453-B
singly	143-468-B
singular	143-485-B,143-500-B
singularity	143-515-B,143-535-B
sink	143-557-B,143-571-B,143-583-B,143-594-B,143-606-B,143-617-B,143-631-B
sinker	143-644-B,143-658-B,143-672-B
sir	143-686-B,143-698-B,143-708-B,143-719-B,143-730-B,143-741-B
sirloin	143-752-B,143-767-B,143-782-B,143-797-B
sisal	143-812-B,143-825-B,143-838-B,143-851-B,143-864-B
sister in law	143-877-B,143-898-B
sit	143-917-B,143-926-B,143-936-B
sitting	143-945-B,143-959-B
situation	143-973-B,143-988-B,143-1003-B,143-1020-B,143-1037-B,143-1054-B,143-1071-B,143-1088-B,143-1105-B,143-1122-B
six	143-1138-B
sixteen	143-1147-B,143-1168-B,143-1189-B
sixth	143-1207-B
sixty	143-1221-B
size	143-1234-B,143-1244-B,143-1255-B,143-1266-B,143-1278-B,143-1290-B
sizzle	143-1300-B,143-1319-B
skate	143-1338-B,143-1348-B
sketch	143-1358-B,143-1373-B,143-1389-B,143-1405-B,143-1419-B
skilful	143-1433-B
skill	143-1448-B,143-1463-B,143-1478-B,143-1492-B,143-1505-B,143-1518-B,143-1532-B,143-1546-B,143-1559-B,143-1571-B,143-1585-B,143-1599-B,143-1612-B,143-1625-B
skillful	143-1638-B,143-1654-B,143-1669-B,143-1686-B,143-1702-B,143-1717-B
skin	143-1733-B,143-1745-B,143-1758-B,143-1771-B,143-1783-B,143-1794-B,143-1804-B,143-1817-B,143-1828-B,143-1839-B,143-1850-B,143-1861-B,143-1872-B
skirmish	143-1883-B,143-1901-B,143-1920-B,143-1938-B
skirt	143-1954-B,143-1967-B,143-1979-B,143-1991-B,143-2003-B,143-2015-B,143-2027-B
skit	143-2039-B,143-2055-B
sky	143-2071-B,143-2082-B
slack	143-2093-B,143-2106-B,143-2119-B,143-2133-B,143-2146-B,143-2161-B,143-2174-B,143-2187-B,143-2200-B,143-2213-B
slacken	143-2228-B
slackness	143-2244-B,143-2262-B,143-2280-B,143-2297-B,143-2315-B,143-2332-B,143-2354-B
slam	143-2370-B
slander	143-2388-B,143-2404-B,143-2418-B,143-2433-B,143-2451-B,143-2469-B,143-2487-B,143-2503-B,143-2520-B,143-2536-B,143-2552-B,143-2569-B,143-2585-B,143-2601-B,143-2618-B,143-2634-B,143-2652-B,143-2668-B,143-2682-B,143-2699-B,143-2717-B,143-2731-B,143-2746-B,143-2762-B,143-2778-B,143-2794-B,143-2813-B,143-2832-B,143-2850-B,143-2862-B,144-0-B,144-18-B,144-36-B,144-56-B,144-73-B,144-90-B,144-109-B,144-125-B
slanderer	144-139-B,144-161-B,144-183-B,144-203-B
slant	144-226-B,144-239-B,144-255-B
slap	144-270-B,144-286-B
slash	144-297-B,144-309-B
slattern	144-322-B,144-336-B
slaughter	144-351-B,144-369-B,144-386-B,144-404-B,144-423-B
slave	144-439-B,144-449-B,144-459-B,144-474-B,144-486-B
slaver	144-501-B,144-516-B,144-531-B
slavery	144-545-B,144-557-B
slavishly	144-572-B
sleep	144-590-B,144-602-B,144-614-B,144-628-B,144-651-B
sleeper	144-666-B,144-683-B
sleepiness	144-698-B
slender	144-715-B,144-732-B
slenderness	144-749-B
slice	144-770-B,144-784-B,144-797-B,144-808-B,144-821-B,144-833-B
slide	144-845-B,144-863-B,144-880-B,144-896-B,144-908-B,144-922-B,144-935-B,144-949-B
slight	144-963-B,144-976-B,144-989-B,144-1004-B,144-1021-B,144-1039-B,144-1053-B,144-1065-B,144-1077-B
slim	144-1091-B,144-1105-B
slime	144-1119-B,144-1134-B,144-1149-B
slingshot	144-1160-B,144-1176-B,144-1192-B
slip	144-1209-B,144-1220-B,144-1233-B,144-1249-B,144-1260-B,144-1277-B,144-1293-B,144-1308-B,144-1323-B,144-1338-B,144-1350-B,144-1363-B,144-1377-B
slipper	144-1392-B,144-1406-B
slipperiness	144-1422-B,144-1443-B
slit	144-1461-B
slither	144-1472-B
slope	144-1490-B,144-1505-B,144-1520-B,144-1536-B,144-1548-B,144-1561-B,144-1575-B,144-1589-B,144-1603-B,144-1619-B,144-1634-B,144-1648-B
slough	144-1662-B
slow	144-1680-B,144-1691-B,144-1702-B,144-1716-B
slowly	144-1730-B,144-1745-B,144-1757-B,144-1771-B,144-1791-B,144-1803-B,144-1819-B
slowness	144-1835-B,144-1851-B,144-1867-B,144-1885-B,144-1908-B
slug	144-1923-B,144-1932-B
sluggishness	144-1943-B,144-1963-B,144-1983-B,144-2005-B
slump	144-2032-B,144-2045-B
slut	144-2059-B,144-2069-B
sly	144-2080-B,144-2091-B,144-2101-B,144-2114-B,144-2125-B,144-2139-B,144-2149-B
slyness	144-2164-B,144-2179-B
small	144-2194-B,144-2206-B
smallness	144-2220-B,144-2236-B
smart	144-2252-B,144-2267-B,144-2280-B,144-2292-B,144-2305-B,144-2317-B,144-2332-B,144-2348-B,144-2361-B
smartly	144-2375-B
smartness	144-2393-B,144-2409-B,144-2428-B,144-2447-B
smear	144-2468-B,144-2481-B,144-2499-B
smell	144-2513-B,144-2526-B,144-2539-B,144-2552-B,144-2565-B,144-2578-B,144-2591-B,144-2602-B,144-2614-B
smile	144-2626-B,144-2639-B,144-2655-B,144-2671-B,144-2686-B
smiling	144-2701-B,144-2718-B
smoke	144-2735-B,144-2749-B,144-2761-B,144-2776-B,144-2790-B,144-2804-B,144-2816-B,144-2829-B,144-2843-B,144-2856-B,144-2871-B,144-2886-B,144-2900-B
smoking	144-2912-B,144-2929-B,144-2946-B,144-2962-B
smooth	145-0-B,145-15-B,145-30-B,145-46-B,145-63-B,145-77-B,145-92-B,145-105-B
smoothness	145-118-B,145-136-B
smuggle	145-154-B,145-172-B
smuggler	145-189-B,145-207-B
smuggling	145-226-B,145-246-B,145-266-B,145-286-B,145-305-B,145-323-B,145-341-B
smut	145-360-B,145-373-B
snail	145-386-B,145-396-B,145-411-B,145-423-B
snake	145-440-B,145-451-B,145-461-B,145-472-B,145-485-B,145-502-B,145-515-B,145-531-B
snap	145-542-B,145-554-B,145-567-B,145-582-B
snapper	145-595-B,145-610-B
snare	145-625-B,145-637-B,145-651-B,145-665-B,145-679-B,145-693-B,145-707-B,145-719-B
snarl	145-734-B,145-748-B
snatch	145-763-B,145-778-B,145-794-B,145-811-B,145-825-B,145-840-B,145-853-B,145-869-B
snatcher	145-882-B,145-900-B
sneak	145-919-B,145-937-B,145-953-B
sneeze	145-969-B,145-982-B,145-997-B,145-1011-B,145-1027-B,145-1047-B
sniff	145-1062-B
snobbery	145-1077-B
snore	145-1094-B,145-1108-B,145-1122-B,145-1136-B,145-1149-B
snort	145-1164-B,145-1178-B,145-1192-B,145-1208-B
snow	145-1222-B,145-1235-B
snub	145-1248-B
snuff	145-1260-B,145-1272-B
snuffle	145-1284-B
so	145-1301-B,145-1308-B,145-1316-B,145-1325-B,145-1333-B,145-1341-B,145-1353-S
so and so	145-1353-B
soak	145-1370-B,145-1384-B,145-1397-B,145-1410-B,145-1424-B
soap	145-1436-B,145-1448-B
soar	145-1460-B
sobbing	145-1472-B,145-1493-B,145-1512-B,145-1527-B,145-1542-B
soccer	145-1559-B,145-1575-B
sociability	145-1591-B
socialism	145-1611-B,145-1628-B
socialist	145-1645-B,145-1662-B,145-1684-B,145-1706-B
society	145-1724-B,145-1740-B,145-1754-B,145-1768-B,145-1782-B,145-1798-B,145-1814-B,145-1832-B,145-1849-B,145-1869-B,145-1889-B,145-1903-B
socket	145-1917-B,145-1932-B
soda	145-1947-B,145-1959-B
sodium	145-1971-B
soft	145-1985-B,145-1997-B,145-2009-B,145-2021-B,145-2032-B,145-2048-B,145-2058-B,145-2068-B
soften	145-2082-B
softly	145-2099-B,145-2112-B,145-2134-B
softness	145-2152-B,145-2168-B
soggy	145-2186-B
soil	145-2203-B,145-2216-B,145-2229-B,145-2240-B,145-2251-B,145-2262-B,145-2275-B
solder	145-2287-B,145-2306-B,145-2320-B,145-2334-B,145-2348-B,145-2362-B
soldier	145-2376-B,145-2395-B
sole	145-2413-B,145-2424-B,145-2435-B,145-2445-B,145-2455-B,145-2467-B
solely	145-2477-B
solid	145-2491-B
solidarity	145-2503-B
solidify	145-2520-B
solidity	145-2539-B,145-2555-B,145-2575-B,145-2593-B,145-2611-B
solidly	145-2629-B
solitariness	145-2644-B
solitary	145-2663-B,145-2678-B,145-2692-B
solitude	145-2706-B,145-2722-B,145-2738-B,145-2752-B,145-2767-B,145-2782-B,145-2797-B,145-2813-B
soloist	145-2829-B,145-2844-B
solution	145-2859-B,145-2878-B,145-2896-B,145-2915-B,145-2932-B,145-2950-B,145-2970-B,146-0-B
solve	146-18-B,146-32-B,146-47-B
some	146-60-B,146-73-B,146-85-B,146-97-B
somersault	146-110-B,146-129-B,146-148-B
something	146-165-B,146-180-B
sometimes	146-195-B,146-219-B,146-237-B
somewhat	146-255-B,146-270-B
song	146-286-B,146-298-B,146-310-B,146-322-B,146-333-B
soon	146-344-B,146-363-B,146-377-B,146-388-B,146-408-B
soonest	146-423-B
soot	146-438-B,146-450-B,146-463-B,146-476-B,146-488-B,146-500-B,146-512-B,146-525-B,146-536-B
