life-guard	tagluaskabuhi
lift	batakon
lift	hakwaton
light	kasanag
light	mamag-an
light	sindihan
light	suga
lighten	pamag-anan
lighten	sug-an
lightning	kilat
like	handumon
like	ketulad
like	luyag
like	pareho
like	skanawong
likely	nagakaenggid
liken	ipareho
liken	itulad
likewise	amosman
likewise	isa pa
lilt	itik
limb	hita
limb	kamut
limb	sanga
limb	sbatiis
limb	tiil
lime	apog
limelight	lente
limit	tubtobssa
limit	utlan
limitation	dulonan
limitation	talaksan
limitless	wala'ysdulonan
limping	pagpiangkul
line	hapinssa sulod
line	kurit
line	tanda
lineage	gingikanan
lineage	kaliwat
linen	desilo
linen	lino
linger	maghukmong
linger	maglisngadlisngad
lingering	manglisngad
linguist	sampatonssa hambal
link	sugpon
link	sugponon
link	talabid
link	talabiron
lion	leon
lionize	pagsalosalohan
lip	bibig
liquid	likido
liquidation	pagbayaray
liquidation	paglikidar
liquor	alak
liquor	ilimnonsnga makapahubog
list	ilista
list	isulat
list	listahan
listen	mamati
listen	pamatian
literacy	kinaadmanssa pagsulat kag pagbasa
literate	mahibalosmagsulat kag magbasa
literature	liberatura
literature	panulat
little	diotay
live	mabuhi
live	mangabuhi
livelihood	kabuhian
lively	kabuhismapagsik
liver	atay
livestock	hinuptansnga mga hayup
load	ikarga
load	ipapas-an
load	silulan
loaf	daw ulonan
loaf	pan amerikano
loaf	tinapaysnga daku
loan	magpahulam
loan	pahulaman
loathe	maghilayo
loathe	magkataka
loathesome	hililayoan
loathesome	talak-an
lobby	hulatan
local	lokal
local	natungodssa puok ukon banwa
locate	pangitaon
location	kinahamtangan
lock	ikandado
lock	itrangka
lock	kandado
lock	sipitala
lock	spitala
lock	trangka
lock	yabihan
lockjaw	sag-angon
lockup	kitaypunisnga bukotan
locomotive	makinassang tren
lodge	lingkuranssa sine
lodge	magdayon
lodge	magpuyo
lofty	bugalon
lofty	mataas
lofty	skataason
log	troso
logic	lohika
logic	sandiganssang pagpangatarungan
lone	isahanon
lonely	isasisa
lonely	mamingawon
lonesome	mamingaw
lonesome	masinulub-on
long	kadugayon
long	malaba
longshoreman	kargadorsukon manoghakwat sang karga sang bapor
look	dagway
look	itsura
loom	pinil-an
loom	salabayan
loose	hubaron
loose	nakabuhi
loose	snalugakan
loosen	buy-an
loosen	hugakan
loot	kawat
loot	kawatan
Lord	GinuongsDios
Lord	Makaako
lose	pagkaparut
lose	pagkapierde
loss	pagkapierde
lot	lotesnga duta
loud	magahud
loud	magansal
love	paghigugma
love	pagpalangga
lovely	magayon
lovely	mahigugmaon
lovely	smaambong
lover	hinigugma
lover	manoghigugma
low	kubos
low	manubo
loyal	tampadsang buot
loyalty	kabunayag
loyalty	pagkatampad
luck	kapalaran
luck	swerte
lucky	mapalaron
lucky	maysswerte
lucky	palaran
ludicrous	makahalam-ot
lumber	siniadsiadsnga tapi
lumber	tapi
lump	bukol
lump	lanog
lunatic	buangit
lunatic	rendidosang ulo
lunch	panyaga
lung	baga
lure	budhian
lure	buyukon
lure	pangbuyok
lure	pangpaon
lurk	manilag
lurk	maningadsingad
lush	maduga
lush	malubod
lust	hingabot
luster	masili
luster	sililawan
luxuriant	dagaya
luxuriant	madarno
luxurious	luhoso
luxurious	mabisyoso
luxury	bisyo
luxury	luho
lye	lihiya
machine	makina
machinery	makinaryas
machinist	makinista
mad	buangbuang
madam	ginang
madam	tya
madden	nagsalimuang
magazine	magasinsbodega sang rebolber ukon polbora
magic	madyik
magic	mahiko
magic	ssalamangka
magical	engkantado
magical	enkantohanon
magician	madyikero
magician	salamangkero
magistrate	hukom
magistrate	mahistrado
magnate	dungganonsnga tao
magnate	manggaran
magnet	bato-balani
