a	1-0-B,1-6-B
abandon	1-35-B
abdomen	1-52-B
abduct	1-66-B,1-80-B
abeyance	1-96-B
abide	1-114-B
ability	1-128-B
able	1-147-B,1-164-B
abnormal	1-180-B
aboard	1-208-B,1-225-B
abolish	1-240-B,1-266-B
abortive	1-281-B,1-300-B
about	1-341-B,1-356-B
above	1-372-B,1-384-B
abrupt	1-400-B
absent	1-416-B
absolute	1-428-B,1-450-B
absorb	1-468-B
absurd	1-484-B
abundance	1-497-B
abuse	1-515-B,1-527-B
accent	1-543-B
accept	1-557-B
accidentally	1-573-B
accompany	1-596-B
accomplish	1-616-B
account	1-636-B
accountant	1-654-B
accuse	1-675-B
accustom	1-693-B
ache	1-712-B,1-722-B
acidity	1-733-B,1-747-B
acknowledge	1-763-B,1-783-B
acquaint	1-805-B
acquire	1-823-B
across	1-838-B
act	1-854-B
action	1-867-B
active	1-880-B
actress	1-895-B
actual	1-919-B
add	1-932-B,1-944-B
addition	1-956-B,1-975-B
address	1-996-B,1-1014-B
adequate	1-1031-B,1-1046-B
adjective	1-1065-B
adjust	1-1084-B,1-1097-B
admiral	1-1110-B
admiration	1-1128-B,1-1150-B
admire	1-1171-B
admission	1-1187-B
admit	1-1205-B,1-1217-B
adopt	1-1232-B,1-1246-B
adore	1-1262-B
adult	1-1278-B
advance	1-1293-B,1-1309-B
advantage	1-1327-B,1-1346-B
adventure	1-1368-B
adventurous	1-1392-B
adverb	1-1418-B,1-1434-B
advertise	1-1451-B,1-1470-B
advertisement	1-1491-B,1-1513-B
advice	1-1537-B,1-1551-B,1-1565-B
advise	1-1579-B,1-1595-B,1-1614-B
affair	1-1629-B,1-1645-B
affidavid	1-1664-B
affiliate	1-1683-B,1-1705-B
afford	1-1727-B,1-1743-B
afraid	1-1761-B
after	1-1777-B
afternoon	1-1794-B,1-1810-B
afterwards	1-1825-B
again	1-1849-B
against	1-1861-B
age	1-1878-B,1-1887-B
agency	1-1902-B
agent	1-1917-B,1-1930-B
agree	1-1947-B,1-1962-B
agreeable	1-1978-B
agreement	1-2002-B,1-2023-B
agriculture	1-2042-B,1-2066-B
ahead	1-2089-B
aid	1-2107-B,1-2117-B
aim	1-2128-B,1-2139-B
air	1-2155-B
airmail	1-2166-B
airplane	1-2182-B
aisle	1-2200-B,1-2215-B
alarm	1-2229-B
alas	1-2243-B
alcohol	1-2253-B
alien	1-2269-B
alienate	1-2285-B
alight	1-2313-B
alignment	1-2328-B
alike	1-2349-B,1-2367-B
alive	1-2385-B
all	1-2396-B
allegiaance	1-2406-B
alligator	1-2433-B
allow	1-2449-B
ally	1-2463-B,1-2476-B
almighty	1-2488-B
almost	1-2509-B
along	1-2522-B
aloud	1-2537-B
alphabet	1-2552-B
already	1-2570-B
also	1-2581-B,1-2590-B
altar	1-2600-B
although	1-2612-B,1-2627-B
altitude	1-2645-B
altogether	1-2663-B
always	1-2686-B
ambassador	1-2696-B
ambition	1-2717-B
amend	1-2733-B
among	1-2748-B
amount	1-2762-B,1-2774-B
ample	1-2790-B,1-2802-B
amulet	1-2816-B
amusement	1-2837-B
ancestor	1-2858-B
anchor	1-2877-B,1-2891-B
ancient	1-2906-B
and	1-2927-B
angelus	1-2935-B
anger	1-2951-B
anguish	1-2962-B,1-2978-B
animal	1-2995-B
ankle	1-3008-B
anniversary	1-3023-B,1-3047-B
announce	1-3069-B,1-3088-B
annoy	1-3106-B,1-3119-B
annual	1-3134-B
another	1-3150-B,1-3163-B
answer	1-3178-B
ant	1-3191-B,45-2579-S
anus	1-3201-B,1-3215-B
anxiety	1-3225-B
anybody	1-3244-B
anything	1-3264-B
anyway	1-3283-B
anywhere	1-3299-B
apart	1-3319-B,2-0-B
apartment	2-12-B
apiece	2-38-B
apparatus	2-56-B
apparently	2-75-B
apparition	2-98-B
appeal	2-120-B,2-137-B,2-156-B,2-174-B
appear	2-191-B
appearance	2-208-B
appetite	2-226-B,2-241-B
application	2-255-B
apply	2-278-B
appoint	2-301-B
appointment	2-317-B
appreciate	2-335-B,2-356-B
appreciation	2-376-B,2-406-B
apprentice	2-433-B,2-453-B
approach	2-472-B
approve	2-491-B
apricot	2-512-B
apron	2-530-B
arbor	2-543-B,2-555-B
arch	2-571-B
archipelago	2-581-B
architect	2-602-B
ardor	2-622-B,2-638-B
are	2-651-B,2-662-B
area	2-673-B,2-687-B
argue	2-700-B
argument	2-719-B
arise	2-738-B,2-753-B,2-772-B
arithmetic	2-787-B
armor	2-809-B
arms	2-822-B,2-833-B
army	2-845-B,2-857-B
around	2-875-B
arrange	2-893-B
arrangement	2-909-B
arrest	2-932-B,2-946-B
arrival	2-964-B
arrive	2-981-B
arrow	2-995-B
art	2-1006-B,2-1015-B
article	2-1030-B,2-1047-B,2-1064-B
as	2-1078-B,2-1093-B
ascend	2-1107-B,2-1125-B
ascendancy	2-1139-B
ash	2-1158-B
ashamed	2-1166-B
ashore	2-1181-B,2-1197-B
aside	2-1212-B
ask	2-1242-B,2-1257-B,2-1271-B
asleep	2-1284-B
assail	2-1302-B
assault	2-1318-B,2-1333-B
assemble	2-1349-B,2-1368-B
assembly	2-1385-B
assemblyman	2-1407-B,2-1433-B
assign	2-1454-B,2-1470-B
assignment	2-1487-B,2-1509-B
assimilate	2-1529-B
assist	2-1547-B
assistance	2-1562-B
associate	2-1579-B
association	2-1596-B
assume	2-1619-B,2-1640-B
assure	2-1654-B
astonish	2-1670-B
astonishment	2-1689-B
astray	2-1715-B
asylum	2-1731-B,2-1746-B
at	2-1759-B
attach	2-1765-B
attachment	2-1778-B
