quiver	värähtää
quixotic	epäkäytännöllinen
quiz	kiusoitella
quiz	kysellä
quiz	tietokilpailu
quiz	visailu
quizzical	koominen
quoin	kiila
quoin	kulma
quorum	päätösvaltaisuus
quota	kiintiö
quota	osuus
quotation	kurssi
quotation	lainalause
quotation	lainaus
quotation	maininta
quotation	noteeraus
quotation	pörssinoteeraus
quote	lainata
quote	mainita
quote	noteerata
quote	noteeraus
quote	siteerata
quotidian	päivittäinen
quotient	osamäärä
rabbi	rabbiini
rabbit	kani
rabbit	kaniini
rabble	roskaväki
rabid	hurja
rabid	raivoisa
rabid	vesikauhuinen
rabies	raivotauti
rabies	vesikauhu
raccoon	pesukarhu
race	ajaa
race	ajot
race	heimo
race	juosta
race	kiitää
race	kilpa
race	kilpailla
race	kilpailu
race	kisa
race	kouru
race	rotu
race	suku
race	virta
racer	kilpa-auto
racer	kilpailija
racer	kilpajuoksija
racetrack	rata
racial	rodullinen
racialist	rotukiihkoilija
racism	rotuviha
racist	rotukiihkoilija
rack	hylly
rack	häkki
rack	kiduttaa
rack	kiusata
rack	naulakko
rack	piinapenkki
rack	raastaa
rack	ristikko
rack	tavarateline
rack	teline
rack	vaatenaulakko
rack	vaivata
racket	hälinä
racket	keikka
racket	kiristys
racket	maila
racket	melske
racket	meteli
racket	reuhata
racket	rähinä
racket	räminä
racketeer	gangsteri
racquet	maila
radial	säteittäinen
radian	radiaani
radiance	hohde
radiant	aurinkoinen
radiant	säteilevä
radiate	heijastaa
radiate	sädehtiä
radiate	säteittäinen
radiation	sädehoito
radiation	sädetys
radiator	jäähdytin
radiator	lämpöpatteri
radiator	patteri
radiator	radiaattori
radical	juuri
radical	jyrkkä
radical	kantasana
radical	perinpohjainen
radical	perusteellinen
radical	radikaali
radicalism	jyrkkyys
radicalism	radikaalisuus
radicalism	radikalismi
radicalism	äärimmäisyyskanta
radically	täysin
radio	radio
radio	radioida
radioactive	radioaktiivinen
radioactivity	radioaktiivisuus
radiograph	röntgenkuva
radiotherapy	sädehoito
radish	retiisi
radium	radium
radius	säde
radius	värttinäluu
raffle	arpajaiset
raffle	arpoa
raffle	arvonta
raft	lautata
raft	lautta
rafter	lauttamies
rafter	orsi
rafter	parru
rag	hulina
rag	härnätä
rag	kiusoitella
rag	lumppu
rag	metakka
rag	meteli
rag	metelöidä
rag	naljailla
rag	nälviä
rag	repliikki
rag	riekale
rag	riepu
rag	ryysy
rag	rätti
rag	rääsy
ragamuffin	ryysyläinen
rage	kiihko
rage	raivo
rage	raivota
rage	riehua
rage	temmeltää
rage	vimma
raging	raivo
raging	riehuminen
ragtime	koominen
raid	etsintä
raid	hyökkäys
raid	partioretki
raid	ratsia
raid	rosvoretki
raid	ryöstöretki
raid	ylläkkötarkastus
raid	yllätyshyökkäys
raider	kaapparilaiva
rail	aidake
rail	aidata
rail	aisa
rail	haukkua
rail	kaide
rail	kisko
rail	kiskottaa
rail	moittia
rail	parras
rail	raide
rail	ratakisko
rail	rautatiekisko
rail	suojakaide
rail	tanko
railhead	päätekohta
raillery	naljailu
raillery	pilailu
railroad	rata
railway	rata
railwayman	rautatieläinen
raiment	asu
raiment	puku
rain	sade
rain	sadella
rain	sataa
rain	vesisade
rain	vuodattaa
rainbow	sateenkaari
raincoat	popliinitakki
raincoat	sadetakki
raindrop	sadepisara
rainfall	sademäärä
raining	vuodattaminen
rainless	poutainen
rainless	sateeton
rainy	sateinen
raise	aiheuttaa
raise	esittää
raise	hankkia
raise	herättää
raise	kallistaa
raise	kasvattaa
raise	kohottaa
raise	korottaa
