schoolteacher	217-121-B
schooner	217-144-B
science	217-161-B,217-182-B
scientific	217-196-B
scientist	217-220-B,217-249-B,217-269-B,217-298-B
scimitar	217-316-B,217-339-B
scion	217-355-B,217-367-B
sclerosis	217-382-B
sclerotic	217-402-B
scoff	217-425-B,217-438-B
scold	217-452-B,217-467-B,217-481-B,217-495-B
sconce	217-507-B,217-523-B
scoop	217-545-B,217-560-B,217-574-B,217-589-B,217-605-B,217-621-B,217-633-B,217-646-B,217-659-B,217-671-B,217-686-B,217-704-B
scoot	217-720-B
scooter	217-733-B
scope	217-752-B,217-762-B,217-773-B,217-789-B,217-803-B,217-822-B,217-834-B
scorch	217-849-B,217-866-B,217-883-B,217-902-B,217-922-B,217-937-B
score	217-952-B,217-970-B,217-991-B,217-1003-B,217-1015-B,217-1032-B,217-1049-B,217-1062-B,217-1078-B,217-1094-B,217-1108-B,217-1119-B,217-1129-B,217-1141-B,217-1154-B
scoreboard	217-1166-B
scorer	217-1188-B,217-1206-B
scoria	217-1225-B
scoring	217-1238-B
scorn	217-1258-B,217-1274-B,217-1288-B,217-1304-B
scornful	217-1321-B,217-1340-B,217-1361-B,217-1387-B
scorpion	217-1408-B
scotch	217-1427-B
scoundrel	217-1445-B,217-1464-B,217-1482-B,217-1498-B
scour	217-1515-B,217-1528-B,217-1542-B,217-1560-B,217-1574-B,217-1591-B,217-1605-B
scourer	217-1621-B
scourge	217-1634-B,217-1651-B,217-1669-B,217-1687-B,217-1706-B,217-1721-B
scout	217-1737-B,217-1752-B,217-1772-B,217-1788-B,217-1807-B
scoutmaster	217-1820-B
scrabble	217-1846-B,217-1865-B
scrag	217-1886-B,217-1898-B
scraggy	217-1910-B,217-1926-B,217-1942-B
scramble	217-1958-B,217-1974-B,217-1992-B,217-2012-B,217-2030-B
scrap	217-2048-B,217-2060-B,217-2072-B,217-2083-B,217-2098-B
scrape	217-2111-B,217-2126-B,217-2140-B,217-2155-B,217-2172-B,217-2189-B,217-2203-B
scraper	217-2220-B
scrappy	217-2235-B,217-2259-B
scratch	217-2282-B,217-2297-B,217-2312-B,217-2332-B,217-2348-B,217-2369-B,217-2384-B,217-2403-B,217-2418-B,217-2436-B,217-2451-B,217-2468-B,217-2484-B
scratching	217-2499-B,217-2521-B,217-2539-B
scrawl	217-2558-B,217-2575-B,217-2591-B,217-2607-B,217-2624-B,217-2643-B
scrawny	217-2659-B,217-2673-B,217-2689-B
scream	217-2705-B,217-2722-B,217-2738-B,217-2752-B,217-2766-B,217-2780-B,217-2797-B,217-2811-B
screaming	217-2826-B,217-2844-B,217-2860-B
screech	217-2879-B,217-2894-B,217-2909-B,217-2924-B,217-2939-B,217-2955-B
screen	217-2971-B,217-2988-B,217-3005-B,217-3022-B,217-3039-B,217-3056-B,217-3073-B,217-3086-B,217-3099-B,217-3113-B,217-3126-B,217-3142-B,217-3162-B,217-3176-B,217-3190-B,217-3209-B,217-3226-B
screening	217-3241-B,217-3261-B,217-3281-B,217-3299-B
screenplay	217-3321-B
screw	218-0-B,218-15-B,218-28-B,218-44-B,218-61-B,218-72-B,218-85-B,218-97-B,218-111-B
screwdriver	218-127-B
scribble	218-151-B,218-170-B,218-190-B,218-210-B,218-230-B,218-250-B,218-269-B,218-287-B,218-305-B,218-324-B,218-345-B
scribbler	218-363-B,218-385-B
scribe	218-405-B,218-426-B,218-445-B
scrimp	218-460-B
scrip	218-479-B
script	218-492-B,218-509-B
scrofula	218-531-B
scrofulous	218-550-B
scroll	218-574-B,218-590-B,218-605-B,218-621-B,218-636-B
scrooge	218-652-B
scrotum	218-668-B
scrounge	218-687-B,218-704-B
scrub	218-720-B,218-734-B,218-748-B,218-764-B
scrubby	218-777-B
scrubland	218-799-B
scruple	218-819-B,218-834-B,218-850-B,218-871-B
scrupulous	218-890-B,218-915-B,218-941-B,218-969-B,218-987-B,218-1010-B
scrutineer	218-1034-B
scrutinize	218-1055-B,218-1078-B
scrutiny	218-1101-B,218-1121-B
scud	218-1140-B
