energy	voima
enervation	lamaantuneisuus
enervation	raukeus
enfilade	sivustatuli
enfold	kietoa
enfold	syleillä
enfold	ympäröidä
enforce	pakottaa
enforce	soveltaa
enforcement	pakko
enforcement	pakkokeino
enforcement	pakkotoimenpiteet
enforcement	täytäntöönpano
enforcement	voimaanpano
enfranchise	vapauttaa
engage	kihlata
engage	kiinnittää
engage	lupautua
engage	palkata
engage	pestata
engage	sitoa
engage	sitoutua
engage	tarttua
engage	tilata
engage	vaatia
engage	varata
engage	vetää
engage	vuokrata
engagement	kahakka
engagement	kihlaus
engagement	sitoumus
engagement	taistelu
engaging	miellyttävä
engaging	sitominen
engaging	sitoutuminen
engaging	sitova
engaging	tarttuva
engaging	varata
engine	kone
engine	moottori
engine	veturi
engine	voimakone
engineer	insinööri
engineer	järjestää
engineer	keksiä
engineer	koneenkäyttäjä
engineer	konemestari
engineer	lavastaa
engineer	teknikko
engineer	veturinkuljettaja
engineering	insinööritaito
engineering	järjestäminen
engineering	keksiminen
engineering	koneoppi
engineering	koneteollisuus
engineering	rakentaminen
engineering	rakentava
engineering	tekniikka
engrave	kaivertaa
engrave	teroittaa
engraver	kaivertaja
engross	kiinnittää
engrossment	syventyminen
engulf	nielaista
enhance	kohottaa
enhance	korottaa
enhance	lisätä
enhancement	lisäys
enigmatic	arvoituksellinen
enjoin	käskeä
enjoin	määrätä
enjoy	iloita
enjoy	nauttia
enjoy	pitää
enjoyable	hauska
enjoyable	miellyttävä
enjoyable	nautinnollinen
enjoyable	nautittava
enjoyment	hauskuus
enjoyment	huvi
enjoyment	käyttöoikeus
enjoyment	nautinto
enlarge	laajentaa
enlarge	suurentaa
enlarge	väljentää
enlargement	laajennus
enlargement	suurennus
enlighten	valaista
enlighten	valistaa
enlightenment	valaistus
enlist	pestata
enlist	pestautua
enlist	värvätä
enlist	värväytyä
enlistment	pesti
enlistment	värväys
enliven	elostuttaa
enliven	elvyttää
enliven	elähdyttää
enliven	elävöittää
enliven	piristää
enmity	viha
enmity	vihamielisyys
enmity	vihollisuus
ennoble	jalostaa
ennoblement	ylevyys
ennui	ikävystyminen
ennui	ikävä
enormity	suunnattomuus
enormous	jättiläiskokoinen
enormous	suunnaton
enormous	valtava
enormous	ääretön
enough	kerrakseen
enough	kylliksi
enough	kyllin
enough	riittävä
enough	tarpeeksi
enquire	kysyä
enquire	tiedustella
enquire	tutkia
enquirer	kysyjä
enquiry	kysely
enquiry	tutkimus
enrage	raivostuttaa
enrage	vihastuttaa
enrich	höystää
enrich	rikastuttaa
enrichment	rikastuminen
enrol	rekisteröidä
enroll	kirjoittautua
enroll	pestata
enroll	rekisteröidä
enroll	värvätä
enrollment	kirjaus
enrollment	kirjoittautuminen
enrolment	määrä
enrolment	rekisteröinti
ensemble	yhteissoitto
ensemble	yhtye
ensign	lippu
ensign	merkki
enslave	orjuuttaa
enslavement	orjuus
enslavement	orjuutus
ensue	kehittyä
ensue	seurata
ensue	sukeutua
ensure	taata
ensure	turvata
ensure	varmistaa
entail	sukukartano
entail	sääntöperintö
entangle	kietoa
entangle	sotkea
entanglement	este
entanglement	selkkaus
enter	antautua
enter	astua
enter	kirjata
enter	kirjoittautua
enter	liittyä
enter	mennä
enter	merkitä
enter	ruveta
enter	ryhtyä
enter	tulla
entering	astuminen
entering	kirjaaminen
entering	kirjoittautuminen
entering	liittyminen
enteritis	suolitulehdus
enterprise	aloitekyky
enterprise	terhakkuus
enterprise	yritteliäisyys
enterprise	yrittäjyys
enterprise	yritys
entertain	edustaa
entertain	huvittaa
entertain	kestitä
entertain	viihdyttää
entertaining	edustaminen
entertaining	edustava
entertaining	huvittava
entertaining	kestitseminen
entertainment	hauskutus
entertainment	huvi
entertainment	huvitus
entertainment	ilo
entertainment	viihde
enthral	kahlehtia
enthral	kiehtoa
enthral	lumota
enthuse	intoilla
enthusiasm	innokkuus
enthusiasm	into
enthusiasm	kiihkeys
enthusiast	kannattaja
enthusiastic	innokas
enthusiastic	innostunut
