his	hänen
hiss	kihahtaa
hiss	kihinä
hiss	kihistä
hiss	kähistä
hiss	pihinä
hiss	pihistä
hiss	sihahtaa
hiss	sihinä
hiss	sähinä
hiss	tuhista
hiss	vihellys
historian	historioitsija
history	historia
history	historiikki
histrionic	teatraalinen
hit	iskeä
hit	isku
hit	kolhaista
hit	letkaus
hit	lyödä
hit	menestys
hit	osua
hit	sattua
hit	tavata
hit	yleisömenestys
hitch	este
hitch	kiinnittää
hitch	kiskaista
hitch	kytkeä
hitch	nykäistä
hitch	nykäisy
hitch	pysähdys
hitch	solmu
hitch	vastus
hitch	vetäistä
hitchhiker	peukalokyytiläinen
hither	tänne
hitting	lyöminen
hitting	osuva
hive	mehiläiskeko
hive	mehiläisparvi
hive	mehiläispesä
hoar	huurre
hoar	kuura
hoard	aarre
hoard	hamstrata
hoard	varasto
hoarse	karhea
hoarse	käheä
hoarse	painuksissa
hoarseness	karheus
hoarseness	käheys
hoary	vanha
hoax	ankka
hoax	kuje
hoax	puijata
hobble	nilkuttaa
hobby	erikoisharrastus
hobby	harrastus
hobby	keppihevonen
hobby	kärpänen
hobby	lempiharrastus
hobby	mieliharrastus
hobby	nuolihaukka
hobbyhorse	keppihevonen
hobbyist	askartelija
hobgoblin	menninkäinen
hobgoblin	mörkö
hobnail	naula
hobo	kulkuri
hobo	maankiertäjä
hock	kinner
hock	kinttu
hock	pantata
hock	reininviini
hocus-pocus	silmänkääntötemppu
hoe	hakku
hoe	kitkeä
hoe	kuokka
hoe	kuokkia
hoe	perata
hog	karju
hog	sika
hoist	nostaa
hoist	nostolaite
hoity-toity	kopea
hokum	roska
hold	estää
hold	hallita
hold	hoitaa
hold	kannatella
hold	kestää
hold	lastiruuma
hold	mahtua
hold	omata
hold	omistaa
hold	ote
hold	painiote
hold	pidellä
hold	pidättää
hold	pitää
hold	pysyä
hold	päättää
hold	ruuma
hold	sisältää
hold	toimittaa
hold	vetää
holder	haltija
holder	imuke
holder	jalusta
holder	kannatin
holder	omistaja
holder	pidike
holder	pidin
holding	estäminen
holding	hallitseminen
holding	kestävä
holding	omistaminen
holding	omistus
holding	pidättäminen
holding	pitävä
holding	pysyminen
holding	pysyvä
holding	päättävä
holding	toimittaminen
holding	vetävä
holding	vuokratila
hole	kolo
hole	kuoppa
hole	luola
hole	läpi
hole	murju
hole	pesä
hole	pula
holiday	juhlapäivä
holiday	loma
holiday	lomapäivä
holiday	lupa
holiday	lupapäivä
holiday	pyhä
holiday	vapaapäivä
holiday	vuosiloma
holidaymaker	lomailija
holiness	pyhyys
holler	huhuilla
holler	huudella
holler	huutaa
hollo	huhuilla
hollo	huhuta
hollo	huutaa
hollow	kolo
hollow	kovertaa
hollow	kumea
hollow	kuoppa
hollow	laskeuma
hollow	onkalo
hollow	ontelo
hollow	sisällyksetön
hollow	sisäänpainunut
hollow	syvänne
hollow	tyhjä
hollow	uurtaa
hollow	vajoama
holography	holografia
holster	kotelo
homage	kunnianosoitus
homage	kunnioituksenosoitus
homage	uskollisuudenvala
home	asunto
home	hoitola
home	kohdalleen
home	koti
home	kotiin
home	kotimainen
home	kotipaikka
home	kotiseutu
home	koto
home	kotona
home	maali
home	pesä
homeland	kotimaa
homeless	asunnoton
homeless	koditon
homelike	kodikas
homelike	kotoinen
homely	kodikas
homely	ruma
homely	rumannäköinen
homely	vaatimaton
homely	yksinkertainen
homemade	kotitekoinen
homemaker	perheenemäntä
homespun	kotikutoinen
homespun	sarka
homestead	kontu
homestead	kotikontu
homestead	maatalo
homework	kotiläksy
homework	kotitehtävä
