tyranny	tyrannia
tyrant	julmuri
tyrant	tyranni
tyro	oppipoika
udder	nisä
udder	udar
udder	utare
ugliness	rumuus
ugly	ilkeä
ugly	inhottava
ugly	paha
ugly	pahannäköinen
ugly	ruma
ugly	rumannäköinen
ugly	vastenmielinen
ulcer	haava
ulcer	haavautuma
ulcer	märkähaava
ulcer	mätähaava
ulcer	mätäpaise
ulcerate	haavautua
ulterior	salattu
ultimate	lopullinen
ultimate	perus-
ultimate	viimeinen
ultimately	vihdoin
ultimatum	uhkavaatimus
ultra	ultra
ultraconservative	patavanhoillinen
ultraconservative	rutivanhoillinen
ultramarine	merensininen
ultramarine	ultramariini
ultrasound	ultraääni
ultraviolet	ultravioletti
umbelliferous	sarjakukkainen
umbrage	pahennus
umbrage	siimes
umbrella	sateensuoja
umbrella	sateenvarjo
umpire	erotuomari
unable	kykenemätön
unable	kyvytön
unable	pystymätön
unaccountable	outo
unaccountable	selittämätön
unalterable	muuttumaton
unambiguous	yksiselitteinen
unanimity	yksimielisyys
unanimous	yksimielinen
unanswerable	kumoamaton
unappeasable	leppymätön
unappreciative	ymmärtämätön
unapproachable	luoksepääsemätön
unattainable	saavuttamaton
unattractive	epämiellyttävä
unattractive	ruma
unattractive	rumannäköinen
unavoidable	väistämätön
unavoidable	välttämätön
unavoidable	vääjäämätön
unaware	tietämätön
unbearable	sietämätön
unbeatable	pistämätön
unbeatable	voittamaton
unbeaten	voittamaton
unbelief	epäusko
unbelievable	epäuskottava
unbelievable	uskomaton
unbeliever	uskoton
unbend	oieta
unbend	oikaista
unbend	rentoutua
unbend	vapautua
unbidden	kutsumaton
unbolt	avata
unborn	syntymätön
unbound	sitomaton
unbound	sitoutumaton
unbreakable	murtumaton
unbreakable	särkymätön
unbroken	eheä
unbroken	harjoittamaton
unbroken	katkeamaton
unbroken	keskeytymätön
unbroken	kesyttämätön
unbroken	kokonainen
unbroken	lakkaamaton
unbroken	murtumaton
unbroken	rikkomaton
unbroken	yhtenäinen
unbroken	yhtäjaksoinen
unbroken	yhtämittainen
unbuckle	avata
unburden	huojentaa
unburden	keventää
unburden	vapauttaa
unbutton	avata
uncalled-for	aiheeton
uncalled-for	tarpeeton
uncanny	kaamea
uncanny	kammottava
uncanny	salaperäinen
uncanny	yliluonnollinen
uncared-for	hoitamaton
unceremonious	kainostelematon
unceremonious	kursailematon
unceremonious	luonteva
uncertain	epämääräinen
uncertain	epätietoinen
uncertain	epävarma
uncertain	tietymätön
uncertainty	epämääräisyys
uncertainty	epätietoisuus
uncertainty	epävakaisuus
uncertainty	epävarmuus
unchallengeable	epäämätön
unchallengeable	esteetön
unchallengeable	jäävitön
unchallengeable	jääväämätön
unchallengeable	vastaansanomaton
unchangeable	muuttumaton
uncharitable	armoton
uncharitable	kovasydäminen
uncharitable	säälimätön
unchivalrous	epäritarillinen
unchristian	epäkristillinen
uncivil	epäkohtelias
uncle	eno
uncle	setä
unclean	epäpuhdas
unclean	likainen
unclean	saastainen
uncleanliness	ruokottomuus
uncleanness	likaisuus
unclear	epäselvä
uncomfortable	epämiellyttävä
uncomfortable	epämukava
uncomfortable	hankala
uncomfortable	levoton
uncomfortable	nolo
uncomfortable	tukala
uncommon	harvinainen
uncommonly	äärettömän
uncommunicative	harvapuheinen
uncommunicative	itseensäsulkeutunut
uncommunicative	juro
uncommunicative	umpimielinen
uncommunicative	vaitelias
uncommunicative	vähäpuheinen
uncompetitive	kilpailukyvytön
uncompromising	peräänantamaton
uncompromising	taipumaton
uncompromising	tinkimätön
unconcern	huolettomuus
unconcern	suruttomuus
unconditional	ehdoton
unconditional	tinkimätön
uncongenial	epämieluinen
uncongenial	epäterveellinen
uncongenial	eriluonteinen
unconquerable	kukistumaton
unconquerable	valloittamaton
unconquerable	voittamaton
unconscionable	kohtuuton
unconscious	tajuton
unconscious	tiedoton
unconscious	tietämätön
unconscious	tunnoton
unconsciousness	tainnostila
unconsciousness	tajuttomuus
unconsciousness	tiedottomuus
unconsciousness	tietämättömyys
uncontrollable	hillitön
unconventional	ennakkoluuloton
unconventional	epäsovinnainen
uncork	avata
uncouple	irrottaa
uncouth	eriskummallinen
uncouth	kömpelö
uncouth	moukkamainen
uncover	paljastaa
uncritical	arvostelukyvytön
unction	hurskailu
unction	voide
unction	voitelu
unctuous	öljymäinen
uncurl	oieta
uncut	avaamaton
undecipherable	selvittämätön
undemocratic	epädemokraattinen
undemonstrative	pidättyvä
undeniable	epäämätön
undeniable	kieltämätön
undeniable	kumoamaton
undeniable	vääjäämätön
undeniably	eittämättä
undeniably	kieltämättä
under	alainen
under	alapuolella
under	alapuolelle
