a vis	277-2057-S,277-2075-S
abacus	1-21-B,1-34-B
abaft	1-52-B
abandon	1-65-B,1-86-B,1-103-B,1-121-B
abandonment	1-140-B,1-166-B
abase	1-191-B,1-205-B
abasement	1-225-B,1-243-B,1-265-B
abate	1-286-B,1-300-B,1-314-B,1-331-B,1-349-B,1-363-B,1-378-B,1-395-B,1-413-B,1-427-B,1-442-B,1-458-B
abatement	1-476-B,1-500-B,1-519-B
abattoir	1-539-B
abbess	1-559-B
abbey	1-576-B,1-591-B
abbot	1-612-B
abbreviate	1-625-B,1-648-B
abbreviation	1-670-B
abdicate	1-692-B
abdomen	1-708-B
abduction	1-722-B,1-741-B,1-766-B
abeam	1-785-B
aberration	1-802-B,1-823-B,1-852-B
abet	1-877-B,1-889-B
abhor	1-905-B
abhorrence	1-918-B,1-934-B
abhorrent	1-951-B,1-971-B
abide	1-996-B,1-1011-B,1-1026-B,1-1040-B,1-1055-B
ability	1-1069-B,1-1085-B,1-1098-B,1-1116-B,1-1134-B,1-1152-B,1-1170-B
abject	1-1185-B,1-1201-B,1-1214-B
abjection	1-1234-B
abjure	1-1256-B
able	1-1272-B,1-1284-B,1-1299-B,1-1313-B,1-1327-B,1-1341-B
ablution	1-1354-B
abnegate	1-1368-B
abnegation	1-1384-B
abnormal	1-1408-B,1-1425-B,1-1447-B,1-1466-B
abnormality	1-1489-B,1-1513-B,1-1539-B
abode	1-1569-B,1-1582-B
abolish	1-1603-B,1-1618-B,1-1637-B
abolition	1-1653-B
abominable	1-1674-B,1-1693-B,1-1716-B
abominate	1-1737-B
abomination	1-1754-B,1-1771-B
aboriginal	1-1789-B
abort	1-1814-B,1-1833-B,1-1852-B
abortion	1-1868-B
abortionist	1-1885-B
abortive	1-1906-B
abound	1-1930-B,1-1948-B
about	1-1961-B,1-1975-B,1-1989-B,1-2006-B,1-2019-B,1-2033-B,1-2044-B,1-2062-B,1-2079-B,1-2093-B,1-2110-B,1-2128-B
above	1-2146-B,1-2160-B,1-2175-B,1-2191-B,1-2208-B,1-2218-B,1-2230-B,1-2242-B,1-2261-B,1-2280-B
abrade	1-2299-B,1-2314-B,1-2328-B
abrasion	1-2342-B,1-2363-B
abreast	1-2381-B,1-2400-B
abridge	1-2415-B,1-2435-B,1-2454-B,1-2471-B
abridgement	1-2490-B
abridgment	1-2514-B,1-2537-B
abroad	1-2557-B,1-2573-B
abrogate	1-2591-B,1-2607-B
abrogation	1-2624-B
abrupt	1-2646-B,1-2661-B,1-2680-B,1-2698-B,1-2714-B,1-2732-B,1-2752-B
abruptly	1-2772-B
abruptness	1-2789-B,1-2809-B,1-2833-B,1-2853-B
abscess	1-2876-B,1-2889-B
abscissa	1-2903-B
abscond	1-2921-B,1-2940-B,1-2954-B
absence	1-2973-B,1-2991-B,1-3005-B
absent	1-3025-B,1-3045-B,1-3064-B
absentee	1-3080-B
absinthe	1-3101-B,1-3119-B
absolute	1-3137-B,1-3160-B,1-3177-B,1-3201-B,1-3217-B,1-3239-B,1-3261-B
absolutely	1-3285-B,1-3309-B,1-3331-B
absoluteness	1-3350-B
absolution	1-3375-B
absolutism	1-3402-B
absolve	1-3425-B
absorb	1-3443-B,1-3461-B,1-3474-B,1-3489-B,1-3504-B
absorbing	1-3521-B,1-3540-B
absorption	1-3562-B
abstain	1-3586-B,1-3607-B
abstainer	2-0-B,2-22-B
abstemious	2-45-B
abstemiousness	2-69-B
abstention	2-97-B
abstinence	2-122-B,2-149-B,2-174-B,2-199-B,2-223-B
abstinent	2-243-B,2-266-B
abstract	2-288-B,2-309-B,2-328-B,2-345-B,2-370-B,2-391-B,2-409-B,2-427-B
abstraction	2-447-B,2-470-B
abstruse	2-496-B,2-515-B
absurd	2-540-B,2-555-B,2-573-B,2-589-B,2-606-B,2-624-B,2-644-B,2-661-B
absurdity	2-681-B,2-701-B,2-726-B,2-749-B
abundance	2-773-B,2-791-B
abundant	2-818-B,2-837-B,2-853-B,2-870-B
abundantly	2-895-B,2-922-B,2-942-B
abuse	2-958-B,2-972-B,2-986-B,2-1000-B,2-1014-B,2-1028-B,2-1042-B,2-1056-B
abut	2-1079-B
abutment	2-1094-B
abysmal	2-1108-B
abyss	2-1125-B,2-1137-B,2-1149-B
abyssal	2-1162-B
acacia	2-1179-B
academic	2-1194-B,2-1215-B,2-1232-B,2-1253-B
academician	2-1278-B
academy	2-1302-B,2-1319-B,2-1339-B,2-1353-B
accede	2-1368-B,2-1381-B,2-1397-B,2-1412-B
accelerate	2-1425-B,2-1446-B,2-1467-B,2-1491-B,2-1511-B,2-1533-B,2-1554-B,2-1574-B
accelerating	2-1596-B
accelerator	2-1623-B,2-1647-B
accent	2-1669-B,2-1682-B,2-1695-B,2-1711-B,2-1727-B,2-1745-B
accentuate	2-1762-B,2-1782-B,2-1803-B
accept	2-1827-B,2-1845-B,2-1862-B,2-1877-B,2-1894-B,2-1909-B
