stylus	neula
suave	miellyttävä
suave	rakastettava
suavity	rakastettavuus
subaltern	alempi
subaltern	yliupseeri
subclass	alaluokka
subconscious	alitajuinen
subconscious	alitajunta
subconscious	tiedoton
subcontract	alihankintasopimus
subcontract	aliurakka
subcontractor	alihankkija
subcontractor	aliurakoitsija
subcutaneous	ihonalainen
subdivision	alajaotus
subdue	alistaa
subdue	hillitä
subdue	kukistaa
subdue	lannistaa
subdue	voittaa
subgroup	alaryhmä
subject	aihe
subject	aine
subject	alamainen
subject	alistaa
subject	henkilö
subject	kansalainen
subject	kohde
subject	oppiaine
subject	puheenaihe
subject	subjekti
subject	teema
subject	vallanalainen
subjection	alaisuus
subjection	alamaisuus
subjection	alistaminen
subjection	vallanalaisuus
subjective	itsekohtainen
subjective	omakohtainen
subjective	subjektiivinen
subjectivity	subjektiivisuus
subjugate	alistaa
subjugate	kukistaa
subjugation	alistaminen
subjugation	kukistaminen
subjunctive	konjunktiivi
sublimate	sublimoida
sublimation	sublimaatio
sublime	hämmästyttävä
sublime	jalo
sublime	ylevä
sublime	ylhäinen
sublimity	alitajuinen
sublimity	ylevyys
submarine	merenalainen
submarine	sukellusvene
submarine	vedenalainen
submerge	painua
submerge	peittää
submerge	sukeltaa
submerge	upottaa
submerge	vajota
submission	alistaminen
submission	alistuminen
submission	nöyryys
submissive	alamainen
submissive	alistuvainen
submissive	nöyrä
submissiveness	alistuvaisuus
submissiveness	myöntyväisyys
submit	alistaa
submit	alistua
submit	suostua
submit	taipua
subnormal	vajaamielinen
subordinate	alainen
subordinate	alempi
subordinate	alempiarvoinen
subordinate	alistaa
subordinate	alisteinen
subordinate	toisarvoinen
subordination	alaisuus
subordination	alamaisuus
subordination	alistaminen
subordination	alistussuhde
subordination	käskynalaisuus
subordination	vallanalaisuus
suborn	houkutella
suborn	lahjoa
subpoena	haastaa
subpoena	haaste
subscribe	allekirjoittaa
subscribe	avustaa
subscribe	merkitä
subscribe	tilata
subscribe	yhtyä
subscriber	allekirjoittaja
subscriber	avustaja
subscriber	tilaaja
subscript	indeksi
subscription	allekirjoitus
subscription	avustus
subscription	ennakkotilaus
subscription	jäsenmaksu
subscription	maksu
subscription	merkintä
subscription	tilaus
subsection	momentti
subsequent	jälkeinen
subsequently	jäljestäpäin
subsequently	myöhemmin
subsequently	sittemmin
subserve	edistää
subservience	alamaisuus
subservience	nöyristely
subservient	alamainen
subside	asettua
subside	laantua
subside	laskea
subside	painua
subside	talttua
subside	tyyntyä
subside	vaipua
subsidence	laskeminen
subsidiary	tytäryhtiö
subsidize	avustaa
subsidy	apu
subsidy	apuraha
subsidy	avustus
subsidy	kannatusmaksu
subsidy	subventio
subsidy	tukipalkkio
subsist	elää
subsist	olla olemassa
subsistence	toimeentulo
subsistence	ylläpito
subsoil	jankko
subsoil	pohja
subspecies	alalaji
subspecies	lajike
substance	aine
substance	aines
substance	materiaali
substance	olemus
substance	omaisuus
substance	pääsisällys
substance	sisältö
substance	substanssi
substance	todellisuus
substance	ydin
substance	ydinkohta
substandard	ala-arvoinen
substantial	aineellinen
substantial	huomattava
substantial	luja
substantial	melkoinen
substantial	painava
substantial	ruokaisa
substantial	todellinen
substantial	tukeva
substantial	tuntuva
substantial	vahva
substantial	vankka
substantial	varakas
substantial	voimakas
substantially	pääkohdittain
substantiate	vahvistaa
substantiation	näyttö
substantive	materiaalinen
substantive	substantiivinen
substitute	korvata
substitute	korvike
substitute	substituoida
substitute	vaihtopelaaja
substitute	varamies
substitute	vastike
substitute	viransijainen
substituting	korvata
substitution	korvaaminen
substitution	korvaus
substratum	perusta
substratum	pohja
substratum	pohjakerros
subsume	lukea
subsume	sisällyttää
subterfuge	tekosyy
subterranean	maanalainen
subtle	hieno
subtle	ovela
subtlety	herkkyys
subtlety	hienous
subtlety	saivartelu
subtract	vähentää
subtraction	vähennyslasku
subtropical	subtrooppinen
suburb	asumalähiö
suburb	esikaupunki
suburb	lähiö
subvention	subventio
