kleptomaniac	kleptomaani
knack	näppäryys
knack	temppu
knapsack	kontti
knapsack	reppu
knapsack	selkäreppu
knave	roisto
knave	sotamies
knavish	konnamainen
knavish	roistomainen
knead	alustaa
knead	sotkea
knead	vaivata
knee	polveke
knee	polvi
knee-high	polvenkorkuinen
kneecap	polvilumpio
kneel	polvistua
kneeling	polvistuminen
knell	kuolinkellot
knickers	housut
knife	lasta
knife	puukko
knife	puukottaa
knife	veitsi
knight	aatelismies
knight	hevonen
knight	korottaa
knight	ratsu
knight	ritari
knighthood	aatelisarvo
knighthood	ritarinarvo
knighthood	ritarisääty
knightly	ritarillinen
knit	kutoa
knit	neule
knit	neuloa
knit	yhdistää
knitter	kutoja
knitter	kutomakone
knitting	kudelma
knitting	kudin
knitting	neule
knitting	neulominen
knitting	puikko
knitting	yhdistäminen
knitwear	neule
knitwear	trikoo
knob	kahva
knob	kyhmy
knob	kädensija
knob	muhkura
knob	nuppi
knob	pahka
knob	palanen
knob	patti
knob	vedin
knobbly	kyhmyinen
knobbly	muhkurainen
knobbly	ryhmyinen
knobby	kyhmyinen
knobby	nystyräinen
knobby	ryhmyinen
knock	iskeä
knock	isku
knock	kolahdus
knock	kolahtaa
knock	kolaus
knock	kolauttaa
knock	kolhaista
knock	kolhaisu
knock	kolkata
knock	kolkutus
knock	kopauttaa
knock	koputus
knock	lyödä
knock	nakuttaa
knock	paukuttaa
knock-down	musertava
knocker	kolkutin
knocking	lyöminen
knockout	tyrmäys
knoll	kumpu
knoll	kunnas
knoll	mäki
knot	kyhmy
knot	nuttura
knot	nystermä
knot	oksa
knot	pahka
knot	patti
knot	pulma
knot	sitoa
knot	solmia
knot	solmu
knot	solmuväli
knot	sykerö
knothole	oksanreikä
knotty	kiperä
knotty	konstikas
knotty	kyhmyinen
knotty	oksainen
knotty	ryhmyinen
knotty	solmuinen
knotty	vaikea
knotty	visainen
knout	solmuruoska
know	osata
know	taitaa
know	tietää
know	tunnistaa
know	tuntea
know-how	taitotieto
know-how	tietotaito
know-how	tietämys
know-how	tuntemus
knowing	taitaminen
knowing	taitava
knowing	tietäminen
knowing	tunteminen
knowing	viisas
knowingly	tieten
knowledge	asiantuntemus
knowledge	oppi
knowledge	tieto
knowledge	tietoisuus
knowledge	tietous
knowledge	tietämys
knowledge	tuntemus
known	tietty
known	tunnettu
known	tuttu
knuckle	potka
knuckle	rystynen
kohlrabi	kyssäkaali
kolkhoz	kolhoosi
kopek	kopeekka
koruna	kruunu
kosher	puhdas
kowtow	kumarrella
kowtow	pokkuroida
krona	kruunu
krone	kruunu
kudos	kunnia
kudos	maine
la-di-da	hieno
lab	laboratorio
label	etiketti
label	lappu
label	leimata
label	lipuke
label	luokitella
label	merkitä
label	nimilappu
labile	epävakaa
labor	ahertaa
labor	ponnistus
labor	raadanta
labor	raataa
labor	synnytyspoltot
labor	työ
laboratory	laboratorio
laborious	isotöinen
laborious	raskas
laborious	suuritöinen
laborious	työläs
laborious	työteliäs
laborious	vaivalloinen
labour	ahertaa
labour	ponnistus
labour	raadanta
labour	raataa
labour	synnytyspoltot
labour	työ
labourer	työläinen
labourer	työmies
labourer	työntekijä
labyrinth	labyrintti
labyrinth	sokkelo
labyrinthine	sokkeloinen
lac	kumilakka
lace	kaluuna
lace	nauha
lace	nyörittää
lace	paula
lace	pitsi
lace	punos
lacerate	raadella
lacerate	repiä
laceration	raatelu
lack	kaivata
lack	pula
lack	puute
lack	puuttua
lack	puuttuminen
lackadaisical	raukea
lackey	hännystellä
lackey	lakeija
lackey	palvella
lacking	kaivata
