liikatuotanto	171-3381-B
liikauttaa	160-2286-B,242-3290-B
liikavaesto	172-131-B
liikavarvas	54-2635-B
liikaverisyys	182-3274-B
liike	32-1269-B,49-1210-B,97-10-B,108-17-B,114-1768-B,151-2595-B,160-503-B,160-2302-B,160-2490-B,182-1508-B,225-12-B,243-2772-B
liikeala	32-1284-B
liikeapulainen	43-1655-B
liikeasia	32-1302-B
liikehdinta	160-2505-B,242-3306-B
liikehermo	160-710-B
liikehtia	151-2611-B,160-2313-B,224-340-B,242-3324-B
liikehuoneisto	168-1572-B
liikekannallepano	158-812-B
liikekumppani	14-896-B,174-3303-B
liikelaskenta	2-3826-B
liikemies	32-1445-B
liikeneva	15-3572-B,234-3072-B,250-2270-B
liikenne	221-1369-B,263-1263-B
liikennelentokone	6-2971-B
liikennerikkomus	263-1280-B,277-933-B
liikennevaline	275-1699-B
liikennevayla	258-1898-B
liikenneyhteys	47-2346-B,50-3520-B,221-1386-B
liikennoida	169-1142-B,183-2250-B,213-1193-B
liikerata	56-943-B,175-3053-B
liiketapahtuma	263-2924-B
liikevaihto	268-417-B
liikevoima	125-3654-B,159-0-B
liikevoitto	190-3852-B
liikeyritys	32-1321-B,49-1224-B
liikkeenharjoittaja	32-1467-B,225-83-B,243-3037-B,263-950-B
liikkeenhoito	151-569-B
liikkeeseenlasku	135-2320-B
liikkua	30-3134-B,109-2394-B,160-2329-B,242-3340-B,264-2697-B
liikkuma ala	141-1223-B,211-1588-B,234-2346-B
liikkumatila	141-1245-B,211-1606-B,217-803-B,234-2365-B
liikkumaton	125-1001-B,125-1516-B,160-547-B,196-2017-B,242-1755-B
liikkumattomuus	125-1022-B
liikkuminen	110-286-B,160-2652-B,243-89-B
liikkuva	99-601-B,110-304-B,158-752-B,160-2114-B,160-2671-B,243-110-B
liikkuvaisuus	158-789-B
liikunta	88-3140-B,160-516-B,160-2527-B
liikuteltava	160-2131-B
liikuttaa	5-2195-B,49-1244-B,160-2342-B,242-3353-B,262-1998-B
liikuttava	5-2274-B,49-1312-B,160-2687-B,175-3110-B,243-128-B,262-2278-B
liikutus	82-3449-B
liimainen	109-1894-B
liimamainen	109-1910-B,109-2027-B
liimata	109-1866-B,114-664-B,175-1972-B,242-532-B
liimauspuristin	42-794-B,57-1020-B
liimautua	4-951-B,109-1879-B,242-546-B
liimavari	73-3989-B
liina	44-1151-B,145-987-B,145-1379-B,216-1291-B
liinainen	145-1391-B
liinavaatteet	145-1407-B
liioitella	87-2874-B,150-361-B,171-2485-B,172-155-B
liioiteltu	90-2704-B
liioittelu	87-2940-B,123-2360-B
liipaisin	265-2248-B
liira	145-2751-B
liisteri	175-1986-B,228-124-B
liisteroida	182-605-B,228-138-B,242-562-B
liitaa	99-509-B,109-324-B,232-1870-B
liitanta	50-3546-B,133-1533-B
liite	4-391-B,4-1427-B,9-1885-B,10-3402-B,10-3468-B,83-1648-B,131-2362-B,131-2497-B,187-3287-B,209-909-B,249-2857-B
liitin	43-3062-B,50-3650-B,56-440-B,56-488-B
liito	109-312-B
liitolentokone	109-419-B
liitoskohta	136-2287-B,136-2638-B,137-1959-B,137-2154-B,218-2065-B
liittaa	4-364-B,5-2497-B,5-2687-B,7-2927-B,9-1897-B,10-3369-B,14-920-B,14-3222-B,17-2271-B,50-3391-B,83-1449-B,128-308-B,131-2375-B,136-2318-B,145-1955-B,248-1884-B,253-1470-B,256-2374-B,271-2060-B
liittaminen	9-1970-B,50-3471-B,83-1542-B,136-2489-B
liitto	7-1709-B,44-2846-B,46-1927-B,50-382-B,56-1606-B,94-772-B,128-428-B,142-796-B,265-77-B,271-1593-B
liittokansleri	38-1806-B
liittokunta	94-790-B,142-810-B
liittolainen	7-2893-B,50-334-B
liittolaisuus	7-1725-B
liittoutua	7-2911-B,50-359-B,142-829-B
liittoutuma	7-1748-B
liittovaltio	94-813-B
liittya	2-1381-B,50-3374-B,84-3053-B,128-287-B,133-2050-B,136-2304-B,145-1941-B,156-2803-B,271-2045-B
liittymakohta	137-1980-B
liittyminen	50-3448-B,84-3202-B,136-2469-B
liitu	38-1108-B,57-2097-B
liituinen	38-1120-B
liitumainen	58-706-B
liivate	107-962-B,107-978-B,135-1986-B
liivihame	137-1928-B
liivit	25-2497-B,55-1230-B,108-1458-B,230-208-B,276-1269-B,279-43-B
lika	71-399-B,96-525-B,112-1505-B,160-2953-B
likaantua	71-538-B,233-92-B
likainen	70-2518-B,71-554-B,96-549-B,102-2022-B,112-1550-B,126-3150-B,160-2996-B,162-2164-B,229-866-B,231-2165-B,233-3072-B,238-1322-B,269-2814-B
likaisenharmaa	70-2533-B
likaisuus	70-2498-B,71-441-B,126-3198-B,162-2000-B,238-1472-B,269-2877-B
likakaivo	38-583-B,38-601-B,249-340-B
likavesi	222-1787-B
likaviemari	222-1838-B
liki	44-406-B,163-462-B,163-695-B
likiarvo	11-2308-B
likiarvoinen	11-2137-B
likimaarainen	11-2162-B,212-87-B
likimaarin	11-2262-B,212-453-B
likinakoinen	162-148-B
likinakoisyys	162-125-B,225-727-B
likistaa	122-1532-B,135-3657-B,180-2559-B,238-2767-B
likistys	238-2750-B
likomarka	232-1731-B,232-2582-B,233-0-B,233-2874-B
likoori	145-2349-B
likviditeetti	145-2638-B
likvidoida	145-2490-B
lila	145-63-B
lilja	145-102-B
lima	160-2917-B,160-3060-B,179-2453-B,229-2669-B
limainen	160-3044-B,179-2504-B,229-2747-B
limakalvo	160-3027-B
limiitti	145-373-B
limittainen	171-3081-B
limonaati	143-647-B
limppu	146-1913-B
lineaarinen	145-1360-B
lingota	37-3417-B,123-359-B
lingvisti	145-1737-B
linimentti	82-2488-B,145-1779-B
linja	32-1040-B,56-960-B,145-998-B,184-1353-B,212-1311-B,221-1409-B
linjalaiva	145-1486-B
linjatuomari	145-1523-B
linkki	145-1970-B
linkku	141-672-B
linkkuveitsi	177-1924-B
linko	36-2544-B,37-3436-B,90-2303-B
linna	36-1985-B,39-2166-B,43-2934-B,102-1094-B,114-3025-B,135-3564-B,173-254-B,189-3491-B
linnake	19-903-B,102-741-B
linnanpaallikko	46-3367-B,51-3224-B
linnavaki	106-2412-B
linnoittaa	102-988-B
linnoittaminen	102-935-B
linnoittautua	85-1021-B
linnoittua	36-1998-B
linnoitus	41-3366-B,93-1623-B,102-964-B,102-1109-B,245-2826-B
linnoituslaitteet	286-140-B
linnunpelatti	104-80-B,104-2297-B,114-1546-B,216-1183-B
linnunpoika	40-1407-B
linnunrata	106-236-B
linnustaa	102-2840-B
linnusto	16-110-B
linssi	143-1269-B,143-1297-B
lintu	23-669-B,102-2855-B
lintuhakki	16-38-B,23-694-B
lintukauppias	186-1745-B
lintukoira	184-392-B,221-2941-B
lintunen	23-715-B
lintutiede	170-2474-B
lintutieteilija	170-2443-B
liota	232-1688-B,241-1980-B
liottaa	232-1699-B,241-1992-B
liottaminen	232-1751-B
lipas	27-2855-B,36-1047-B,36-1420-B,43-3074-B,149-2832-B
lipasto	68-852-B,219-349-B,219-393-B
lipea	149-1854-B
lipeva	109-215-B,168-2369-B,229-1876-B,231-1541-B
liplattaa	140-2530-B
liplatus	140-2544-B,210-407-B
lippa	176-2218-B,236-867-B,277-2809-B
lippu	18-474-B,46-826-B,46-1175-B,56-560-B,84-2701-B,97-2602-B,135-3209-B,229-2944-B,240-231-B,259-2510-B
lippuaanestys	17-1757-B
lippulaiva	97-2784-B
lipputanko	97-2705-B
lipsahtaa	229-2955-B
lipua	109-339-B
lipuke	56-573-B,139-2359-B,185-2059-B,253-1912-B,259-2523-B
lipunkantaja	240-537-B
liputtaa	97-2613-B
lirina	210-423-B
lirista	194-2509-B,210-438-B
lirkuttaa	45-353-B
lisa	4-491-B,4-1441-B,4-2752-B,7-2322-B,26-1241-B,90-1095-B,90-2049-B,128-947-B
lisaa	90-2078-B,159-2604-B
lisaaine	4-587-B
lisaantya	29-866-B,113-946-B,128-997-B,132-4358-B,161-890-B,190-1885-B,191-2034-B,192-201-B,206-386-B,210-702-B
lisake	10-3418-B,10-3483-B
lisaksi	105-1728-B,105-1781-B,159-2664-B
lisalehti	249-2874-B
lisamaksu	90-2061-B,250-1131-B
lisamaku	204-1739-B
lisanimi	85-2587-B,164-1699-B,250-2129-B
