listlessness	haluttomuus
litany	rukous
literacy	lukutaito
literal	kirjaimellinen
literal	sananmukainen
literalness	sananmukaisuus
literary	kaunokirjallinen
literary	kirjallinen
literate	lukutaitoinen
literature	kaunokirjallisuus
literature	kirjallisuus
lithe	norja
lithe	notkea
lithe	taipuisa
lithe	vetreä
lithography	litografia
litigant	asianosainen
litigate	käräjöidä
litigation	käräjöinti
litigation	oikeudenkäynti
litigation	prosessi
litigation	riita-asia
litre	litra
litter	epäjärjestys
litter	karike
litter	kuivike
litter	pahnat
litter	pahnue
litter	pentue
litter	poikue
litter	ripotella
litter	roska
litter	roskata
litter	sotkea
little	mitätön
little	niukalti
little	pieni
little	pienoinen
little	pikku
little	pikkumainen
little	vähä
little	vähäinen
little	vähän
liturgical	liturginen
livable	siedettävä
live	asua
live	elellä
live	eloisa
live	elävä
live	elää
live	hehkuva
live	ilmielävä
live	oleskella
live	palava
live	viettää
livelihood	elanto
livelihood	toimeentulo
liveliness	eloisuus
liveliness	elävyys
liveliness	lennokkuus
liveliness	pirteys
lively	eloisa
lively	elävä
lively	havainnollinen
lively	jännittävä
lively	kiihkeä
lively	lennokas
lively	pirteä
lively	terhakka
lively	vaarallinen
lively	vilkas
lively	vireä
lively	virkeä
lively	voimakas
liver	maksa
liverish	äreä
livery	livree
livestock	karja
livid	lyijynharmaa
living	elanto
living	elollinen
living	eläminen
living	elämä
living	elävä
living	ilmielävä
living	oleskeleminen
living	pastoraatti
living	toimeentulo
lizard	lisko
lizard	sisilisko
llama	laama
load	ahdata
load	kantamus
load	kuorma
load	kuormata
load	kuormittaa
load	ladata
load	lastata
load	panostaa
load	sälyttää
load	taakka
load	väärentää
loader	kuormauslaite
loader	lastaaja
loader	lataaja
loading	ahtaaminen
loading	kuormaus
loading	laivaus
loading	lastaus
loading	lataus
loaf	kakku
loaf	koppa
loaf	kuljeksia
loaf	leipä
loaf	limppu
loaf	sokerikeko
loafer	jätkä
loafer	tyhjäntoimittaja
loafer	vetelehtijä
loam	savimaa
loamy	savinen
loamy	savipitoinen
loan	antolainaus
loan	laina
loan	lainasana
loan	lainata
loan	lainaus
loath	haluton
loath	vastahakoinen
loathe	inhota
loathsome	iljettävä
loathsome	ilkeä
loathsome	inhottava
lob	koholyönti
lobby	eteinen
lobby	eteisaula
lobby	eteishalli
lobby	lämpiö
lobe	liuska
lobe	lohko
local	kapakka
local	kunnallinen
local	paikallinen
local	paikallisosasto
local	paikkakuntalainen
local	täkäläinen
localism	nurkkapatriotismi
localism	rajoittuneisuus
locality	paikka
locality	paikkakunta
localize	paikallistaa
localize	paikallistua
locate	paikallistaa
locate	sijoittaa
locate	suuntia
location	asema
location	paikanmääritys
location	paikka
location	sijainti
loch	järvi
lock	kiehkura
lock	kihara
lock	kutri
lock	lukita
lock	lukko
lock	sidonta
lock	sulkea
lock	sulkulaitos
lock	suortuva
lock	teljetä
locker	arkku
locker	lokero
locket	medaljonki
locking	lukitseminen
lockjaw	jäykkäkouristus
lockout	työnsulku
locksmith	lukkoseppä
locomotive	veturi
locus	tapahtumapaikka
lode	malmisuoni
lode	suoni
lodestar	pohjantähti
lodestone	magneetti
lodge	asua
lodge	jäädä
lodge	loosi
lodge	maja
lodge	majailla
lodge	majoittaa
lodge	metsästysmaja
lodge	mökki
lodge	sijoittaa
lodge	tallettaa
lodge	tarttua
lodger	alivuokralainen
lodger	asukas
lodger	asukki
lodger	vuokralainen
lodging	asumus
lodging	asunto
