aakkonen	1
alkujuuri	2
asujaimisto	3
elavoittaa	4
estejuoksu	5
hallituksen	6
hidastua	7
ikavoida	8
jate	9
kaksinnaiminen	10
kary	11
kerran	12
kives	13
korkealentoinen	14
kummallinen	15
kyseenalainen	16
laskelmoiva	17
liikatuotanto	18
luonnollisuus	19
markiminen	20
mitella	21
myyntipalkkio	22
notaari	23
oppinut	24
paksuntaa	25
perinteellinen	26
poikkileikkaus	27
punkki	28
rajahtaa	29
rinki	30
saannollinen	31
sattuma	32
silta	33
stoalainen	34
syottaminen	35
tasanko	36
toisenlainen	37
tuttava	38
vaahdottaa	39
valokeila	40
velloa	41
virua	42
ylivoima	43
