icing	glaçage
icon	icône
iconoclast	iconoclaste
iconographic	iconographique
iconography	iconographie
icy	glacial
icy	glacé
id	identification
idea	concept
idea	conception
idea	idée
idea	notion
idea	opinion
idea	pensée
idea	plan
idea	projet
ideal	idéal
idealism	idéalisme
idealist	idéaliste
idealistic	idéaliste
idealization	idéalisation
idealize	idéaliser
idealized	idéalisé
ideally	idéalement
ideate	imaginer
identic	identique
identical	identique
identically	identiquement
identifiable	identifiable
identification	identification
identified	identifié
identify	déterminer
identify	identifier
identify	reconnaître
identity	identité
identity card	carte d'identité
ideogram	idéogramme
ideograph	idéogramme
ideological	idéologique
ideologist	idéologue
ideology	idéologie
idiocy	idiotie
idiom	idiotisme
idiomatic	idiomatique
idiosyncrasy	idiosyncrasie
idiosyncratic	caractéristique
idiot	abruti
idiot	andouille
idiot	crétin
idiot	idiot
idiot	imbécile
idiot	sot
idiotic	abruti
idiotic	balourd
idiotic	crétin
idiotic	idiot
idiotic	imbécile
idiotic	niais
idiotic	stupide
idiotism	idiotisme
idle	désoeuvré
idle	fainéant
idle	flâner
idle	futile
idle	inactif
idle	inoccupé
idle	inutile
idle	oisif
idle	passif
idle	vain
idleness	chômage
idleness	fainéantise
idleness	inaction
idleness	inactivité
idleness	oisiveté
idleness	paresse
idler	fainéant
idler	flâneur
idler	paresseux
idling	ralenti
idol	idole
idolater	adorateur
idolatress	adorateur
idolatrous	idolâtre
idolatry	idolâtrie
idolize	adorer
idolize	idolâtrer
idyll	idylle
idyllic	idyllique
if	lorsque
if	quand
if	si
iffy	douteux
igloo	igloo
ignite	allumer
ignite	enflammer
ignite	prendre feu
ignite	s'allumer
ignite	s'enflammer
ignition	allumage
ignition	inflammation
ignoble	ignoble
ignominious	ignoble
ignominy	honte
ignominy	ignominie
ignoramus	ignorant
ignorance	ignorance
ignorant	ignorant
ignore	ignorer
ileum	iléon
ill	mal
ill	malade
ill	mauvais
ill	méchant
ill	souffrant
ill-bred	malappris
ill-fated	infortuné
ill-fated	malheureux
ill-starred	infortuné
ill-tempered	maussade
ill-timed	inopportun
illegal	illégal
illegality	illégalité
illegally	illégalement
illegible	illisible
illegitimacy	illégitimité
illegitimate	bâtard
illegitimate	illogique
illegitimate	illégitime
illicit	illicite
illicit	illégal
illimitable	illimité
illiteracy	analphabétisme
illiterate	analphabète
illiterate	illettré
illiterate	inculte
illness	mal
illness	maladie
illogical	illogique
illogicality	illogisme
illuminate	enluminer
illuminate	illuminer
illuminate	éclaircir
illuminate	éclairer
illuminate	élucider
illuminated	illuminé
illuminated	éclairé
illuminating	éclairage
illumination	enluminure
illumination	illumination
illumination	éclairage
illumination	éclairement
illumine	éclairer
illusion	illusion
illusion	mirage
illusionist	illusionniste
illusive	illusoire
illusory	illusoire
illusory	irréel
illustrate	illustrer
illustrated	illustré
illustrating	illustrant
illustration	illustration
illustrator	illustrateur
illustrious	illustre
illustrious	renommé
image	conception
image	figure
image	gravure
image	idée
image	image
image	métaphore
image	refléter
image	représentation
imaginable	imaginable
imaginary	imaginaire
imagination	fantaisie
imagination	imagination
imaginative	imaginatif
imagine	faire
imagine	imaginer
imagine	s'imaginer
imagine	supposer
imbalance	déséquilibre
imbecile	idiot
imbecile	imbécile
imbecilic	imbécile
imbecility	imbécillité
imbed	encastrer
imbibe	absorber
imbibe	aspirer
imbibe	boire
imbibe	imbiber
imitable	imitable
imitate	contrefaire
imitate	copier
imitate	imiter
imitate	mimer
imitate	singer
imitated	imité
