so long	au revoir
so many	tant
so much	tant
so much	tellement
so that	afin que
so that	pour que
so-called	prétendu
soak	humecter
soak	imbiber
soak	imprégner
soak	mouiller
soak	s'infiltrer
soak	tremper
soaking	trempage
soap	savon
soap	savonner
soar	monter
soar	planer
soar	s'élever
sob	sangloter
sober	dégriser
sober	modéré
sober	sobre
soberness	sobriété
sobriety	sobriété
sobriquet	sobriquet
sobriquet	surnom
soccer	football
sociability	sociabilité
sociable	sociable
social	mondain
social	sociable
social	social
socialism	socialisme
socialist	socialiste
socialistic	socialiste
sociality	sociabilité
socialize	socialiser
socially	socialement
society	association
society	communauté
society	compagnie
society	société
society	union
sociological	sociologique
sociology	sociologie
sock	battement
sock	chaussette
sock	coup
socket	alvéole
socket	douille
socket	fossette
socket	manchon
socket	prise de courant
socket	trou
socle	socle
sod	gazon
soda	soda
soda	soude
soda pop	soda
sodality	confrérie
sodium	sodium
sodomite	sodomite
sodomy	sodomie
sofa	canapé
soft	douce
soft	douillet
soft	doux
soft	faible
soft	fin
soft	léger
soft	malléable
soft	mou
soft	souple
soft	soyeux
soft	tendre
soft-soap	flatter
soften	adoucir
soften	affaiblir
soften	amollir
soften	assouplir
soften	attendrir
soften	atténuer
soften	radoucir
soften	ramollir
soften	s'adoucir
soften	édulcorer
softened	amolli
softened	attendri
softening	adoucissage
softening	adoucissement
softening	amollissement
softening	ramollissement
softly	doucement
softly	mollement
softness	douceur
softness	mollesse
software	logiciel
software	software
sogginess	humidité
soggy	humide
soggy	pâteux
soil	fond
soil	pays
soil	salir
soil	salissure
soil	sol
soil	souiller
soil	souillure
soil	tache
soil	terrain
soil	terre
soil	terreau
soil	terroir
soiled	barbouillé
soiled	sale
soiree	soirée
sojourn	séjour
sojourn	séjourner
solace	consolation
solace	consoler
solace	réconfort
solace	réconforter
solar	solaire
solarium	solarium
sold out	épuisé
solder	braser
solder	souder
solder	soudure
soldering	soudage
soldering	soudure
soldier	bidasse
soldier	militaire
soldier	soldat
soldierly	courageux
sole	plante du pied
sole	pur
sole	semelle
sole	seul
sole	unique
solely	seulement
solely	uniquement
solemn	grave
solemn	solennel
solemn	sérieux
solemnity	gravité
solemnize	célébrer
solfa	solmisation
solicit	demander
solicit	solliciter
solicitor	agent
solicitor	avocat
solicitor	solliciteur
solicitous	inquiet
solicitous	soucieux
solicitude	préoccupation
solicitude	sollicitude
solicitude	souci
solid	authentique
solid	consistant
solid	continu
solid	ferme
solid	fort
solid	massif
solid	robuste
solid	résistant
solid	solide
solid	sérieux
solid	unanime
solidarity	solidarité
solidary	solidaire
solidification	solidification
solidify	affermir
solidify	consolider
solidity	solidité
solidly	solidement
solidness	fermeté
soliloquy	monologue
soliloquy	soliloque
solitaire	solitaire
solitary	solitaire
solitude	solitude
solo	solo
soloist	soliste
solstice	solstice
solubility	solubilité
soluble	soluble
solution	dissolution
solution	dénouement
solution	solution
solvable	soluble
solve	dénouer
solve	résoudre
solved	dénoué
solvency	solvabilité
solvent	dissolvant
solvent	solvable
solvent	solvant
somatic	somatique
somber	morne
