cord	ficelle
cordage	cordage
cordate	cordiforme
cordate	cordé
cordial	cordial
cordially	cordialement
cordon	cordon
core	centre
core	coeur
core	noyau
core	trognon
coriander	coriandre
cork	bouchon
cork	liège
corked	bouché
corking	épatant
cormorant	cormoran
corn	blé
corn	cor
corn	céréales
corn	grain
corn	maïs
cornelian	cornaline
corneous	corné
corner	angle
corner	coin
corner	corne
corner	corner
corner	encoignure
corner	recoin
corner	tournant
corner	virage
cornet	cornet
cornflower	barbeau
cornflower	bluet
cornice	corniche
corny	banal
corollary	corollaire
corona	couronne
coronary	coronaire
coronation	couronnement
coronet	couronne
corporal	cabot
corporal	caporal
corporal	corporel
corporate	conjoint
corporation	compagnie
corporation	corporation
corporation	syndicat
corporeal	corporel
corporeal	matériel
corps	corps
corpse	cadavre
corpulence	corpulence
corpulence	embonpoint
corpulent	corpulent
corpulent	replet
corpus	recueil
corpuscle	corpuscule
corpuscle	globule
correct	amender
correct	correct
correct	corriger
correct	droit
correct	exact
correct	juste
correct	raccommoder
correct	rajuster
correct	rectifier
correct	redresser
correct	reprendre
correct	réformer
corrected	corrigé
correcting	corrigeant
correction	correction
correction	corrigé
correction	rectification
correction	redressement
corrective	correcteur
corrective	correctif
correctly	correctement
correctness	exactitude
correctness	justesse
correctness	précision
corrector	correcteur
correlate	corrélatif
correlated	corrélatif
correlation	corrélation
correlative	corrélatif
correspond	concorder
correspond	correspondre
correspondence	correspondance
correspondence	courrier
correspondent	correspondant
correspondent	envoyé
corresponding	conforme
corresponding	correspondant
corridor	corridor
corridor	couloir
corroborant	corroborant
corroborate	attester
corroborate	confirmer
corroborate	corroborer
corroborate	renforcer
corroboration	confirmation
corrode	attaquer
corrode	corroder
corrode	mordre
corrode	ronger
corroding	corrodant
corrosion	corrosion
corrosive	corrodant
corrosive	corrosif
corrosive	mordant
corrugate	plisser
corrugate	rider
corrugated	ondulé
corrupt	altérer
corrupt	altéré
corrupt	corrompre
corrupt	corrompu
corrupt	dénaturer
corrupt	dépraver
corrupt	frelater
corrupt	pervertir
corrupt	pourri
corrupt	pourrir
corrupt	soudoyer
corrupt	vicier
corrupt	vénal
corrupter	corrupteur
corruptibility	vénalité
corruptible	corruptible
corruption	corruption
corruptness	corruption
corsage	corsage
corsair	corsaire
corset	corset
cortege	cortège
cortex	écorce
cortical	cortical
cortisone	cortisone
corundum	corindon
coruscate	briller
coruscate	scintiller
coruscation	étincellement
corvee	corvée
corvette	corvette
corymb	corymbe
cosh	matraque
cosine	cosinus
cosiness	confort
cosmetic	cosmétique
cosmic	cosmique
cosmogony	cosmogonie
cosmography	cosmographie
cosmological	cosmologique
cosmology	cosmologie
cosmonaut	cosmonaute
cosmopolitan	cosmopolite
cosmopolite	cosmopolite
cosmopolitical	cosmopolite
cosmos	cosmos
cossack	cosaque
cosset	choyer
cosset	dorloter
cost	couter
cost	dépense
cost	frais
cost	valoir
cost-effective	rentable
costal	costal
costliness	cherté
costliness	somptuosité
costly	cher
costly	précieux
costs	frais
costume	costume
costume	tailleur
costumer	costumier
cosy	confortable
cosy	douillet
cotangent	cotangente
cottage	cottage
cotter	goupille
cotton	coton
cotton	cotonnier
cotton wool	ouate
couch	canapé
couch	divan
couch	exprimer
couch	formuler
couch	lit
couchette	couchette
cough	tousser
coulisse	coulisse
couloir	couloir
coulomb	coulomb
coumarone	coumarone
council	concile
