ABC	alphabet
Abyssinian	abyssin
African	Africain
African	africain
Albanian	Albanais
Albanian	albanais
Algeria	algérie
Algerian	algérien
America	Amérique
American	américain
American	américaine
Americanize	américaniser
Anglican	anglican
Angolan	angolais
Antichrist	antéchrist
April	avril
Arab	Arabe
Arab	arabe
Arabian	arabe
Arabian	arabique
Arabic	arabe
Arabic	arabique
Argentine	Argentin
Argentine	argentin
Aryan	aryen
Asia	Asie
Asian	asiatique
Asiatic	asiatique
Athens	Athènes
Atlantic	atlantique
Australia	Australie
Australian	australien
Austria	Autriche
Austrian	Autrichien
Aztec	aztèque
Basque	basque
Bavarian	bavarois
Belgian	Belge
Belgian	belge
Bible	bible
British	britannique
Buddhism	bouddhisme
Buddhist	bouddhiste
Bulgaria	Bulgarie
Bulgarian	Bulgare
Bulgarian	bulgare
Burmese	Birman
Byzantine	byzantin
Californian	californien
Canadian	canadien
Catalan	catalan
Catholic	catholique
Catholicism	catholicisme
Celtic	celte
Celtic	celtique
Chilean	chilien
Chinese	chinois
Christendom	chrétienté
Christian	chrétien
Christianity	christianisme
Cinderella	Cendrillon
Corinthian	corinthien
Croat	Croate
Croatian	croate
Cuban	Cubain
Cuban	cubain
Cyprian	Chypriote
Czech	Tchèque
Czech	tchèque
Czechoslovak	tchécoslovaque
Dane	Danois
Danish	danois
December	décembre
Denmark	Danemark
Dominican	dominicain
Dorian	dorien
Dorian	dorique
Dutch	hollandais
Dutch	néerlandais
Dutchman	Néerlandais
Easter	Pâques
Egyptian	égyptien
Elbe	Elbe
English	anglais
English-speaking	anglophone
Eskimo	esquimau
Esperantist	espérantiste
Esperanto	espéranto
Estonia	Estonie
Estonian	estonien
Ethiopian	éthiopien
Europe	Europe
European	européen
February	février
Filipino	philippin
Finnish	finlandais
Finnish	finnois
Fleming	Flamand
Flemish	flamand
French	français
Frenchman	Français
Frenchwoman	Française
Friday	vendredi
Gaul	Gaulois
German	Allemand
German	allemand
Germanic	germain
Germanic	germanique
Gothic	gothique
Greek	grec
Greenland	Groenland
Hebrew	hébraïque
Hebrew	hébreu
Hindu	hindou
Hungarian	Hongrois
Hungarian	Hongroise
Hungarian	hongrois
I	j'
I	je
I	moi
Iberian	ibère
Iberian	ibérique
Iceland	Islande
Icelander	Islandais
Icelandic	islandais
India	Inde
Indian	Indien
Indian	hindou
Indian	indien
Irish	irlandais
Islam	islam
Islamic	islamique
Israel	Israël
Israeli	israélien
Italian	Italien
Italian	italien
Italy	Italie
January	janvier
Japan	Japon
Japanese	Japonais
Japanese	japonais
Javanese	javanais
Jesuit	jésuite
Jew	Juif
Jewish	juif
July	juillet
June	juin
Koran	coran
Korean	coréen
Latin	latin
Latvian	letton
Lettish	letton
Lisbon	Lisbonne
Lithuanian	lituanien
Malay	malais
March	mars
May	mai
Miss	demoiselle
Miss	mademoiselle
Mohammedan	musulman
Monday	lundi
Mongol	Mongol
Mongol	mongol
Mongolian	mongol
Moravia	Moravie
Moslem	musulman
Mr	Monsieur
Mr	monsieur
Mrs	madame
Muslim	musulman
Negro	noir
Negro	nègre
Netherlands	Pays-Bas
Nigerian	nigérian
Norwegian	norvégien
November	novembre
October	octobre
Pakistani	pakistanais
Paris	Paris
Parisian	parisien
Pole	Polonais
Polish	polonais
Prague	Prague
Russia	Russie
Russian	Russe
Russian	russe
Saturday	samedi
Scottish	écossais
September	septembre
Serbia	Serbie
Serbian	Serbe
Serbian	serbe
Siberian	sibérien
Silesia	Silésie
Slav	Slave
Slav	slave
Slavic	slave
Slovak	Slovaque
Spain	Espagne
Spanish	espagnol
