repine	201-193-B
replace	201-209-B,201-227-B,201-244-B
replaceable	201-262-B
replaced	201-287-B
replacement	201-306-B,201-327-B,201-352-B
replay	201-377-B
replenish	201-393-B,201-411-B
replete	201-433-B,201-447-B,201-462-B
repletion	201-475-B
replica	201-495-B,201-510-B
replicate	201-528-B,201-549-B
reply	201-570-B,201-586-B,201-603-B,201-619-B
report	201-634-B,201-649-B,201-665-B,201-678-B,201-694-B,201-713-B,201-733-B,201-750-B,201-767-B,201-782-B,201-801-B,201-817-B,201-833-B,201-848-B,201-865-B,201-881-B,201-894-B,201-911-B,201-932-B,201-949-B,201-963-B,201-977-B,201-996-B
reportage	201-1012-B
reporter	201-1032-B,201-1055-B,201-1072-B,201-1092-B
repose	201-1110-B,201-1123-B,201-1136-B,201-1151-B,201-1169-B,201-1184-B
repository	201-1205-B,201-1224-B
reprehend	201-1245-B,201-1263-B,201-1283-B
reprehensible	201-1306-B
reprehension	201-1332-B
represent	201-1357-B,201-1377-B,201-1395-B,201-1418-B,201-1441-B
representation	201-1462-B
representative	201-1493-B,201-1517-B,201-1543-B,201-1570-B,201-1599-B,201-1629-B,201-1654-B,201-1680-B
represented	201-1703-B
represents	201-1728-B
repress	201-1751-B,201-1768-B,201-1785-B,201-1803-B
repressed	201-1821-B
repression	201-1841-B,201-1864-B
repressive	201-1887-B
reprieve	201-1909-B,201-1925-B,201-1941-B,201-1957-B
reprimand	201-1973-B,201-1997-B,201-2019-B,201-2041-B,201-2064-B
reprint	201-2082-B,201-2104-B
reprisal	201-2124-B
reproach	201-2146-B,201-2164-B,201-2183-B
reproachful	201-2204-B
reprobate	201-2229-B
reproduce	201-2250-B,201-2267-B
reproduced	201-2288-B
reproduction	201-2309-B
reproof	201-2335-B,201-2355-B,201-2372-B,201-2392-B,201-2413-B
reprove	201-2429-B,201-2445-B,201-2462-B,201-2480-B
reproving	201-2501-B
reptile	201-2524-B
republic	201-2540-B
republican	201-2561-B
repudiate	201-2585-B,201-2605-B,201-2626-B,201-2644-B,201-2662-B,201-2682-B
repudiation	201-2702-B,201-2723-B
repugnance	201-2741-B,201-2763-B,201-2783-B
repugnant	201-2806-B
repulse	201-2827-B,201-2844-B,201-2858-B,201-2874-B,201-2888-B,201-2904-B
repulsion	201-2922-B,201-2941-B
