tooth	dent
toothed	dentelé
toothed	denté
toothless	édenté
toothpaste	dentifrice
toothpaste	pâte dentifrice
toothsome	délicieux
tootle	siffler
top	aiguille
top	apogée
top	capsule
top	cime
top	comble
top	couronner
top	couvercle
top	couverture
top	faîte
top	haut
top	sommet
top	suprême
top	supérieur
top	surface
top	surmonter
top	surpasser
top	toupie
top	élite
topaz	topaze
topic	sujet
topic	thème
topical	actuel
topical	d'actualité
topical	thématique
topicality	actualité
topknot	chignon
topknot	huppe
topographer	topographe
topography	topographie
topological	topologique
topology	topologie
topping	garniture
topple	faire tomber
topple	renverser
topple	tomber
topple	verser
torch	flambeau
torch	torche
torment	supplice
torment	tenailler
torment	torture
torment	torturer
torment	tourment
torment	tourmenter
torn	déchiré
tornado	tornade
torpedo	torpille
torpedo	torpiller
torpedo boat	torpilleur
torpid	torpide
torpidity	abattement
torpidity	inertie
torpidity	torpeur
torpor	stupeur
torpor	torpeur
torrent	flot
torrent	torrent
torrid	ardent
torrid	torride
torsion	torsion
torso	torse
tortoise	tortue
tortoiseshell	écaille
tortuosity	sinuosité
tortuousness	tortuosité
torture	martyriser
torture	supplice
torture	torture
torture	torturer
torture	tourmenter
torturing	torture
toss	agiter
toss	jet
toss	jeter
toss	lancement
toss	lancer
toss	rejeter
toss	remuer
tossed	jeté
tossing	ballottement
tot	additionner
total	absolu
total	addition
total	additionner
total	complet
total	entier
total	global
total	montant
total	parfait
total	plein
total	plénier
total	somme
total	total
total	tout
totality	totalité
totally	completement
totally	complètement
totally	entierement
totally	totalement
tote	porter
totemic	totémique
totter	chanceler
totter	tituber
toucan	toucan
touch	attouchement
touch	contact
touch	palper
touch	peloter
touch	tact
touch	touche
touch	toucher
touch	tâter
touch	émouvoir
touchdown	atterrissage
touched	timbré
touched	ému
touchiness	susceptibilité
touching	attendrissant
touching	touchant
touching	émouvant
touchy	délicat
touchy	impressionnable
touchy	susceptible
tough	acharné
tough	brutal
tough	calé
tough	coriace
tough	difficile
tough	dur
tough	endurant
tough	ferme
tough	fort
tough	inflexible
tough	opiniâtre
tough	pénible
tough	raide
tough	robuste
tough	rude
tough	résistant
tough	solide
tough	sévère
tough	tenace
tough	vigoureux
toughen	durcir
toughness	dureté
toughness	endurance
toughness	force
toughness	rigueur
toughness	résistance
toughness	solidité
toughness	sévérité
toughness	ténacité
tour	parcourir
tour	tour
tour	tournée
tour	visite
tour	voyage
tour	voyager
touring	tourisme
tourism	tourisme
tourist	touriste
tourist	touristique
tourists	touristes
tourmaline	tourmaline
tournament	tournoi
tourney	tournoi
tourniquet	tourniquet
tousle	ébouriffer
tousle	écheveler
tow	filasse
tow	remorquage
tow	remorque
tow	remorquer
tow	traîner
tow	étoupe
towage	remorquage
toward	au
toward	en
toward	envers
toward	pour
toward	vers
toward	à
towards	au
towards	en
towards	envers
towards	pour
towards	sur
towards	vers
towards	à
towel	serviette
tower	pylône
tower	tour
