cysteine	cystéine
cytology	cytologie
cytoplasm	cytoplasme
czar	tsar
czech	tchèque
d	d
dabble	mouiller
dabbler	amateur
dachshund	teckel
dad	papa
dada	dada
daddy	papa
daemon	démon
daemonic	démoniaque
daffodil	narcisse
daft	idiot
daft	stupide
dagger	dague
dagger	poignard
dahlia	dahlia
daily	chaque jour
daily	journalier
daily	journellement
daily	quotidien
daily	quotidiennement
daily paper	journal
daily paper	quotidien
daintiness	élégance
dainty	bon
dainty	chic
dainty	délicat
dainty	friand
dainty	friandise
dainty	élégant
dairy	crémerie
dairy	laiterie
dairy	laitier
dairyman	crémier
dairyman	laitier
dais	estrade
daisy	marguerite
daisy	pâquerette
dale	vallée
dalliance	badinage
dalliance	flirt
dally	flirter
dally	lambiner
dally	lanterner
daltonism	daltonisme
dam	barrage
dam	digue
dam	endiguer
dam up	endiguer
damage	abîmer
damage	accidenter
damage	anéantir
damage	avarie
damage	avarier
damage	blesser
damage	diminuer
damage	dommage
damage	dégât
damage	désavantage
damage	détruire
damage	détérioration
damage	détériorer
damage	endommagement
damage	endommager
damage	entamer
damage	léser
damage	lésion
damage	panne
damage	préjudice
damage	ruiner
damage	tarer
damaged	avarié
damaged	endommagé
damaging	nuisible
damaging	préjudiciable
damask	damas
damask	damassé
dame	dame
damn	condamner
damn	damner
damn	fichu
damn	maudire
damn	maudit
damn	réprouver
damnation	damnation
damned	damné
damned	maudit
damned	sacré
damp	affaiblir
damp	déprimer
damp	humecter
damp	humide
damp	humidifier
damp	humidité
damp	moite
damp	moiteur
damp	mouiller
damp	étouffer
damped	mouillé
dampen	humecter
dampen	humidifier
dampen	étouffer
damper	amortisseur
damping	amortissement
dampness	humidité
dampness	moiteur
damsel	demoiselle
damson	prune
dance	danse
dance	danser
dancer	cavalier
dancer	danseur
dancer	danseuse
dancing	dansant
dancing	danse
dandelion	pissenlit
dandy	dandy
dandy	gandin
dandy	incroyable
dandy	élégant
danger	danger
danger	risque
dangerous	dangereux
dangerous	périlleux
dangerous	risqué
dangerously	dangereusement
dangle	balancer
dangle	pendiller
danish	danois
dank	humide
dank	moite
danseuse	danseuse
dapper	soigné
dapper	élégant
dappled	pommelé
dappled	tacheté
dare	audace
dare	défi
dare	défier
dare	oser
dare	provocation
daring	audace
daring	entreprenant
daring	hardi
daring	hardiesse
daring	osé
daring	téméraire
daring	témérité
daringly	audacieusement
dark	foncé
dark	morne
dark	mystérieux
dark	méchant
dark	noir
dark	obscur
dark	obscurité
dark	sombre
dark	ténèbres
darken	obscurcir
darken	obscurcis
darkening	assombrissement
darkly	obscurément
darkness	obscurité
darkness	ténèbres
darkroom	chambre noire
darling	charmant
darling	chéri
darling	favori
darn	raccommoder
darn	reprise
darn	repriser
darned	fichu
darned	sacré
dart	dard
dart	flèche
dart	fléchette
dash	goutte
dash	jeter
dash	larme
dash	tiret
dash	trait
dashboard	tableau de bord
dashing	fringant
dastardly	lâche
dastardly	poltron
data	données
data	information
data	renseignement
database	base de données
date	date
date	dater
date	datte
date	rencontre
date	terme
date palm	dattier
dated	daté
