latence	141-1187-B
latent	141-1219-B,213-1791-B
lateral	141-1280-B,220-286-B,220-520-B
lateralement	141-1297-B
laterite	141-1321-B
latin	1-2509-B,141-1449-B
latitude	141-1461-B
latrines	141-1479-B
latte	141-1355-B
laudatif	141-1631-B
laureat	141-2123-B
laurier	24-1244-B,141-2141-B
lavable	267-1184-B
lavabo	23-2992-B,141-2166-B,221-746-B,249-1837-B,267-1218-B
lavage	141-2182-B,267-1114-B,267-1305-B
lavande	141-2198-B
lave	141-2156-B,267-1234-B
lavement	85-2482-B,267-1320-B
laver	24-408-B,141-1936-B,241-1200-B,267-1126-B
laveur	193-618-S,193-1106-S
lavoir	141-2078-B
lavure	74-3071-B
le	10-2575-S,120-705-B,135-3755-B,246-694-B,247-502-B
le bas	78-1017-S,78-1492-S
le long de	11-1307-B,11-1345-B
le moins	142-1720-B
le monde	10-2490-S,89-2465-S,89-2529-S,89-2670-S
le notre	169-2236-B
le plus	158-1502-B
le plus vite	94-2593-B
le savoir	260-2041-S
le temps	10-2615-S,11-2691-S,102-115-S
leader	43-2736-B,142-438-B
lechage	144-0-B
lecher	143-3482-B
lecheur	249-1528-B
lecon	45-2873-B,132-2576-B,143-1226-B
lecteur	142-2221-B,178-3413-B,195-1532-B
lecture	177-2897-B,195-1663-B
legal	141-2328-B,142-2598-B,205-505-B,232-102-B
legalement	141-2359-B,142-2733-B
legalisation	20-92-B,142-2667-B
legaliser	20-17-B,20-2498-B,142-2627-B,142-2713-B
legalite	142-2647-B
legat	142-2753-B
legation	142-2767-B
legendaire	92-2401-B,142-2802-B
legende	38-1642-B,92-2386-B,139-0-B,142-2786-B,234-1045-B
leger	81-2462-B,99-2751-B,100-2179-B,104-2386-B,144-1017-B,144-1509-B,154-3399-B,192-1893-B,211-15-B,222-3053-B,223-43-B,223-2365-B,225-1122-B,246-2838-B,268-583-B
legerement	2-472-B,10-570-B,144-1030-B,144-1375-B,194-2734-B,194-2753-B,222-3183-B,222-3204-B
legerete	10-611-B,143-2224-B,144-1434-B,247-189-B
legiferer	142-2923-B
legion	142-2860-B
legionnaire	142-2875-B,142-2898-B
legislateur	141-2427-B,141-2491-B,142-2994-B
legislatif	142-2970-B
legislation	20-2582-B,142-2945-B
legislature	142-3018-B
legitimation	142-3131-B,142-3182-B
legitime	141-2342-B,142-2611-B,142-3043-B,142-3083-B,143-3443-B,205-521-B
legitimement	141-2380-B,142-3104-B
legitimer	142-3158-B,142-3211-B,267-720-B
legitimite	142-3059-B
legs	26-1543-B,142-2553-B
leguer	26-1526-B,71-315-B,115-2873-B,142-1880-B
legume	262-2830-B,262-2861-B,262-2934-B
leitmotiv	143-29-B,143-49-B
lendemain	158-1053-B,249-2412-B
lenifier	172-1018-B
lenitif	143-534-B,213-2924-B,226-871-B
lent	223-1423-B,223-1757-B,243-1779-B
lente	163-448-B
lentement	223-1433-B,223-1556-B
lenteur	223-1573-B,243-1761-B
lenticulaire	143-591-B
lentiforme	143-615-B,143-637-B
lentille	143-552-B,143-658-B
leonin	143-674-B
leopard	143-690-B
lepre	143-759-B
lepreux	143-707-B,143-774-B
lequel	246-406-B,269-1191-B,269-2766-B
les	246-701-B,246-896-B,273-2929-B
les cas	126-3515-S
les jours	272-732-S
les moyens	36-565-S
lesbien	143-791-B
lesbienne	143-807-B
lese	9-1745-B
leser	63-1098-B,131-705-B
lesine	43-1807-B
lesion	63-1112-B,131-827-B,143-825-B
lesquelles	246-418-B,269-1204-B,269-2777-B
lesquels	246-434-B,269-1221-B
lessivage	141-2017-B,267-1337-B
lessive	141-2093-B,148-1355-B,267-1137-B,267-1355-B
lessiver	45-3651-B,141-1950-B,142-35-B,212-432-B
lest	22-1987-B
leste	9-1817-B,145-1141-B,163-92-B,241-994-B
letal	143-1415-B
lethargie	143-1483-B,223-1814-B
lethargique	143-1460-B,223-1771-B
letton	1-2521-B,1-2536-B
lettre	42-1109-B,61-2411-B,77-1545-B,82-1118-B,142-1372-B,143-1521-B,143-1610-B,145-1256-B,145-1686-B,156-1000-B,269-38-B,273-784-B
lettre de change	27-1483-B
lettre recommandee	198-2539-B
leucemie	143-1785-B
leucine	143-1726-B
leucocyte	143-1742-B,143-1805-B
leucopenie	143-1762-B
leur	246-832-B,246-855-B,246-905-B
leurre	22-935-B,65-2794-B,148-753-B
leurrer	65-2807-B,148-765-B
