follow up	suivre
follow-up	continuation
follow-up	suite
follower	disciple
follower	partisan
following	prochain
following	successif
following	suite
following	suivant
follows	suit
folly	folie
folly	sottise
folly	stupidité
foment	attiser
foment	encourager
foment	fomenter
foment	inciter
fond	doux
fond	tendre
fondant	fondant
fondle	caresser
fondly	tendrement
fondness	affection
fondness	prédilection
fondness	tendresse
food	aliment
food	alimentation
food	manger
food	mets
food	nourriture
food	plat
food	pâture
food	repas
fool	abruti
fool	bouffon
fool	dupe
fool	duper
fool	fou
fool	idiot
fool	imbécile
fool	niais
fool	sot
fool	tromper
fooled	dupe
foolery	folie
foolery	sottise
foolish	bête
foolish	idiot
foolish	insensé
foolish	niais
foolish	sot
foolish	stupide
foolishly	sottement
foolishness	folie
foolishness	sottise
foolishness	stupidité
foolproof	certain
foot	bas
foot	base
foot	patte
foot	pied
foot	talon
football	ballon
football	ballon de football
football	football
footballer	footballeur
footboard	marchepied
footing	condition
footing	position
footing	situation
footing	socle
footing	état
footman	laquais
footman	larbin
footnote	annotation
footnote	note
footpath	sentier
footprint	empreinte
footprint	marque
footprint	trace
footstep	empreinte
footstep	pas
footstep	pied
footstool	escabeau
footwear	chaussure
fop	dandy
fop	fat
for	car
for	comme
for	de
for	par
for	parce que
for	pendant
for	pour
for	puisque
for	à
for a long time	longtemps
for a long time	longuement
for ever	pour toujours
for free	gratuitement
for sure	certainement
forage	fourrage
forage	fourrager
foramen	orifice
foramen	trou
foray	incursion
forbade	interdit
forbearance	longanimité
forbearance	patience
forbearance	tolérance
forbearing	indulgent
forbid	défendre
forbid	interdire
forbid	prohiber
forbidden	interdit
forbidden	prohibé
force	action
force	autorité
force	contraindre
force	contrainte
force	effet
force	force
force	forcer
force	imposer
force	influence
force	intensité
force	obliger
force	pousser
force	pouvoir
force	pression
force	puissance
force	vertu
force	vigueur
force	violence
force	énergie
forced	contraint
forced	forcé
forced	obligé
forceful	efficace
forceful	puissant
forceful	énergique
forcefulness	puissance
forceps	pince
forces	forces
forcible	efficace
forcible	violent
ford	gué
ford	guéer
fore	antérieur
fore	avant
fore	devant
forebode	annoncer
forebode	pressentir
forebode	présager
foreboding	pressentiment
foreboding	présage
forecast	augurer
forecast	pronostic
forecast	pronostiquer
forecast	prédire
forecast	prévision
forecast	prévoir
forecasting	prévision
foreclosure	saisie
forefather	ancetre
forefather	ancêtre
forego	devancer
forego	précéder
foregoing	antécédent
foregoing	antérieur
foregoing	précédent
foreground	premier plan
forehead	front
foreign	extérieur
foreign	étranger
foreigner	étranger
foreland	cap
foreland	promontoire
forenoon	matinée
forensic	judiciaire
forepart	avant
forepart	devant
forerunner	précurseur
forerunner	présage
foresee	entrevoir
foresee	prévoir
foreseeable	prévisible
foreshore	plage
foresight	prévoyance
foresighted	prévoyant
forest	bois
forest	boiser
forest	forestier
forest	forêt
forestall	devancer
forestall	empêcher
forestall	prévenir
forested	boisé
forester	forestier
forestry	sylviculture
