afraid	timide
afresh	de nouveau
african	africain
after	après
after	après que
after	dans
after	de
after	derrière
after	ensuite
after	par
after	puis
after	sur
after all	enfin
aftermath	conséquence
aftermath	contrecoup
afternoon	soir
afterward	après
afterward	ensuite
afterward	puis
afterwards	après
afterwards	ensuite
afterwards	puis
again	de nouveau
again	encore
against	contre
against	en face de
against	sur
agamic	agame
agate	agate
age	siècle
age	vieillesse
age	vieillir
age	âge
age	ère
age	époque
aged	ancien
aged	vieux
aged	âgé
ageing	vieillissement
ageless	éternel
agency	agence
agency	bureau
agency	office
agency	organisme
agenda	agenda
agenda	ordre du jour
agenda	programme
agent	agent
agent	intermédiaire
agent	représentant
agglomerate	agglomérat
agglomerate	agglomérer
agglomerate	aggloméré
agglomeration	agglomération
agglomeration	attroupement
agglutinate	agglutiner
agglutination	agglutination
agglutinative	agglutinant
aggrandize	accroître
aggrandize	agrandir
aggrandize	amplifier
aggrandize	augmenter
aggrandizement	accroissement
aggrandizement	agrandissement
aggravate	agacer
aggravate	aggraver
aggravate	augmenter
aggravate	empirer
aggravated	aggravé
aggravating	agaçant
aggravating	aggravant
aggravating	irritant
aggravation	aggravation
aggregate	agrégat
aggregate	agréger
aggregate	agrégé
aggregate	assemblage
aggregate	ensemble
aggregate	global
aggregate	général
aggregate	rassembler
aggregate	total
aggregation	agglomération
aggregation	agrégat
aggregation	agrégation
aggression	agression
aggression	assaut
aggression	attaque
aggressive	agressif
aggressive	offensif
aggressiveness	agressivité
aggressor	agresseur
aggressor	assaillant
aggressor	attaquant
aggrieved	affligé
aggrieved	chagriné
aggrieved	lésé
aghast	consterné
agile	actif
agile	agile
agile	alerte
agile	leste
agile	vif
agility	agilité
aging	vieillissement
agio	agio
agiotage	agiotage
agitate	agiter
agitate	pousser
agitate	secouer
agitate	troubler
agitated	agité
agitated	nerveux
agitation	agitation
agitation	effervescence
agitation	émoi
agitation	émotion
agitator	agitateur
aglow	ardent
ago	devant
agog	impatient
agonize	lutter
agonize	martyriser
agonize	tourmenter
agonizing	torturant
agony	agonie
agony	peine
agony	supplice
agony	tourment
agoraphobia	agoraphobie
agrarian	agraire
agrarian	agrarien
agrarian	agriculteur
agree	accepter
agree	acquiescer
agree	admettre
agree	approuver
agree	concorder
agree	consentir
agree	convenir
agree	donner son accord
agree	s'accorder
agreeable	agréable
agreeable	aimable
agreeably	agréablement
agreement	accommodement
agreement	accord
agreement	agrément
agreement	approbation
agreement	arrangement
agreement	compromis
agreement	concordance
agreement	conformité
agreement	contrat
agreement	convention
agreement	entente
agreement	pacte
agricultural	agraire
agricultural	agricole
agriculture	agriculture
agriculturist	agriculteur
agriculturist	agronome
agronomic	agronomique
agronomical	agronomique
agronomics	agronomie
agronomist	agronome
agronomy	agronomie
ague	fièvre
ah	ah
ahead	auparavant
ahead	devant
ahead	en avant
ahem	hum
aid	aide
aid	aider
aid	assistance
aid	assister
aid	seconder
aid	secours
aid	servir
aide	aide
aide	assistant
aide-de-camp	adjudant
aigrette	aigrette
aileron	aileron
ailing	malade
ailing	souffrant
ailment	affection
ailment	indisposition
ailment	infirmité
ailment	maladie
aim	ajuster
aim	aspirer
aim	but
aim	dessein
aim	fin
aim	objectif
aim	objet
aim	viser
aiming	pointage
