jib	foc
jibe	dérision
jibe	moquerie
jiff	instant
jiffy	instant
jig	sautiller
jigsaw	puzzle
jigsaw puzzle	puzzle
jingle	cliquetis
jingle	tintement
jingle	tinter
jingle	tintinnabuler
jingoism	chauvinisme
jingoistic	chauvin
jitter	tremblement
jittery	agité
jittery	nerveux
job	besogne
job	boulot
job	devoir
job	emploi
job	fonction
job	job
job	mission
job	métier
job	occupation
job	ouvrage
job	place
job	poste
job	profession
job	situation
job	travail
job	tâche
jobless	chômeur
joblessness	chômage
jockey	duper
jockey	jockey
jockey	tromper
jocose	enjoué
jocose	gai
jocose	jovial
jocular	badin
jocular	enjoué
jocular	gai
jocular	jovial
jocund	enjoué
jocund	gai
jocund	jovial
john	jean
join	accoler
join	accoupler
join	additionner
join	adhérer
join	adjoindre
join	affilier
join	agréger
join	ajouter
join	allier
join	assembler
join	associer
join	attacher
join	brancher
join	fondre
join	joindre
join	jumeler
join	lier
join	raccorder
join	relier
join	réunir
join	souder
join	unir
joined	joint
joiner	menuisier
joinery	menuiserie
joining	accouplement
joining	assemblage
joining	contact
joining	jonction
joining	liaison
joining	raccordement
joining	rassemblement
joining	réunion
joining	union
joint	articulation
joint	articuler
joint	assembler
joint	associé
joint	collectif
joint	combiné
joint	commun
joint	conjoint
joint	conjugué
joint	découper
joint	joindre
joint	joint
joint	jointoyer
joint	jointure
joint author	coauteur
jointed	articulé
joist	poutre
joist	solive
joke	badiner
joke	blague
joke	blaguer
joke	farce
joke	moquerie
joke	plaisanter
joke	plaisanterie
joke	railler
joke	rigoler
joker	blagueur
joker	joker
joker	plaisantin
joking	plaisanterie
jollity	gaieté
jolly	agréable
jolly	enjoué
jolly	enjôler
jolly	gai
jolly	jovial
jolly	joyeux
jolt	cahot
jolt	cahoter
jolt	choc
jolt	pousser
jolt	saccade
jolt	secousse
jolt	soubresaut
jolt	ébranler
jolting	cahotant
jordan	jordanie
josh	railler
josh	taquiner
jostle	pousser
jot	brin
jot	iota
joule	joule
journal	feuille
journal	journal
journal	magazine
journal	quotidien
journal	revue
journalism	journalisme
journalist	journaliste
journalistic	journalistique
journey	course
journey	trajet
journey	voyage
journeyman	compagnon
journeyman	journalier
joust	joute
jovial	enjoué
jovial	jovial
joviality	enjouement
joviality	jovialité
jowl	mâchoire
joy	allégresse
joy	gaieté
joy	joie
joy	plaisir
joyful	enjoué
joyful	gai
joyful	jovial
joyful	joyeux
joyful	réjoui
joyfulness	allégresse
joyless	triste
joyous	enjoué
joyous	gai
joyous	joyeux
joyous	réjoui
jubilant	jubilant
jubilate	jubiler
jubilation	allégresse
jubilation	jubilation
jubilee	anniversaire
jubilee	jubilé
judas	judas
judder	cahot
judge	apprécier
judge	arbitre
judge	estimer
judge	juge
judge	juger
judgement	avis
judgement	discernement
judgement	jugement
judgement	opinion
judgement	sentence
judgement	tribunal
judgment	avis
judgment	discernement
judgment	jugement
judgment	opinion
judgment	tribunal
judicature	juridiction
judicature	justice
judicial	judiciaire
judiciary	judiciaire
judicious	avisé
