april	avril
apron	tablier
apropos	opportun
apropos	pertinent
apse	abside
apt	approprié
apt	apte
apt	convenable
apt	doué
aptitude	aptitude
aptitude	capacité
aptitude	disposition
aptitude	don
aptitude	talent
aqua	eau
aquarelle	aquarelle
aquarium	aquarium
aquatic	aquatique
aquatic	d'eau
aquatic	nautique
aqueduct	aqueduc
arab	arabe
arabesque	arabesque
arabian	arabe
arabic	arabe
arable	arable
arable	labourable
aragonite	aragonite
arbiter	arbitre
arbitrage	arbitrage
arbitrarily	arbitrairement
arbitrary	arbitraire
arbitrate	arbitrer
arbitrate	juger
arbitration	arbitrage
arbitrator	arbitre
arbor	berceau
arbor	tonnelle
arboreous	arborescent
arborescent	arborescent
arboriculture	arboriculture
arboriculturist	arboriculteur
arbour	berceau
arbour	tonnelle
arc	arc
arcade	arcade
arch	arc
arch	arcade
arch	arche
arch	archet
arch	cintre
archaeologic	archéologique
archaeological	archéologique
archaeologist	archéologue
archaeology	archéologie
archaic	archaique
archangel	archange
archbishop	archevêque
archbishopric	archevêché
archdeacon	archidiacre
archduchess	archiduchesse
archduchy	archiduché
archduke	archiduc
arched	arqué
archeologic	archéologique
archeological	archéologique
archeology	archéologie
archer	archer
archetype	archétype
archipelago	archipel
architect	architecte
architectonic	architectonique
architectonic	architectural
architectural	architectonique
architectural	architectural
architecture	architecture
architrave	architrave
archive	archiver
archive	archives
archives	archives
archiving	archivage
archivist	archiviste
archway	arcade
arctic	arctique
arctic	glacial
arctic	polaire
ardent	ardent
ardent	enthousiasmé
ardent	enthousiaste
ardent	fervent
ardent	passionné
ardor	ardeur
ardor	ferveur
ardor	passion
ardour	ardeur
ardour	ferveur
ardour	fougue
ardour	passion
ardour	zèle
arduous	ardu
arduous	difficile
arduous	laborieux
arduous	pénible
arduous	raide
are	are
are	es
are	sommes
are	sont
area	aire
area	cercle
area	circonscription
area	domaine
area	région
area	sphère
area	superficie
area	surface
area	territoire
area	zone
area	étendue
arena	arène
argent	argent
argent	argenté
argon	argon
argonaut	argonaute
argot	argot
arguable	contestable
arguable	discutable
argue	affirmer
argue	agiter
argue	argumenter
argue	discuter
argue	débattre
argue	se disputer
argue	soutenir
argument	argument
argument	bagarre
argument	controverse
argument	discussion
argument	dispute
argument	débat
argument	preuve
argument	querelle
argumentation	argumentation
argumentative	ergoteur
argumentative	polémique
aria	aria
arid	aride
arid	sec
aridity	aridité
aridity	sécheresse
aridness	aridité
aridness	sécheresse
aright	correctement
aright	droit
arise	apparaître
arise	jaillir
arise	naître
arise	paraître
arise	résulter
arise	s'élever
arise	sourdre
arise	surgir
arise	survenir
arise	émaner
aristocracy	aristocratie
aristocrat	aristo
aristocrat	aristocrate
aristocratic	aristocratique
arithmetic	arithmétique
arithmetic	calcul
arithmetical	arithmétique
arithmetician	arithméticien
ark	arche
arm	arme
arm	armer
arm	bras
armada	flotte
armament	armement
armature	armature
armband	brassard
armchair	fauteuil
armed	armé
armhole	emmanchure
arming	armement
armistice	armistice
armor	armure
armor	blinder
armored	blindé
armorial	armorial
armorial	héraldique
armory	arsenal
armour	armure
armour	blinder
armour	cuirasse
armour-plated	blindé
armoured	blindé
armoured	cuirassé
armourer	armurier
armoury	arsenal
armpit	aisselle
