angliciser	13-715-B
angliciste	13-694-B
anglophone	1-1464-B
angoissant	211-680-B
angoisse	13-783-B,14-1572-B,14-1684-B,76-2196-B,253-2896-B
angolais	1-244-B
angora	13-736-B
anguiforme	13-764-B
anguille	82-1443-B
angulaire	13-831-B
anguleux	13-660-B,13-849-B
anhydre	13-901-B,267-2773-B
anhydride	13-881-B
anhydrisation	66-3497-B
anicroche	120-1827-B
animal	13-940-B,24-2540-B,34-718-B,59-2838-B
animal nuisible	177-3418-B
animalite	13-967-B
animateur	13-1111-B,50-3766-B,84-560-B,86-2626-B
animation	13-1051-B,33-1752-B,144-267-B,144-524-B,145-2591-B
anime	6-744-B,13-1003-B,13-1035-B,33-535-B,33-1717-B,35-2527-B,112-439-B,145-2665-B,228-377-B
animer	13-988-B,43-1340-B,85-484-B,86-1089-B,90-1926-B,127-2302-B,132-920-B,134-3666-B,145-2754-B,145-2785-B,192-1493-B,192-1539-S,207-1092-B,233-881-B,261-560-B,265-908-B
animisme	13-1130-B
animiste	13-1147-B
animosite	13-1164-B,228-823-B,245-3312-B
anion	13-1185-B
anis	13-1197-B,13-1208-B
anisette	13-1221-B
ankylose	12-3594-B,13-1254-B
ankyloser	233-142-B
ankylostome	121-1951-B
annales	13-1273-B,273-1827-B
anneau	44-3059-B,48-1421-B,205-1108-B
annee	255-1326-B,273-1781-B
annexe	13-1320-B,13-1347-B,15-767-B,19-2879-B,84-3694-B,169-2622-B
annexer	8-2791-B,13-1333-B,15-660-B,19-2697-B
annihilation	13-1382-B
annihiler	13-2413-B
anniversaire	13-1462-B,27-2933-B,137-2600-B
annonce	6-1650-B,8-885-B,13-1719-B,13-1759-B,65-1447-B,134-617-B,164-794-B,164-1117-B,201-634-B,231-2691-B
annoncer	13-1625-B,26-2412-B,27-1346-B,36-3144-B,65-1550-B,101-2344-B,119-902-B,128-3965-B,130-1886-B,164-1251-B,183-1368-B,201-649-B,219-1143-B,244-2365-B
annonceur	8-955-B,13-1847-B,119-918-B
annonciateur	13-2616-B
annotation	13-1523-B,101-1132-B,164-280-B
annoter	13-1487-B,49-3466-B,110-328-B
annuaire	11-1060-B,13-2269-B,36-2809-B,273-1844-B
annuel	13-2285-B,273-1862-B,273-1878-B
annuellement	13-2299-B,273-1892-B
annuite	13-2355-B,132-1314-B,200-3086-B
annulaire	13-2520-B,205-1281-B
annulation	3-21-B,3-1361-B,13-2559-B,37-2245-B,200-3198-B,202-76-B,204-1202-B,265-1540-B
annule	37-2314-B
annuler	2-3329-B,3-1244-B,13-2429-B,37-367-B,37-2024-B,58-862-B,134-2346-B,164-2767-B,171-89-B,171-207-B,192-410-B,196-453-B,200-3216-B,201-3858-B,204-258-B,204-1281-B,212-2198-B,257-2163-B,265-1449-B,271-790-B
anode	13-2641-B
anodin	116-3221-B,131-1433-B,131-3601-B
anomal	71-3282-B
anomalie	2-2162-B,2-3178-B,13-2731-B,135-1500-B
anonner	230-2852-B
anonymat	13-2786-B
anonyme	13-2771-B,13-2805-B,13-2823-B,92-2983-B,160-2062-B
anonymement	13-2841-B
anorak	13-2865-B,270-2380-B
anormal	2-2123-B,2-3139-B,13-2672-B,259-552-B
anormalement	2-3199-B
anoure	242-1963-B
anse	24-1205-B,27-1027-B,58-2780-B,60-0-B,81-1264-B,116-22-B,146-3065-B
antagonique	13-3228-B
antagonisme	13-3138-B,53-769-B
antagoniste	8-693-B,13-3205-B,13-3253-B,165-1764-B,168-1189-B
antalgique	12-2783-B
antarctique	13-3344-B
antecedence	13-3386-B
antecedent	13-3438-B,101-2675-B,186-893-B
antechrist	1-261-B,14-611-B
antediluvien	13-3572-B
antenatal	13-3617-B
antenne	8-1602-B,13-3658-B,14-18-B,95-2628-B,121-2576-B
anterieur	13-3462-B,14-35-B,81-1369-B,101-2305-B,101-2698-B,102-1573-B,104-2717-B,174-384-B,186-915-B,186-2700-B
anteriorite	13-3412-B
anthologie	14-129-B
anthracite	14-150-B
anthraquinone	14-172-B
anthropologie	14-277-B
anthropologique	14-216-B
anthropologue	14-248-B
anthropometrie	14-304-B
anthropomorphisme	14-334-B
anthropophage	14-369-B,37-2919-B,150-1129-B
anthropophagie	14-399-B,37-2961-B
antiaerien	14-531-B
antibiotique	14-556-B
antibrouillard	100-2536-S
antichambre	13-3507-B,14-55-B,146-274-B
antichar	14-1366-B
anticipation	14-695-B,85-703-B,134-355-B
anticiper	14-634-B,171-791-B
anticlerical	14-742-B
anticommuniste	14-791-B
anticonceptionnel	55-2909-B
anticonstitutionnel	256-3609-B
anticorps	14-580-B
anticyclone	14-820-B
antidater	13-3553-B,21-2839-B
antidemocratique	14-844-B,257-153-B
antiderapant	163-2404-B
antidote	14-877-B
antienne	14-1123-B
antifasciste	14-481-B,14-895-B
antigel	14-920-B
antigene	14-939-B
antilope	13-3599-B
antimilitarisme	14-957-B
antimoine	14-1011-B
antimoniure	14-988-B
antiparticule	14-1030-B
antipathie	14-1083-B,21-471-B,74-3842-B,201-2741-B
antipathique	14-1057-B,160-2964-B,165-2452-B,201-2962-B,259-1124-B,260-442-B
antipodal	14-1159-B
antipode	14-1141-B
antiquaire	14-1180-B
antique	13-15-B,14-1237-B,165-3346-B,170-399-B
antiquite	14-1299-B
antiquites	14-1253-B
antirouille	208-2541-B
antisemite	14-428-B,14-507-B
antisemitisme	14-452-B
antiseptique	14-1320-B
antisocial	14-1344-B
antithese	14-1384-B,14-1405-B
antithetique	14-1469-B,14-1494-B
antitrust	14-1521-B
antonyme	14-1541-B
antre	40-2772-B,40-2849-B,68-454-B,113-2145-B,140-1795-B
aorte	14-2166-B
aortique	14-2178-B,14-2194-B
apache	14-2238-B
apaisant	37-1064-B,226-853-B
apaise	15-485-B
apaisement	2-1414-B,10-3217-B,15-502-B,18-3225-B,37-720-B
apaiser	10-2733-B,10-3113-B,15-380-B,18-3177-B,37-736-B,37-996-B,81-1977-B,148-146-B,157-1314-B,171-2089-B,180-619-B,192-1805-B,192-2036-B,195-3088-B,209-2745-B,210-1307-B,222-776-B,226-754-B,232-232-B,233-481-B,251-2589-B
apanage	14-2252-B,14-3549-B
apathie	14-2526-B,128-4347-B,129-3394-B,145-1476-B,223-1793-B
apathique	14-2396-B,14-2458-B,129-3332-B,140-1149-B,145-1417-B,223-1717-B
apercevoir	25-2165-B,40-995-B,88-2028-B,109-2386-B,164-809-B,176-705-B,214-0-B,220-698-B,228-3095-B,229-2322-B,264-776-B
apercu	72-101-B,131-3516-B,171-1288-B,176-909-B,238-2389-B,240-1529-B,264-792-B
aperiodique	14-2594-B
aperitif	14-2617-B,15-875-B
apesanteur	268-2379-B
apeure	8-3770-B,104-1839-B,211-549-B
apeurer	104-1716-B
aphasie	14-2710-B
aphorisme	14-2740-B
aphylle	14-2759-B,142-654-B
apiculteur	14-2777-B,25-744-B
apiculture	14-2811-B,25-765-B
apitoiement	50-2948-B,180-342-B
aplani	99-1161-B
aplanir	22-1154-B,50-2622-B,87-2508-B,87-2687-B,99-1112-B,143-1848-B,180-1901-B,200-876-B,224-1061-B
aplanissement	99-1213-B,143-2081-B
aplati	99-841-B,99-1178-B,165-1865-B
aplatir	61-633-B,99-1128-B,143-1862-B,229-3116-B,229-3176-S
aplatissement	99-1051-B,99-1238-B
aplomb	14-2833-B,22-1170-B,87-2953-B,182-1111-B,214-1675-B,214-1777-B
apocalypse	14-2864-B
apocalyptique	14-2886-B
apocryphe	14-2912-B,229-2095-B
apode	14-2933-B
apogee	5-2896-B,14-2946-B,46-2254-B,61-2039-B,118-2608-B,175-314-B,179-1868-B,238-2648-B,250-161-B,274-717-B
apolitique	14-2961-B,259-1282-B
apologetique	14-2983-B
apologie	14-3008-B,66-934-B
apologiste	14-3026-B
apoplectique	14-3062-B
apostasie	14-3086-B
apostat	177-3160-B
apostolat	14-3121-B,14-3143-B
apostolique	14-3164-B,14-3186-B
apostrophe	14-3210-B
apostropher	14-3232-B
apotheose	14-3302-B
apothicaire	14-3257-B,43-1911-B
apotre	14-3105-B
apparaitre	15-103-B,16-2669-B,84-678-B,166-1693-B,175-1765-B,252-1387-B
apparat	171-3195-B,183-20-B
apparatchik	14-3566-B
appareil	14-3590-B,15-1086-B,55-3995-B,71-46-B,85-3480-B,148-1901-B,148-2013-B,180-2253-B,215-3128-B,251-614-B,258-2458-B
