Sunday	dimanche
Sweden	Suède
Swedish	suédois
Swiss	helvétique
Swiss	suisse
Switzerland	Suisse
TV	télévision
Teutonic	germain
Teutonic	germanique
Thursday	jeudi
Tibetan	tibétain
Tory	conservateur
Tuesday	mardi
Tunisia	Tunisie
Ukrainian	Ukrainien
Vaseline	vaseline
Victorian	victorien
Vienna	Vienne
Vietnamese	vietnamien
Warsaw	Varsovie
Wednesday	mercredi
Welsh	gallois
Xmas	Noël
Zionism	sionisme
a	au
a	certain
a	dans
a	en
a	par
a	pour
a	quelque
a	un
a few	quelques
a little	légerement
a lot of	beaucoup
a lot of	beaucoup de
aardvark	tamanoir
aback	en arrière
abacus	abaque
abacus	boulier
abacus	compteur
abaft	derrière
abandon	abandonner
abandon	délaisser
abandon	laisser
abandon	quitter
abandon	renoncer
abandon	résigner
abandoned	abandonné
abandoned	délaissé
abandoned	immoral
abandonment	abandon
abandonment	abandonnement
abandonment	abdication
abase	abaisser
abase	abattre
abase	avilir
abase	dégrader
abase	humilier
abase	mortifier
abase	rabaisser
abase	rabattre
abase	ravaler
abasement	abaissement
abasement	avilissement
abasement	dégradation
abasement	humiliation
abash	confondre
abashed	confus
abashment	confusion
abashment	embarras
abashment	honte
abate	abaisser
abate	affaiblir
abate	alléger
abate	amoindrir
abate	atténuer
abate	baisser
abate	diminuer
abate	décliner
abate	faiblir
abate	modérer
abate	réduire
abate	s'amoindrir
abate	tomber
abatement	abaissement
abatement	abattement
abatement	apaisement
abatement	baisse
abatement	diminution
abatement	rabais
abatement	remis
abatement	remise
abatement	réduction
abattoir	abattoir
abattoir	boucherie
abbatial	abbatial
abbe	abbé
abbess	abbesse
abbey	abbaye
abbot	abbé
abbreviate	abréger
abbreviate	raccourcir
abbreviate	rogner
abbreviate	réduire
abbreviate	écourter
abbreviation	abréviation
abbreviation	raccourcissement
abc	alphabet
abdicate	abdiquer
abdication	abdication
abdomen	abdomen
abdomen	ventre
abdominal	abdominal
abduct	détourner
abduct	enlever
abduct	ravir
abduction	détournement
abduction	enlèvement
abduction	rapt
abductor	ravisseur
abecedarian	débutant
aberrance	aberration
aberrance	différence
aberrance	déviation
aberrant	anormal
aberration	aberration
aberration	anomalie
aberration	déviation
aberration	erreur
abet	inciter
abet	induire
abetment	incitation
abetment	instigation
abetter	complice
abettor	complice
abhor	abhorrer
abhor	détester
abhorrence	aversion
abhorrence	horreur
abhorrence	répugnance
abhorrence	répulsion
abhorrent	abject
abhorrent	abominable
abhorrent	répugnant
abidance	respect
abide	admettre
abide	durer
abide	endurer
abide	souffrir
abide	soutenir
abide	supporter
abide	tolérer
abide by	respecter
abiding	constant
abiding	continu
abiding	durable
abiding	permanent
ability	adresse
ability	aptitude
ability	capacité
ability	faculté
ability	habileté
ability	habilité
ability	pouvoir
ability	talent
ability to pay	solvabilité
abject	misérable
abject	pauvre
abjectly	misérablement
abjure	abjurer
ablation	ablation
ablative	ablatif
ablaze	ardent
able	adroit
able	apte
able	capable
able	doué
able	habile
able-bodied	solide
ablution	ablution
ably	habilement
abnegation	abnégation
abnegation	désaveu
abnormal	anormal
abnormal	exceptionnel
abnormality	anomalie
abnormally	anormalement
abode	demeure
abode	domicile
abode	habitation
abode	logis
abode	résidence
abolish	abolir
abolish	abroger
abolish	annuler
abolish	supprimer
abolishment	abolition
abolishment	abrogation
abolition	abolition
