backwardness	zaostalost
backwash	talasanje
bacon	panceta
bacon	slanina
bacon	špek
bacon	štuka
bacteria	bakterijama
bacteria	bakterije
bacterial	bakterija
bacterial	bakterijski
bacteriological	bakteriološka
bacteriological	bakteriološki
bacteriology	bakteriologija
bacteriophage	bakteriofag
bacterium	bakterija
bad	bolestan
bad	lose
bad	loš
bad	loše
bad	lošeg
bad	nedostojan
bad	neispravan
bad	nepogoda
bad	nevaljao
bad	nečist
bad	pokvaren
bad	poročan
bad	razvratan
bad	rđav
bad	s greškom
bad	smola
bad	težak
bad	zao
badge	bedž
badge	iskaznica
badge	oznaka
badge	simbol
badge	znak
badge	značka
badger	gnjaviti
badger	goniti divljač
badger	jazavac
badger	mučiti
badly	jako
badly	ljuto
badly	loše
badly	opasno
badly	strašno
badly	veoma
badly	zlo
badminton	badminton
baffle	ekran
baffle	odbojan
baffle	osujetiti
baffle	pokvariti plan
baffle	pregraditi
baffle	zavaravati se
baffle	zaštita
baffle	zbuniti
baffle	štit
bag	bogatstvo
bag	fišek
bag	kesa
bag	lovačka torba
bag	lovina
bag	mreža
bag	podočnjaci
bag	torba
bag	torbica
bag	torbu
bag	vime
bag	vreća
bag	vreći
bag	vrećica
baggage	prtljaga
baggy	vrećast
bagpipe	gajde
bail	držač
bail	ispaljati barku
bail	isprazniti vodu iz čamca
bail	jamac
bail	jamstvo
bail	jamčiti
bail	kaucija
bail	osloboditi uz jamstvo
bail	otklonski
bail	palj
bailiff	nadglednik
bailiff	nadstojnik
bailiff	ovrhovoditelj
bailiff	sudski služben
bailiff	upravit imanja
bait	bijes
bait	gnjev
bait	goniti
bait	hajkati
bait	hraniti konja
bait	krmiti
bait	mamac
bait	meka
bait	prekinuti putovanje
bait	progoniti
bait	staviti mamac
bait	zadirkivati
bait	zagristi
bake	ispeći
bake	peći
bake	pržiti
bake	zamijesiti
bakehouse	pekara
bakehouse	pekarnica
baker	pekar
bakery	pekara
bakery	pekarnica
baking	pecivo
baking	pečenje
balance	balans
balance	balansirati
balance	bilanca
balance	bilanci
balance	biti u ravnoteži
balance	klatno
balance	odmjeriti
balance	ostatak
balance	preostali dio
balance	protuteža
balance	ravnoteža
balance	saldo
balance	simetrija
balance	uravnoteženje
balance	uravnotežiti
balance	usporediti
balance	vaga
balance	vagati
balancer	djelitelj napon
balancer	djelitelj napona
balancing	balansiranje
balancing	saldiranje
balancing	uravnotežavanje
balancing	uravnoteženje
balcony	balkon
balcony	balkonom
balcony	galerija
balcony	platforma
bald	bezbojan
bald	običan
bald	ogoljen
bald	pust
bald	pustoj
bald	ćelav
baldly	bez okolišanja
baldly	oskudno
baldly	otvoreno
baldly	siromašno
bale	bala
bale	denjak
bale	jamčiti
bale	nesreća
bale	omot
bale	paket
bale	prešati u bale
bale	roba
bale	složiti u bale
baleful	koban
baleful	mračan
baleful	opak
baleful	poguban
balk	balvan
balk	greda
balk	greška
balk	ignorirati
balk	međa
balk	neuspjeh
balk	ometati
balk	prepreka
balk	promašaj
balk	propustiti
balk	smetnja
balk	zadržavati
balk	zaobići
balk	zapreka
ball	bal
ball	gruda
ball	klube
ball	klupko
ball	kružno
ball	kugla
ball	kuglica
ball	lopta
ball	ples
ballad	balada
ballast	balast
ballast	balastni
ballast	gruž
ballast	iskustvo
ballast	načela
ballast	opteretiti
ballast	opterećenje
ballast	pošljunčiti
ballast	teret
