se	1-145-S,1-164-S,1-1277-S,1-2335-S,1-2434-S,1-2607-S,1-3068-S,2-2569-S,2-2591-S,3-256-S,3-278-S,3-302-S,3-1715-S,3-1734-S,3-2202-S,3-2243-S,3-2299-S,4-787-S,4-810-S,4-899-S,4-1044-S,4-2052-S,4-2337-S,5-179-S,5-2077-S,7-1083-S,7-2217-S,7-3512-S,8-2261-S,9-2810-S,9-2831-S,9-3027-S,10-1845-S,10-1863-S,10-3761-S,11-1497-S,11-2237-S,11-2263-S,11-2656-S,12-1058-S,12-1077-S,12-1122-S,12-1159-S,12-1181-S,13-3290-S,13-3470-S,13-3568-S,14-3364-S,15-2191-S,15-2502-S,15-2549-S,16-470-S,16-531-S,16-555-S,16-2686-S,16-2787-S,17-958-S,17-1039-S,17-1337-S,18-812-S,19-858-S,21-55-S,21-281-S,21-338-S,21-357-S,21-376-S,21-394-S,21-1548-S,21-2940-S,21-2959-S,21-2990-S,21-3008-S,21-3121-S,21-3162-S,21-3214-S,22-964-S,22-1738-S,23-3041-S,23-3064-S,24-0-S,24-16-S,24-44-S,24-93-S,24-595-S,24-1758-S,25-2514-S,25-2545-S,25-2861-S,26-95-S,26-2256-S,26-2313-S,27-1361-S,27-1388-S,27-1410-S,27-2257-S,27-2316-S,27-2395-S,27-2438-S,27-2484-S,28-2388-S,28-2941-S,28-3332-S,28-3455-S,29-2013-S,30-419-S,31-301-S,31-1112-S,31-2027-S,31-2254-S,31-2523-S,31-2573-S,32-1393-S,32-1515-S,33-866-S,34-202-S,35-959-S,35-2722-S,35-2792-S,36-567-S,36-583-S,36-1468-S,36-1800-S,36-1971-S,36-2027-S,36-2334-S,36-2691-S,36-2706-S,37-1733-S,37-2968-S,37-3001-S,37-3036-S,38-766-S,38-786-S,38-1660-S,39-1428-S,39-1600-S,39-2420-S,40-122-S,40-318-S,41-2050-S,42-1184-S,42-1272-S,42-3450-S,43-1638-S,43-2081-S,43-2204-S,43-2321-S,43-2484-S,44-2795-S,45-430-S,46-178-S,46-249-S,46-306-S,46-438-S,46-564-S,46-1160-S,46-1717-S,46-2121-S,46-2254-S,46-2274-S,47-1226-S,47-2593-S,48-1310-S,48-1755-S,48-1774-S,48-2828-S,49-1805-S,49-2226-S,49-2415-S,49-2434-S,50-1049-S,50-1068-S,50-1084-S,51-811-S,51-1188-S,51-1382-S,51-3088-S,52-2746-S,53-233-S,53-2764-S,53-3052-S,53-3305-S,54-3181-S,54-3299-S,55-1698-S,55-1800-S,55-1847-S,57-999-S,57-1396-S,59-253-S,60-832-S,60-2392-S,61-246-S,61-311-S,62-1665-S,62-1843-S,63-1777-S,63-1794-S,63-1920-S,63-1937-S,64-136-S,64-258-S,64-463-S,64-1169-S,64-1607-S,64-1630-S,64-1714-S,64-1733-S,65-1037-S,65-1735-S,66-74-S,66-1324-S,66-1369-S,66-1775-S,66-1933-S,67-246-S,67-726-S,67-762-S,68-1313-S,68-1334-S,68-1391-S,68-2650-S,68-2672-S,68-2692-S,68-3248-S,68-3670-S,69-970-S,69-1024-S,69-1292-S,69-1313-S,69-2836-S,69-2963-S,70-316-S,70-881-S,70-960-S,70-1105-S,70-2508-S,70-2529-S,70-2549-S,70-2567-S,70-2964-S,70-3051-S,70-3076-S,71-18-S,71-850-S,71-1138-S,71-1162-S,71-1247-S,71-1285-S,71-2364-S,71-2614-S,71-2936-S,71-3225-S,71-3262-S,71-3283-S,71-3863-S,72-19-S,72-40-S,72-413-S,72-430-S,72-577-S,72-2243-S,72-2884-S,72-2906-S,72-3685-S,72-3706-S,73-2810-S,73-2835-S,73-3586-S,74-305-S,74-323-S,74-342-S,74-691-S,74-747-S,74-839-S,75-779-S,75-908-S,75-1432-S,75-1990-S,75-2255-S,75-3716-S,76-774-S,76-809-S,76-3295-S,76-3342-S,76-3365-S,77-2462-S,78-764-S,78-2115-S,78-3175-S,79-413-S,80-1410-S,80-2047-S,80-2091-S,80-3014-S,80-3032-S,80-3052-S,80-3321-S,80-3338-S,82-1549-S,83-741-S,83-1347-S,83-1365-S,83-2403-S,83-2695-S,83-2725-S,83-2919-S,85-1158-S,85-2509-S,86-3277-S,86-3342-S,87-237-S,87-531-S,87-1519-S,87-2104-S,87-2143-S,87-3699-S,88-1120-S,88-2512-S,88-2528-S,88-2718-S,88-3270-S,89-2045-S,89-2865-S,90-1539-S,90-3397-S,91-372-S,91-1208-S,91-2339-S,91-2359-S,92-872-S,92-893-S,92-931-S,92-2023-S,92-2042-S,92-2792-S,93-530-S,93-2100-S,93-2450-S,93-2497-S,93-3635-S,93-3717-S,94-235-S,94-1713-S,94-3722-S,94-3831-S,95-0-S,95-870-S,95-2132-S,95-2557-S,95-3918-S,95-4127-S,96-0-S,96-1242-S,96-1788-S,96-2060-S,96-2455-S,96-2479-S,96-2786-S,97-1639-S,97-1672-S,97-3392-S,98-623-B,99-180-S,99-229-S,99-2084-S,100-16-S,100-2619-S,100-2674-S,100-3231-S,101-268-S,101-3093-S,102-2077-S,103-1339-S,105-428-S,105-1299-S,105-1880-S,105-2349-S,106-1467-S,106-1487-S,107-1173-S,107-1252-S,107-1344-S,107-1363-S,107-1383-S,107-2476-S,107-2697-S,107-2719-S,107-2783-S,107-2901-S,107-3078-S,108-59-S,108-252-S,108-328-S,108-384-S,108-805-S,108-1174-S,110-938-S,110-1067-S,110-1476-S,110-1495-S,111-2491-S,111-2509-S,111-3465-S,112-36-S,112-3292-S,112-3543-S,113-749-S,113-1337-S,114-1005-S,114-1062-S,115-17-S,115-641-S,116-444-S,116-477-S,116-1645-S,116-2786-S,117-276-S,117-306-S,117-1599-S,117-2534-S,117-2568-S,117-2600-S,118-98-S,118-1232-S,118-1868-S,118-1913-S,118-2098-S,118-2492-S,118-2777-S,119-1708-S,120-322-S,120-922-S,120-1269-S,120-1319-S,120-2317-S,120-2945-S,121-349-S,121-383-S,121-487-S,121-691-S,121-1083-S,121-1105-S,121-1958-S,121-2049-S,121-2096-S,121-2207-S,122-1260-S,122-1279-S,123-198-S,123-1435-S,123-1860-S,123-1881-S,123-2678-S,123-2695-S,124-1660-S,124-2046-S,124-2064-S,124-2646-S,125-208-S,125-290-S,125-652-S,125-760-S,125-826-S,125-1228-S,125-1336-S,125-1961-S,126-693-S,126-1262-S,126-2110-S,126-2251-S,127-465-S,128-901-S,128-1043-S,128-1110-S,128-1695-S,128-2011-S,128-2334-S,129-410-S,129-644-S,129-765-S,129-787-S,129-1478-S,131-1039-S,131-1842-S,132-967-S,132-2163-S,133-50-S,133-69-S,133-2598-S,133-2615-S,133-2634-S,135-17-S,135-1001-S,136-1159-B,136-1835-S,136-1877-S,136-3297-B,138-881-S,138-908-S,138-3001-S,139-456-S,139-474-S,139-2251-S,140-767-S,140-3443-S,140-3460-S,141-51-S,141-2975-S,142-81-S,143-200-S,143-1656-S,143-3012-S,144-376-S,145-2203-S,146-39-S,146-84-S,146-4003-S,148-345-S,148-526-S,150-2153-S,150-2425-S,150-3557-S,150-3581-S,150-4109-S,150-4214-S,150-4254-S,151-117-S,151-253-S,151-2287-S,151-2331-S,151-3707-S,153-1002-B,153-1594-S,153-1741-S,153-2140-S,153-2436-S,153-2640-S,154-390-S,154-459-S,154-814-S,154-964-S,154-1351-S,155-319-S,155-348-S,155-2018-S,155-2055-S,155-2492-S,155-2675-S,156-2836-S,157-2818-S,158-382-S,158-396-S,158-2022-S,158-2176-S,158-2194-S,160-1737-S,160-2193-S,161-1066-S,161-1445-S,161-2422-S,162-2413-S,162-3159-S,163-2707-S,164-341-S,164-359-S,164-2231-S,165-256-S,166-1218-S,166-2910-S,167-308-S,168-165-S,168-229-S,168-244-S,168-652-S,168-701-S,168-1016-S,168-1034-S,168-1273-S,168-1298-S,168-1425-S,170-421-S,170-1649-S,170-1709-S,170-1725-S,170-1768-S,170-2735-S,170-2767-S,170-2783-S,170-2801-S,170-2833-S,170-2851-S,170-2914-S,171-570-S,171-605-S,171-1999-S,171-2018-S,171-2090-S,171-2943-S,172-2911-S,172-2950-S,173-950-S,173-1007-S,173-1159-S,173-1764-S,173-1784-S,174-430-S,174-899-S,174-967-S,174-2892-S,174-3701-S,175-0-S,175-68-S,175-995-S,175-1027-S,175-1101-S,175-1814-S,176-295-S,176-2119-S,176-2173-S,176-2218-S,176-2308-S,177-380-S,178-757-S,178-775-S,178-920-S,178-977-S,178-1071-S,178-1102-S,178-1999-S,178-2349-S,178-2377-S,178-2568-S,178-2609-S,179-2230-S,179-2271-S,179-3415-S,180-1310-S,180-1755-S,180-1820-S,180-2363-B,181-762-S,181-910-S,182-568-S,182-664-S,183-186-S,183-1287-S,183-1349-S,183-1396-S,185-315-S,185-350-S,185-401-S,188-531-S,188-683-S,188-864-S,188-3389-S,189-450-S,189-469-S,189-533-S,189-709-S,189-1740-S,189-1880-S,189-1899-S,189-1917-S,189-1968-S,189-1986-S,190-198-S,190-1231-S,191-219-S,191-1198-S,191-1245-S,191-2921-S,191-2945-S,192-3204-S,193-1341-S,193-1363-S,193-1405-S,193-3471-S,194-61-S,194-1237-S,194-1270-S,194-2131-S,195-39-S,195-369-S,195-731-S,195-1730-S,195-2435-S,196-3152-S,197-444-S,197-470-S,197-486-S,197-1083-S,197-3106-S,198-3452-S,199-771-S,199-926-S,199-1036-S,199-3380-S,199-3398-S,200-94-S,200-165-S,201-2214-S,201-3343-S,201-3395-S,202-138-S,202-576-S,202-1639-S,202-1881-S,202-1968-S,202-2016-S,204-2447-S,204-2465-S,204-3214-S,204-3254-S,205-928-S,205-2560-S,205-2583-S,205-2905-S,207-982-S,208-1970-S,208-2052-S,208-2434-S,209-2672-S,210-405-S,210-482-S,210-1013-S,210-2029-S,210-3324-S,212-3153-S,213-565-S,214-1092-S,214-2358-S,214-3103-S,215-503-S,215-773-S,216-2349-S,216-2390-S,216-2430-S,217-1601-S,217-1642-S,217-1988-S,217-2706-S,217-2879-S,218-164-S,219-3289-S,220-1023-S,220-2336-S,221-2031-S,222-1297-S,222-3637-S,223-66-S,223-100-S,223-2013-S,223-2033-S,223-2050-S,224-492-S,224-511-S,224-1558-S,224-3112-S,225-669-S,225-742-S,225-1751-S,225-1962-S,226-896-S,226-1023-S,226-1297-S,226-2260-S,227-842-S,227-2452-S,227-3350-S,228-102-S,228-266-S,228-866-S,228-1636-S,228-3154-S,229-13-S,229-49-S,229-2143-S,231-1973-S,231-2056-S,231-2887-S,232-80-S,232-134-S,232-3353-S,232-3374-S,232-3395-S,232-3678-S,232-3767-S,232-3791-S,232-3813-S,232-3836-S,233-519-S,233-2330-S,233-3980-S,233-4056-S,233-4091-S,233-4110-S,234-1863-S,234-1910-S,234-2057-S,234-2107-S,234-2123-S,234-2237-S,234-2255-S,234-2312-S,234-3025-S,234-3436-S,235-483-S,235-1151-S,235-1173-S,235-2668-S,235-2714-S,235-2844-S,236-1061-S,236-4025-S,236-4045-S,237-95-S,237-154-S,237-289-S,237-351-S,237-958-S,237-3479-S,238-45-S,238-62-S,238-97-S,238-840-S,238-877-S,239-50-S,239-252-S,239-1077-S,239-1670-S,239-2187-S,239-3424-S,240-11-S,240-86-S,240-106-S,240-1505-S,240-2215-S,241-414-S,241-431-S,241-451-S,241-1626-S,241-2239-S,241-2535-S,241-2553-S,241-2595-S,241-3286-S,241-3307-S,241-3555-S,242-870-S,242-1687-S,242-3860-S,243-1041-S,243-1059-S,243-1682-S,243-1737-S,243-1884-S,243-3044-S,243-3586-S,243-3631-S,243-3767-S,243-3832-S,244-855-S,244-1683-S,244-1856-S,244-1937-S,244-2150-S,244-2169-S,244-2938-S,245-329-S,245-347-S,245-364-S,245-476-S,245-657-S,245-703-S,245-1225-S,246-414-S,246-515-S,246-530-S,246-603-S,246-930-S,246-1113-S,246-1222-S,246-1841-S,246-2195-S,246-2838-S,246-2880-S,246-2923-S,247-771-S,247-932-S,247-960-S,247-2042-S,247-2596-S,247-2650-S,248-589-S,248-811-S,248-830-S,248-1667-S,248-2015-S,248-2138-S,248-2490-S,248-2519-S,248-2536-S,249-1482-S,249-1636-S,249-1750-S,250-1192-S,250-1963-S,250-2004-S,250-2018-S,252-3164-S,252-3397-S,253-227-S,253-1893-S,253-1983-S,254-2023-S,254-2059-S,254-2076-S,254-2124-S,255-129-S,255-470-S,255-564-S,255-998-S,255-1016-S,255-1215-S,255-1233-S,255-1456-S,255-1566-S,255-1683-S,256-603-S,256-623-S,256-771-S,256-1073-S,256-1324-S,256-1722-S,257-257-S,257-276-S,257-495-S,257-528-S,257-939-S,257-983-S,257-1150-S,258-524-S,258-563-S,258-1063-S,258-1079-S,258-1277-S,258-1456-S,260-72-S,260-2549-S,261-915-S,261-1572-S,261-1609-S,261-1628-S,261-1794-S,261-1830-S,261-1850-S,262-2174-S,262-2939-S,263-1610-S,263-1714-S,264-178-S,264-220-S,264-768-S,264-1374-S,264-1390-S,264-1440-S,264-2783-S,265-1587-S,265-2099-S,266-723-S,266-757-S,266-776-S,266-795-S,266-988-S,266-1007-S,266-1050-S,266-1476-S,266-1591-S,266-1676-S,266-1769-S,266-2008-S,266-2596-S,266-2801-S,266-2819-S,267-520-S,267-963-S,268-1454-S,268-3208-S,269-400-S,269-1621-S,269-2558-S,269-2592-S,270-55-S,270-137-S,270-155-S,270-2544-S,271-486-S,271-1780-S,271-1883-S,271-1947-S,271-2698-S,271-2733-S,271-2862-S,272-326-S,272-595-S,272-692-S,273-391-S,273-696-S,273-873-S,273-923-S,273-1009-S,273-1058-S,273-1123-S,273-1143-S,273-1626-S,273-2378-S,273-2433-S,273-2778-S,273-2993-S,273-3023-S,274-521-S,274-541-S,274-616-S,274-651-S,274-671-S,274-694-S,274-2302-S,274-2323-S,274-2772-S,274-2814-S,274-2899-S,274-3074-S,275-1528-S,275-2028-S,275-3155-S,275-3212-S,276-684-S,276-706-S,277-2419-S,278-1397-S,278-1999-S,278-2299-S,278-2333-S,279-3655-S,279-3673-S,279-3811-S,280-1162-S,280-1194-S,280-1414-S,280-1667-S,281-142-S,281-867-S,281-1156-S,281-1207-S,281-1227-S,281-1297-S,281-1328-S,281-1911-S,282-844-S,282-917-S,282-953-S,282-1339-S,282-1543-S,282-1579-S,282-1659-S,282-2158-S,282-2627-S,282-3269-S,283-827-S,283-976-S,283-994-S,283-1090-S,283-2002-S,283-2020-S,283-2056-S,283-2076-S,284-0-S,284-88-S,284-122-S,284-1272-S,284-1329-S,285-479-S,285-701-S,285-945-S,285-1080-S,286-755-S,286-824-S,286-934-S,286-1232-S,286-1273-S,286-1438-S,286-1924-S,286-2445-S,286-2475-S,287-302-S,287-929-S,287-950-S,287-970-S,287-1631-S,287-2421-S,287-2465-S,287-2870-S,288-92-S,288-128-S,288-348-S,288-1485-S,288-1781-S,288-2114-S,289-354-S,289-924-S,289-962-S,289-982-S,289-2029-S,289-2197-S,289-2294-S,289-3313-S,289-3408-S,289-3429-S,289-3448-S,290-454-S,290-2173-S,290-2269-S,290-2500-S,290-2845-S,290-2868-S,290-2913-S,290-3467-S,290-3487-S,290-3821-S,291-2201-S,291-2636-S,291-2657-S,291-3197-S,291-3359-S,292-736-S,292-770-S,293-1154-S,293-1963-S,293-2003-S,293-3916-S,294-268-S,294-478-S,294-560-S,294-651-S,294-668-S,294-719-S,294-1176-S,294-1194-S,294-1724-S,294-1774-S,295-1843-S,295-2663-S,295-2697-S,295-2861-S,295-2975-S,296-173-S,296-1573-S,298-117-S,299-581-S,300-160-S,300-191-S,301-212-S,301-498-S,301-549-S,301-2986-S,302-1102-S,302-3192-S,303-342-S,303-359-S,303-375-S,303-2865-S,303-2964-S,303-3091-S,303-3148-S,304-0-S,304-835-S,304-2930-S,305-1542-S,305-1561-S,305-1763-S,306-395-S,306-2926-S,306-2965-S,306-2995-S,306-3353-S,308-1607-S,308-1630-S,308-1672-S,308-2955-S,308-3249-S,308-3329-S,309-957-S,309-975-S,310-332-S,310-433-S,310-533-S,310-1182-S,310-2217-S,310-2273-S,310-2936-S,310-3363-S,311-27-S,311-683-S,311-858-S,311-1583-S,311-1603-S,311-1622-S,311-3080-S,311-3188-S,311-3205-S,312-26-S,312-90-S,312-1201-S,312-1754-S,312-2004-S,312-2036-S,312-2258-S,312-2335-S,312-2482-S,312-2552-S,312-2804-S,313-3399-S,313-3895-S,314-691-S,314-711-S,314-749-S,314-2313-S,314-2335-S,314-3101-S,314-3449-S,314-3486-S,314-3607-S,315-632-S,315-3035-S,315-3054-S,316-2841-S,316-2864-S,317-769-S,317-2874-S,318-2458-S,319-79-S,319-101-S,320-715-S,320-734-S,320-752-S,320-1052-S,320-1168-S,320-3295-S,321-241-S,321-259-S,321-303-S,321-2465-S,321-3362-S,322-603-S,324-563-S,324-1139-S,324-1454-S,324-1870-S,324-1987-S,324-2005-S,324-2097-S,324-2174-S,324-2224-S,324-2428-S,324-2480-S,324-2744-S,325-1298-S,325-1650-S,325-1669-S,325-1717-S,325-1733-S,325-2172-S,325-2200-S,325-2625-S,326-609-S,326-714-S,326-1040-S,326-1819-S,327-601-S,327-1263-S,327-1300-S,327-1347-S,327-2432-S,327-2580-S,327-2600-S,328-1616-S,328-1684-S,329-482-S,329-1785-S,329-1923-S,330-1108-S,330-1318-S,330-1602-S,330-1976-S,330-1995-S,330-2495-S,330-2560-S,330-2926-S,330-2940-S,331-1966-S,331-2776-S,332-521-S,332-539-S,332-658-S,332-679-S,332-720-S,332-1237-S,332-1272-S,332-1307-S,333-430-S,333-959-B,333-1328-B
se alkoholom	45-397-S
se biciklom	40-231-S,82-3543-S
se bori	172-3407-S
se brodom	40-1899-S
se brusi	2-1473-S,2-1496-S
se cemu	129-2066-S
se cijepa	119-2679-S
se dade upravljati	286-2041-S
se dade usmjeriti	286-2075-S
