sve je u redu	15-1938-B
sve jede	190-2915-S
sve strane	2-1955-S
sve veci	146-245-B
sve vise	146-266-B
svecan	58-56-B,118-64-B,118-198-B,212-2181-B,213-1404-B,275-2818-B
svecana izjava	222-3238-B
svecana odjeca	24-2880-B
svecana povorka	196-2609-B
svecana sluzbena odora	246-2501-B
svecana zakletva	250-844-B
svecani obred	275-2918-B
svecani salon	285-2002-B
svecanim	275-2833-B
svecano	275-3014-B
svecano drzanje	275-2943-B
svecano izjavi	178-1965-B
svecano otvara	145-895-B
svecano uvođenje	145-924-B
svecanoj	58-75-B
svecanost	58-96-B,58-182-B,118-215-B,126-1730-B,198-562-B,275-2971-B
svecanosti	275-2992-B
svecenica	218-231-B
svecenicka sluzba	173-2467-B
svecenicki	63-939-B
svecenik	54-1361-B,56-1837-B,63-919-B,63-990-B,102-2472-B,173-2390-B,199-700-B,200-2055-B,212-2517-S,212-3241-B,218-214-B,264-295-B,321-3735-B
svecenika	81-2930-S,167-107-S,199-732-S
svecenstvo	63-882-B,173-2497-B,218-252-B
sveg	111-1826-B
svega	14-939-B,20-769-B,218-1700-S
svemir	77-934-B,278-516-B,315-3359-B,331-1534-B
svemira	278-569-S,315-3375-B
svemirski brod	278-543-B,278-597-B
svemoguc	15-818-B,190-2844-B
svemu	14-949-B
svemu tom	183-2743-S
svenarodno glas	210-916-B
sveobuhvatan	69-2490-B
sveobuhvatnim	69-2517-B
sveobuhvatno	69-2545-B,329-380-B
sveobuhvatnoj	194-3330-B
sveobuhvatnom	194-3352-B
sveopci	127-2224-B
sveska	304-1947-B,323-3044-B
svesti	234-993-B
svesti obracun	242-3817-B
svestran	31-2854-B,69-2572-B,321-1349-B
svestranost	321-1501-B
sveta trojica	310-124-B
svetac	250-2604-B
svetca	30-988-S
sveti	137-2762-B
svetiliste	58-3004-B
svetinja	266-653-B
svetista	251-2168-B
svetiste	266-669-B
svetiti	250-2617-B
svetkovina	154-1629-B,196-2590-B
svetogrđe	250-1010-B
svetom	207-3148-B
svetost	137-2546-B,251-2136-B
sveucilisne	315-3444-B
sveucilisnu	315-3469-B
sveucilista	65-3652-S,315-3494-B
sveuciliste	315-3519-B
sveukupan	11-2977-B
sveukupne	194-3374-B
sveza	72-807-B,72-1181-B
svezak	153-105-B,323-3058-B
svezanj	50-2722-B,50-2798-B,196-1097-B,196-1400-B,196-1656-B,198-2129-B,207-1474-B,263-1837-B
svezanj slame	330-688-B
svezati	116-2694-B,258-2309-S,302-2792-B
svezi	72-824-B,235-2831-B
svezi s	235-3024-S
svezi vest	72-1036-B
sveznajuci	190-2892-B
svi	14-959-B,111-1779-B
svi clanovi	210-1291-B
svih	14-967-B
svih aplikacija	90-1126-S
svih dijelova	56-1081-S
svijeca	54-1070-B,296-2511-S
svijecu	114-2027-S
svijescu	72-1626-B
svijest	31-2898-B,72-1607-B,72-1804-B,173-1260-B,259-1877-B
svijesti	72-1826-B,313-3703-S
svijet	102-1226-B,141-3999-S,280-2484-B,280-2828-B,314-3010-S,315-3392-B,329-1090-S,331-1547-B
svijeta	331-1560-B,331-1766-S
svijetao	48-839-B,115-2968-B,160-1584-B,163-2966-B,228-831-B,264-1679-B
svijetla	160-1599-B
svijetleci	121-1594-B
svijetli	316-273-S
svijetliti	160-1614-B
svijetliti se	228-866-B
svijetlo	48-855-B
svijetom	331-1574-B
svijetu	331-1589-B
svila	121-244-S,230-2117-S,252-506-B,267-2965-B
svile	267-2976-B,267-3053-S
svilen	267-2987-B,267-3086-B,267-3154-B
svilena buba	267-3118-B
svim	14-976-B
svim cvoristima	120-3170-S
svim zgradama	116-2083-S
svima	111-1581-B
svinja	43-1844-B,137-1862-B,207-1020-B,294-1681-B
svinjac	207-1161-B,290-1125-B
svinje	207-1031-B
svinjetina	207-1042-B,213-582-B
svinjska mast	157-756-B
svinjski	213-489-B,294-1803-B
svinjsko meso	213-598-B
svinuti	82-1535-B
svinuti se	82-1549-B
svirac	208-223-B,209-2849-B
svirala	118-1591-B,208-159-B,234-1786-B
sviranje	208-300-B
sviranje u frulu	208-316-B
svirati	209-2776-B,277-1868-B,289-3367-S
svirati na frulu	121-1880-B
svirep	131-1751-B,194-1395-B,310-2256-B,330-2196-B
svisnuti	92-651-B
svita	243-996-B,291-3716-B
svitac	129-1546-B
svitak	133-2457-B,256-127-B,275-3085-B,333-783-S
svitak papirusa	256-141-B
svitanje	84-1045-B,84-1116-B
svizac	167-3356-B
sviđanje	160-2471-B
sviđati se	160-2193-B,210-482-B
svjecica	210-2672-B
