iluminacija	141-1361-B
ilustracija	141-1643-B,209-1999-B
ilustrator	141-1724-B
ilustriran	206-3528-B
ilustrirati	88-607-B,141-1571-B
iluzija	87-3305-B,141-1490-B
iluzoran	141-1538-B
im	13-2771-S,300-598-B
ima	134-1021-B
ima dva dijela	40-2239-S
ima obicaj	330-2879-S
ima par	40-2267-S
ima prednost	216-321-S
ima svoj	283-2704-S
imaginacija	141-2318-B
imaginaran	141-2182-B
imaju	134-1568-B
imajuci	155-470-B
imalac	137-2330-B
imali	132-3040-B
imanentno	148-698-B
imanja	33-1396-S,287-35-S
imanje	98-1184-B,110-2508-B,167-0-B,213-2913-B,291-57-B,298-2700-B
imao	132-3050-B
imaoc vrijednosnice	159-1346-B
imas pravo	245-1528-B
imate	134-1579-B
imatelj	137-2344-B
imati	128-983-B,134-1590-B,196-57-B,213-2823-B,219-2687-B
imati dimenzije	169-3069-B
imati korist	4-3576-B,38-3242-B
imati mjesta za	257-426-B
imati na sebi	37-360-B,326-1834-B
imati na umu	173-1043-B
imati obicaj	330-2860-B
imati obiljezje	199-996-B
imati obzira	241-4012-B
imati osobinu	241-1578-B
imati podrijetlo	193-399-B
imati posla	84-1936-B
imati povjerenje	310-3313-B
imati prebivaliste	241-1599-B
imati srece	121-1384-B,222-1256-B
imati sredstava	10-3570-B
imati sto zajednicko	263-505-B
imati u zakupu	158-2641-B
imati ukus	272-2787-B
imati utjecaj	10-1788-B,74-4248-B
imati veze	237-253-B
imati vezu	205-2886-B
imati za nuznu posljedicu	108-437-B
imbecil	177-1529-B
ime	13-2595-S,13-2665-S,13-2687-S,18-354-S,21-1040-B,38-702-S,56-1201-B,122-1124-S,180-3115-B,180-3166-S,201-1383-S,223-2928-S,238-2908-S,238-2950-S,238-2971-S,240-3032-B,250-2688-S,303-2681-B
ime nekoga	190-3013-S
imela	175-127-S,175-150-B
imena korisnika	162-2246-S
imena mreznih korisnika interneta	119-1236-S
imenica	128-758-S,186-2951-B,291-422-B
imenice	186-2964-B
imenicki	93-1745-B,185-1064-B
imenik	93-1728-B
imenitelj	88-1693-B
imenjak	181-146-B
imenom	180-3124-B,303-2691-B
imenovanje	21-3484-B,27-1054-B,88-1563-B
imenovati	21-3287-B,90-521-B,180-3136-B,185-1134-B,261-530-B
imenovati opunomocenika	21-3305-B
imetak	213-2931-B,221-2604-B
imidz	141-1840-B
imigracija	142-102-B
imitacija	141-3024-B
imitator	141-3108-B,268-1623-B
imitiranje	175-1736-B
imitirati	141-2901-B,173-797-B,268-1413-B
