effigy	slika
effluence	istjecanje
effluent	rukavac rijeke
efflux	isticanje
efflux	izviranje
effort	napor
effort	napora
effort	napore
effort	nastojanje
effort	pokušaj
effort	trud
effrontery	bezobrazluk
effrontery	drskost
effulgence	efulgent
effulgence	sjajan
effulgence	sjajnost
effusion	izlijevanje
effusion	izljev
effusion	prolijevanje
effusion	prolivanje
egalitarian	ravnopravan
egalitarian	ravnopravne
egalitarianism	egalitarizam
egalitarianism	ravnopravnost
egalitarianism	vjera u jednakost
egg	jaje
eglantine	divlja ruža
eglantine	šipak
ego	ego
egocentric	egocentrik
egoism	egoizam
egoism	sebičnost
egoist	egoist
egotism	samodopadnost
egotism	samoljublje
egress	izlazak
egress	izlazni okvir
egress	izlaženje
egret	bijela čaplja
eider	polarna patka
eight	osam
eighteen	osamnaest
eighteenth	osamnaesti
eighth	osmi
eightieth	osamdeseti
eightpence	vrijednost od osam penija
eighty	osamdeset
either	bilo koji
either	ili
either	jedan od
either	ma koji
either	ni
either	niti
either	oba
either	obje
either	oboje
either	svaki
ejaculate	izbacivati
ejaculate	uskliknuti
ejaculation	izbacivanje
ejaculation	lučenje
ejaculation	usklik
eject	istjerati
eject	izbaciti
ejection	izbacivanje
ejection	izbačaj
elaborate	dotjeran
elaborate	izrađen
elaborate	obraditi
elaborate	razraditi
elaborate	razrađen
elaborately	dotjerano
elaborately	razrađeno
elaborately	savršeno
elaboration	argumentacija
elaboration	obrada
elaboration	razrada
elapse	minuti
elapse	promaći
elapse	proteći
elapse	proći
elastic	elastičan
elastic	elastična
elastic	elastični
elastic	elastičnih
elastic	lastik
elastic	rastegljiv
elastic	rastezljiv
elasticity	elastičnost
elate	razdragan
elate	ushititi
elbow	lakat
elbow	pregib
elbow	zglob
elder	bazga
elder	starija
elder	stariji
elder	stariji predak
elder	starješina
elder	zova
elderberry	bazga-bobica
elderberry	bobica bazge
elderly	stariji
eldest	najstariji
elect	izabran
elect	izabrati
election	izbora
election	izbori
election	predizborni
elector	birač
elector	izborni knez
electoral	izborni
electoral	izbornoga
electorate	biračko tijelo
electorate	izborna jedinica
electric	električni
electric	električnih
electric	elektro
electric	grijalo
electrical	električan
electrical	električka
electrical	električne
electrical	električni
electrical	elektro
electrician	električar
electrician	elektrotehničar
electricity	elektricitet
electricity	elektrika
electrification	elektrifikacija
electrocardiogram	elektrokardiogram
electrode	elektroda
electrolysis	elektroliza
electrolyte	elektrolit
electromagnet	elektromagnet
electromagnetic	elektromagnetski
electromyography	elektromiografija
electron	elektron
electron	elektronski
electronic	elektronička
electronic	elektronički
electronic	elektroničkim
electronic	elektroničko
electronic	elektronski
electronically	elektronički
electrophoresis	elektroforeza
elegance	elegancija
elegance	raskoš
elegant	elegantan
elegant	elegantnim
elegant	profinjen
elegy	elegija
element	dio
element	element
element	elemente
element	elementu
element	faktor
element	komponenta
element	prepoznatljivi dio cjeline
element	sastavni dio
element	tijelo
elementary	elementaran
elementary	elementarnog
elementary	osnovan
elementary	osnovne
elementary	osnovni
elementary	osnovno
elementary	osnovnu
elementary	prost
elephant	slon
elevate	oplemeniti
elevate	podignuti
elevate	podizati
elevate	unaprijediti
elevate	uzdići
elevation	nagib
elevation	povišenje
eleven	jedanaest
eleventh	jedanaesti
elf	patuljak
elicit	izazvati
elicit	izvući
elicit	otkriti
elide	ispustiti
elide	izostaviti
elide	prešutjeti
eligibility	izbornost
eligibility	podobnost
eligibility	uvjeti za pristup
eligible	izaberiv
eligible	izberiv
eligible	kvalificiran
eligible	podesan
eligible	podoban
eligible	pogodan
eligible	poželjan
eligible	prihvatljiv
eligible	prikladan
eliminate	eliminirati
eliminate	odstraniti
eliminate	otkloniti
