0	1
anticestica	2
balvan	3
biofizika	4
brak	5
casica	6
cmar	7
dekan	8
divljak	9
donositi plod	10
duhanske	11
englesko bijelo pivo	12
galama	13
gostiti	14
hazardan	15
iluminacija	16
iskljucivo prav	17
izbjegavanje	18
izuzetno	19
jelo	20
kasko	21
koegzistirati	22
komitet	23
korisnik usluga	24
krizanje igraca	25
lako udaranje	26
ljubavnik	27
maltretiraju	28
mijenjati red	29
moment sile	30
na pisacem stroju	31
najudaljeniji	32
naslova	33
nekadasnji	34
nerijeseni rezultat	35
nocni	36
obostran	37
odlaganja	38
okomit polozaj	39
opsezan	40
ostroumlje	41
palma	42
piksel	43
po nuzdi	44
pogibeljna situacija	45
poluvisoka lopta	46
posjet	47
potresom	48
pravom	49
prenosi na	50
prigodan	51
priseci	52
prolazenje	53
prugasti barsun	54
ranjavanje	55
razmetljiv	56
retorski	57
s dvije zastavice	58
savjetnistvo	59
sijenom	60
skolska	61
sluznica	62
spojnica	63
starog	64
struktura	65
sve je u redu	66
tehnoloski	67
tog	68
trpati	69
u stvari	70
ukljucuje	71
upotpuniti	72
utemeljiti se	73
vanbracan	74
visenacionalne	75
vrednovati	76
za uspavljivanje	77
zamijeni	78
zavijanje bure	79
zlatna ribica	80
