akimbo	13-857-B
akin	13-874-B
alabaster	13-886-B
alacrity	13-906-B,13-923-B,13-944-B
alanine	13-964-B
alarm	13-979-B,13-991-B,13-1005-B,13-1025-B,13-1037-B,13-1049-B,13-1066-B,13-1082-B,13-1097-B,13-1110-B,13-1125-B
alarming	13-1140-B
albedo	13-1160-B,13-1174-B,13-1196-B,13-1218-B
album	13-1242-B,13-1254-B
albumen	13-1265-B,13-1289-B,13-1307-B
alcohol	13-1329-B,13-1345-B
alcoholic	13-1362-B,13-1382-B,13-1405-B,13-1425-B,13-1445-B,13-1466-B,13-1486-B
alcoholism	13-1517-B
aldehyde	13-1540-B
alder	13-1558-B
alderman	13-1569-B,13-1587-B
ale	13-1606-B,13-1631-B,13-1649-B
aleatory	13-1664-B,13-1685-B
alehouse	13-1704-B
aleph	13-1721-B
alert	13-1732-B,13-1749-B,13-1761-B,13-1811-B,13-1847-B,13-1859-B,13-1873-B,13-1889-B,13-1903-B,13-1919-B,13-1945-B,13-1962-B,13-1978-B,13-1991-B,13-2012-B
alfalfa	13-2027-B
alga	13-2043-B,13-2053-B
algae	13-2071-B,13-2082-B,13-2093-B
algebra	13-2104-B
algebraic	13-2120-B,13-2141-B,13-2162-B
algebraist	13-2184-B,13-2208-B,13-2231-B,13-2261-B
algorithm	13-2291-B,13-2311-B,13-2339-B,13-2384-B,13-2427-B
algorithmic	13-2446-B,13-2471-B
alias	13-2496-B,13-2508-B,13-2532-B,13-2560-B,13-2577-B,13-2595-B,13-2611-B,13-2632-B,13-2650-B,13-2665-B,13-2687-B,13-2710-B,13-2726-B,13-2771-B
alibi	13-2789-B
alien	13-2801-B,13-2813-B,13-2828-B,13-2848-B,13-2869-B,13-2890-B,13-2902-B,13-2916-B,13-2931-B
alienable	13-2949-B
alienate	13-2967-B,13-2987-B,13-3005-B
alienation	13-3023-B,13-3057-B,13-3088-B,13-3109-B,13-3131-B
alight	13-3154-B,13-3171-B,13-3185-B,13-3204-B,13-3223-B,13-3236-B,13-3252-B,13-3268-B,13-3290-B,13-3309-B,13-3338-B,13-3353-B,13-3368-B
align	13-3384-B,13-3403-B,13-3419-B,13-3437-B,13-3454-B,13-3470-B,13-3489-B,13-3504-B,13-3520-B,13-3537-B,13-3553-B,13-3568-B,13-3586-B,13-3602-B,13-3634-B,13-3664-B
alignment	13-3683-B,13-3705-B,13-3729-B,13-3752-B,13-3775-B,13-3796-B,13-3819-B,13-3841-B,13-3864-B,13-3888-B,13-3914-B,14-0-B,14-19-B,14-40-B,14-62-B,14-86-B,14-126-B
alike	14-164-B,14-175-B,14-191-B,14-204-B,14-225-B,14-237-B,14-252-B,14-266-B
aliment	14-280-B,14-294-B,14-315-B
alimentary	14-332-B,14-352-B
alimony	14-375-B,14-396-B,14-414-B,14-435-B
alive	14-456-B,14-468-B,14-484-B,14-500-B,14-516-B,14-534-B,14-554-B,14-572-B,14-589-B,14-606-B,14-622-B,14-633-B
alkali	14-648-B,14-666-B,14-681-B,14-696-B,14-711-B
alkaline	14-727-B,14-744-B,14-762-B,14-779-B
alkalinity	14-800-B
all	14-828-B,14-839-B,14-856-B,14-869-B,14-881-B,14-892-B,14-900-B,14-908-B,14-918-B,14-931-B,14-939-B,14-949-B,14-959-B,14-967-B,14-976-B,14-985-B,14-995-B,14-1006-B
allay	14-1018-B,14-1034-B,14-1049-B,14-1063-B,14-1079-B,14-1101-B
allegation	14-1115-B,14-1134-B,14-1151-B,14-1173-B
allege	14-1194-B,14-1212-B,14-1228-B,14-1244-B,14-1261-B,14-1282-B
allegedly	14-1297-B
allegiance	14-1315-B,14-1334-B
allegoric	14-1354-B,14-1374-B,14-1396-B,14-1419-B
allegorical	14-1436-B
allegory	14-1460-B,14-1479-B
allegro	14-1495-B
allele	14-1510-B
allergen	14-1522-B
allergic	14-1539-B,14-1559-B,14-1579-B
allergy	14-1599-B,14-1616-B
alleviate	14-1633-B,14-1656-B,14-1676-B,14-1696-B
alleviation	14-1715-B,14-1738-B
alley	14-1761-B,14-1773-B,14-1787-B,14-1800-B,14-1814-B,14-1833-B,14-1846-B,14-1865-B,14-1877-B,14-1889-B
alliance	14-1906-B,14-1928-B,14-1954-B,14-1981-B,14-2003-B,14-2023-B,14-2038-B,14-2054-B,14-2074-B
alligator	14-2096-B,14-2115-B
allocate	14-2144-B,14-2163-B,14-2183-B,14-2203-B,14-2223-B,14-2243-B,14-2268-B,14-2287-B,14-2308-B,14-2327-B,14-2348-B,14-2369-B,14-2411-B,14-2451-B,14-2472-B
allocation	14-2491-B,14-2512-B,14-2544-B,14-2568-B,14-2593-B,14-2612-B,14-2631-B,14-2652-B,14-2686-B,14-2741-B,14-2767-B,14-2789-B,14-2816-B
allot	14-2839-B,14-2856-B,14-2873-B,14-2888-B,14-2904-B,14-2924-B,14-2938-B
allotment	14-2956-B,14-2974-B,14-2988-B,14-3012-B,14-3033-B,14-3088-B,14-3103-B,14-3121-B,14-3136-B
allow	14-3151-B,14-3167-B,14-3182-B,14-3199-B,14-3216-B,14-3232-B,14-3251-B,14-3277-B,14-3297-B,14-3317-B,14-3332-B,14-3349-B,14-3364-B,14-3382-B
allowable	14-3396-B,14-3417-B,14-3437-B,14-3458-B,14-3480-B
