uglify	afear
ugliness	fealdad
ugly	abominable
ugly	asqueroso
ugly	feo
ugly	macaco
ugly	peligroso
ugly	repugnante
ugly	ñato
ulcer	úlcera
ulcerate	ulcerarse
ulcerous	ulceroso
ulterior	ulterior
ultimate	definitivo
ultimate	esencial
ultimate	extremo
ultimate	final
ultimate	fundamental
ultimate	último
ultimately	finalmente
ultramarine	ultramarino
ultramodern	ultramoderno
ultrasonic	ultrasónico
ultrasound	ultrasonido
ultraviolet	ultravioleta
ululate	ulular
ululation	ululato
umbilical	umbilical
umbilicus	ombligo
umbrella	paraguas
umbrella	quitasol
umbrella	sombrilla
umpire	árbitro
unabashed	desvergonzado
unable	incapaz
unable	negado
unaccented	inacentuado
unacceptable	inaceptable
unaccountable	inexplicable
unadulterated	puro
unaffected	inafectado
unaffected	sincero
unalloyed	puro
unalterable	inalterable
unaltered	inalterado
unambiguous	inequívoco
unanimity	unanimidad
unanimous	unánime
unanimously	unánimemente
unapproachable	inaccesible
unassailable	inatacable
unassailable	inexpugnable
unassuming	modesto
unattached	libre
unattached	soltero
unattached	suelto
unattainable	inasequible
unavailable	agotado
unavailable	inasequible
unavailing	inútil
unavailing	vano
unavoidable	forzoso
unavoidable	inevitable
unavoidable	insoslayable
unaware	inconsciente
unawares	inopinadamente
unbalanced	desequilibrado
unbar	abrir
unbearable	inaguantable
unbearable	insufrible
unbeatable	imbatible
unbeatable	insuperable
unbeaten	imbatido
unbecoming	impropio
unbeknown	desconocido
unbelief	incredulidad
unbelievable	increíble
unbelievably	increíblemente
unbeliever	descreído
unbeliever	incrédulo
unbelieving	descreído
unbelieving	incrédulo
unbend	desencorvar
unbend	enderezar
unbend	enderezarse
unbiased	imparcial
unbind	desatar
unblemished	puro
unblock	desbloquear
unbounded	ilimitado
unbreakable	irrompible
unbridled	desenfrenado
unbroken	continuo
unbroken	entero
unbroken	intacto
unburden	aliviar
unbutton	desabotonar
unbutton	desabrochar
uncalled-for	impertinente
uncanny	misterioso
uncanny	raro
uncared-for	abandonado
uncared-for	descuidado
unceasing	incesable
unceasing	incesante
unceasingly	incesantemente
uncertain	dudoso
uncertain	incierto
uncertain	inseguro
uncertainty	incertidumbre
unchain	librar
unchangeable	invariable
unchanged	inalterado
unchanging	inmutable
uncharted	inexplorado
unchaste	impúdico
unchristian	anticristiano
uncircumcised	incircunciso
uncivil	descortés
uncivil	incivil
uncivilized	incivilizado
unclasp	desabrochar
unclasp	soltar
uncle	tío
unclean	desaseado
unclean	inmundo
unclean	sucio
uncleanliness	inmundicia
uncleanliness	suciedad
unclothe	desvestir
unclouded	claro
uncoil	desarrollar
uncoil	desenrollar
uncoil	desenrollarse
uncomfortable	incómodo
uncommon	extraordinario
uncommon	insólito
uncommunicative	taciturno
uncompanionable	insociable
uncompleted	incompleto
uncompromising	intransigente
unconcern	despreocupación
unconcern	indiferencia
unconcerned	despreocupado
unconditional	incondicional
unconditioned	incondicional
unconquerable	inconquistable
unconscionable	injusto
unconscious	inconsciente
unconsciously	inconscientemente
unconstitutional	inconstitucional
uncontested	incontestado
uncontrollable	incontrolable
uncontrollable	ingobernable
unconvertible	inconvertible
uncooked	crudo
uncork	descorchar
uncouple	desacoplar
uncouth	grosero
uncouth	tosco
uncover	desabrochar
uncover	descubrir
uncover	desembozar
uncover	destapar
unction	unción
unction	ungüento
unctuous	untuoso
unctuous	zalamero
uncultivated	inculto
undaunted	arrestado
undaunted	impertérrito
undaunted	impávido
undecided	indeciso
undefiled	impoluto
undefiled	mondo
undefiled	puro
undemanding	modesto
undeniable	innegable
under	abajo
under	bajo
under	debajo
under	so
under-age	menor
under-age	menor de edad
underarm	axila
underarm	sobacal
underarm	sobaco
underclothes	ropa interior
undercover	clandestino
undercover	subrepticio
underdog	perdedor
underestimate	infravalorar
underestimate	menospreciar
underestimate	subestimar
underestimation	menosprecio
underestimation	subestimación
undergo	experimentar
undergo	padecer
undergo	someterse
undergo	sufrir
