hand held	139-1062-B
hand in	139-954-B,139-971-B
hand out	139-989-B
hand over	139-1007-B,139-1026-B
hand round	139-1042-B
handbag	139-1082-B,139-1096-B
handball	139-1112-B
handbill	139-1131-B,139-1148-B,139-1167-B
handbook	139-1184-B,139-1199-B
handcuff	139-1215-B,139-1232-B,139-1249-B
handcuffs	139-1267-B
handed	104-1593-S,145-1072-S,176-867-S,176-890-S,176-908-S,208-754-S,208-2317-S
handedness	208-2338-S
hander	176-926-S
handful	139-1285-B,139-1300-B
handgrip	139-1316-B,139-1336-B,139-1352-B,139-1365-B,139-1382-B,139-1403-B,139-1418-B,139-1434-B,139-1452-B,139-1469-B
handgun	139-1484-B,139-1500-B
handhold	139-1518-B
handicap	139-1535-B,139-1555-B,139-1572-B,139-1593-B,139-1616-B
handicraft	139-1636-B,139-1658-B
handicraftsman	139-1676-B
handkerchief	139-1700-B,139-1720-B,139-1742-B
handle	90-1242-S,139-1764-B,139-1775-B,139-1790-B,139-1803-B,139-1819-B,139-1838-B,139-1854-B,139-1869-B,139-1882-B,139-1896-B,139-1913-B,139-1930-B,139-1946-B,139-1962-B,139-1978-B,139-1991-B,139-2006-B,139-2022-B,139-2035-B,139-2050-B,139-2063-B
handlebar	139-2077-B
handling	139-2096-B,139-2116-B,139-2137-B,139-2155-B,139-2171-B,139-2189-B,139-2212-B
handout	139-2230-B,139-2246-B,139-2262-B,139-2280-B
handrail	139-2296-B,139-2316-B,139-2334-B
handsaw	139-2350-B
handsel	139-2367-B,139-2385-B
handset	139-2400-B
handsome	139-2418-B,139-2433-B,139-2456-B,139-2472-B,139-2494-B,139-2512-B,139-2527-B
handwriting	139-2544-B,139-2566-B
handy	139-2584-B,139-2602-B,139-2616-B,139-2630-B,139-2643-B,139-2658-B,139-2674-B
hang	139-2686-B,139-2699-B,139-2711-B,139-2721-B,139-2733-B,139-2745-B,139-2758-B,139-2772-B,139-2786-B,139-2798-B,139-2809-B,139-2822-B,139-2834-B,139-2849-B
hang about	139-2861-B,139-2881-B
hang around	139-2899-B,139-2920-B
hang back	139-2939-B
hang on	139-2957-B,139-2975-B
hang out	139-2991-B
hang up	139-3007-B,139-3022-B,139-3040-B
hangar	139-3058-B,139-3075-B
hanger on	139-3089-B
