interlocucion	163-927-B
interlocutor	163-956-B,216-1246-B,309-2147-B
interlocutorio	163-982-B
interludio	163-1069-B
intermediar	189-1831-B
intermediario	132-494-B,163-1147-B,163-1174-B,191-2901-B
intermedio	163-1090-B,163-1201-B,163-1323-B,163-1441-B,163-3352-B,188-2890-B,189-1851-B,189-2633-B,191-2798-B
interminable	99-2415-B,163-1345-B,201-2611-B,317-16-B,328-2895-B
intermision	163-1465-B
intermitente	33-2248-B,33-2269-B,116-2578-B,163-1600-B,289-901-B
intermitir	163-1580-B
interna	160-1158-B,161-377-B,163-1697-B
internacional	163-1799-B
internacionalismo	163-1827-B
internacionalista	163-1862-B
internacionalizar	163-1897-B
internamente	163-1775-B
internamiento	163-1953-B
internar	163-1663-B
internarse	219-1049-B,223-1610-B
internista	163-1932-B
interno	160-1172-B,161-392-B,163-781-B,163-1714-B,165-772-B
interpelacion	163-2002-B
interpelar	163-1978-B
interplanetario	163-2061-B
interpolacion	163-2115-B
interpolar	163-2092-B
interponer	161-52-B,163-817-B,241-31-B
interponerse	163-2144-B,163-3449-B
interposicion	161-181-B,163-581-B,163-2205-B,163-3528-B
interpretacion	63-2268-B,108-121-B,163-2375-B,220-1194-B,246-2742-B,253-240-B,253-390-B
interpretar	63-2383-B,107-2838-B,163-2306-B,220-883-B,226-913-B,253-117-B,321-2036-B
interpretativo	163-2406-B
interprete	163-2436-B,163-2459-B
interrelacion	163-2532-B,163-2561-B
interrogacion	160-2457-B,242-1551-B
interrogante	242-1322-B
interrogar	20-2233-B,47-667-B,105-787-B,163-2594-B,242-1575-B,313-541-B
interrogativo	163-2691-B
interrogatorio	105-591-B,163-2639-B,163-2719-B
interrumpir	3-2905-B,38-1015-B,72-811-B,85-365-B,87-2472-B,88-2772-B,163-2770-B,298-155-B,312-2752-B
interrupcion	38-1033-B,38-2098-B,85-151-B,85-233-B,109-2863-B,139-295-B,139-406-B,163-1491-B,163-2792-B,163-2888-B,298-172-B,298-553-B,306-1019-B
interruptor	307-2212-B
intersecarse	163-2932-B
interseccion	163-2974-B
intersticio	163-3118-B
interurbano	163-3225-B
