a	1
aesthete	2
angel	3
aside from	4
barber	5
blasphemous	6
brown	7
carol	8
choreographic	9
commendatory	10
contrabass	11
cruise	12
definite	13
dimmer	14
donation	15
electrification	16
establish	17
familiar	18
fledge	19
full	20
go over	21
hand held	22
hobnail	23
imminence	24
ineffable	25
intestinal	26
kidney	27
liana	28
magazine	29
menstrual	30
morass	31
nidus	32
omnipotence	33
pamper	34
periwig	35
plucky	36
presumptuousness	37
purgatory	38
rebellion	39
resection	40
rumour	41
seagull	42
shooting	43
smudge	44
spur	45
subject matter	46
taffy	47
throw out	48
trifle	49
unforgiving	50
vat	51
wasteful	52
yacht	53
