orientation	93-276-B
orifice	93-299-B,93-314-B
origin	93-329-B,93-348-B
original	93-365-B,93-385-B,93-404-B
originality	93-423-B
originate	93-450-B,93-471-B
ornament	93-490-B,93-508-B,93-527-B,93-543-B
ornamentation	93-564-B
orphan	93-588-B
orphanage	93-603-B
orthodox	93-625-B,93-647-B
orthogonal	93-669-B
orthography	93-693-B,93-716-B
orthopaedic	93-737-B
orthopaedics	93-762-B
orthopedic	93-785-B
orthopedics	93-809-B
oscillate	93-831-B,93-848-B,93-869-B
oscillation	93-891-B,93-911-B
osculate	93-933-B
ostensibly	93-952-B
ostentatious	93-971-B,93-997-B
ostrich	93-1019-B
other	93-1034-B
otherwise	93-1045-B,93-1063-B
otiose	93-1092-B,93-1109-B
otter	93-1124-B
ounce	93-1136-B,93-1151-B
our	93-1163-B
out	13-2494-S,20-1777-S,21-2048-S,21-2073-S,21-2879-S,21-2896-S,25-1316-S,27-1076-S,27-1096-S,34-491-S,34-510-S,34-3123-S,35-2964-S,40-3348-S,54-1945-S,59-964-S,59-983-S,59-3034-S,59-3052-S,63-189-S,63-205-S,63-224-S,65-2612-S,66-183-S,66-203-S,76-99-S,76-1706-S,78-521-S,78-1971-S,79-3168-S,82-120-S,93-1172-B,93-1180-B,93-1197-B,93-1206-B,93-1216-B,93-1240-S,93-1263-S,99-282-S,102-1184-S,106-298-S,114-112-S,115-630-S,119-257-S,119-281-S,122-365-S,124-3072-S,133-189-S,135-2675-S,136-596-S,136-611-S,139-1275-S,139-1296-S,139-1315-S,147-1440-S,147-3082-S,147-3103-S
out and out	93-1240-B,93-1263-B
out of	93-1222-B,93-1231-B
out of date	93-1284-B,93-1305-B
out of the way	93-1331-B
outbreak	93-1355-B
outbuilding	93-1371-B
outburst	93-1396-B,93-1413-B
outcast	93-1429-B,93-1447-B
outclass	93-1464-B
outcome	93-1487-B,93-1504-B,93-1518-B
outcry	93-1539-B
outdated	93-1552-B
outdistance	93-1575-B,93-1602-B
outdo	93-1626-B,93-1646-B
outdoors	93-1667-B
outfit	93-1689-B,93-1706-B,93-1721-B,93-1735-B,93-1749-B,93-1764-B
outflow	93-1784-B
outing	93-1800-B
outlandish	93-1817-B,93-1838-B
outlast	93-1856-B
outlaw	93-1875-B,93-1890-B
outlay	93-1904-B,93-1919-B
outline	93-1934-B,93-1949-B,93-1970-B,93-1983-B,93-1997-B
outlive	93-2011-B,93-2030-B
outlook	93-2048-B,93-2062-B
outlying	93-2077-B,93-2095-B
outmoded	93-2113-B
outmost	93-2136-B,93-2154-B
output	93-2173-B,93-2190-B,93-2211-B,93-2228-B,93-2244-B,93-2261-B
outrageous	93-2274-B
outrigger	93-2297-B
outright	93-2318-B,93-2336-B,93-2357-B,93-2377-B,93-2395-B,93-2412-B,93-2429-B,93-2445-B
outset	93-2464-B
outside	93-2481-B,93-2502-B,93-2528-B,93-2541-B
outsider	93-2555-B
outskirts	93-2573-B,93-2593-B,93-2617-B
outsmart	93-2633-B
outspoken	93-2656-B,93-2674-B,93-2691-B,93-2709-B
outspokenly	93-2727-B
outspokenness	93-2748-B
outstanding	93-2774-B,93-2794-B,93-2817-B
outstretched	93-2839-B
outstrip	93-2864-B,93-2888-B
outvote	93-2909-B
outward	93-2932-B,93-2954-B,93-2982-B
outwardly	93-3002-B,93-3021-B
outwear	93-3044-B
outweigh	93-3063-B
outwit	93-3084-B
outworn	93-3105-B
oval	93-3127-B,93-3137-B
ovation	93-3149-B
oven	93-3164-B,93-3174-B
over	5-1723-S,27-1113-S,58-3364-S,59-3067-S,63-245-S,63-262-S,75-2518-S,93-3189-B,93-3197-B,93-3206-B,93-3214-B,93-3225-B,93-3236-B,93-3250-B,135-988-S,139-2289-S,139-2308-S,145-2743-S
over population	93-3258-B
overact	93-3288-B
overall	93-3308-B,93-3327-B,93-3341-B,93-3360-B,93-3376-B
overawe	93-3393-B
overbearing	93-3413-B,93-3435-B,93-3457-B
overburden	93-3478-B,93-3503-B
overcast	93-3528-B,93-3547-B
overcome	93-3568-B,93-3586-B
overcrowded	93-3609-B
overdo	93-3633-B
overdue	93-3652-B
