hexagonal	65-1454-B
hiatus	65-1479-B,65-1492-B
hibernation	65-1507-B
hiccough	65-1533-B
hiccup	65-1550-B
hidden	65-1565-B,65-1579-B
hide	65-1593-B,65-1606-B,65-1620-B,65-1632-B,65-1646-B,65-1658-B
hide and seek	65-1673-B
hideous	65-1706-B,65-1721-B
hierarchy	65-1738-B
high	65-1759-B,65-1771-B,65-1783-B
high handed	65-1795-B,65-1817-B
high powered	65-1838-B,65-1857-B
highly	65-1876-B,65-1890-B,65-1904-B
highness	65-1918-B
highway	65-1938-B,65-1957-B
hijack	65-1971-B
hijacker	65-1986-B
hijacking	65-2004-B
hike	65-2023-B
hilarious	65-2038-B
hill	65-2056-B,65-2067-B,65-2079-B,65-2093-B,65-2105-B,65-2119-B
hilltop	65-2136-B,65-2151-B
hilly	65-2172-B
hilt	65-2191-B,65-2204-B,65-2221-B,65-2234-B
him	65-2246-B,65-2255-B
himself	65-2264-B,65-2276-B,65-2291-B
hind	65-2305-B,65-2316-B
hinder	65-2328-B,65-2350-B
hindrance	65-2371-B
hinduism	1-359-B
hinge	65-2392-B,65-2406-B,65-2422-B
hinny	65-2435-B
hint	65-2446-B,65-2458-B,65-2483-B,65-2500-B,65-2516-B
hip	65-2530-B
hippo	65-2541-B
hippopotamus	65-2557-B
hire	65-2580-B,65-2597-B
hire out	65-2612-B
his	65-2631-B
hiss	65-2640-B,65-2653-B
historian	65-2662-B
historic	65-2681-B
historical	65-2702-B
historiographer	65-2725-B
history	65-2750-B,65-2767-B
hit	65-2786-B,65-2795-B,65-2804-B,65-2812-B,65-2825-B,65-2836-B,65-2849-B,65-2863-B,65-2875-B,65-2889-B
hitch	65-2902-B,65-2919-B
hitchhiker	65-2938-B
hither	27-1155-S
hitherto	65-2963-B,65-2983-B
hive	65-2999-B
hoard	65-3007-B,65-3024-B,65-3036-B,65-3048-B
hoarse	65-3063-B
hoax	65-3080-B,65-3092-B
hobble	65-3106-B
hobby	65-3120-B
hobgoblin	65-3132-B
hockey	65-3151-B
hoe	65-3164-B,65-3183-B
hog	65-3194-B,65-3205-B
hogwash	65-3217-B
hoist	65-3233-B,66-0-B,66-17-B
hokum	66-29-B,66-43-B,66-56-B
hold	66-70-B,66-88-B,66-108-B,66-122-B,66-134-B
hold down	66-148-B
hold on	66-167-B
hold out	66-183-B,66-203-B
hold up	66-220-B,66-239-B
holder	66-258-B,66-273-B,66-290-B
holding	66-310-B,66-329-B
hole	66-349-B,66-363-B,66-375-B,66-386-B,66-400-B
holiday	66-412-B,66-426-B,66-442-B
holidaymaker	66-459-B
holidays	66-483-B
holland	66-500-B
holler	66-517-B
hollow	66-534-B,66-550-B,66-563-B,66-577-B,66-597-B,66-613-B,66-626-B
holly	66-646-B
holocaust	66-663-B
holography	66-681-B
holy	66-703-B
homage	66-717-B
hombre	66-730-B
home	10-1972-S,66-747-B,66-756-B,66-779-B,66-797-B
homeland	66-811-B
homeless	66-829-B
homelike	66-847-B
homely	66-866-B,66-880-B
homeopath	66-897-B
homespun	66-917-B
homework	66-933-B
homey	66-950-B
homicidal	66-966-B
homicide	66-986-B
homoeopath	66-1006-B
homoeroticism	66-1027-B
homogeneous	66-1056-B,66-1081-B
homosexuality	66-1104-B
honcho	66-1133-B
hone	66-1145-B,66-1158-B
honest	66-1172-B,66-1189-B,66-1202-B,66-1216-B,66-1231-B
honestly	66-1246-B,66-1264-B
honesty	66-1281-B,66-1301-B
honey	66-1321-B,66-1333-B
honeymoon	66-1350-B,66-1377-B
honeysuckle	66-1406-B
honk	66-1429-B
honor	66-1445-B,66-1461-B
honorarium	66-1479-B
honorary	66-1501-B
honour	66-1519-B,66-1534-B,66-1551-B,66-1564-B,66-1581-B,66-1600-B
honourable	66-1616-B,66-1637-B,66-1657-B
honoured	66-1679-B
