gumka do scierania	47-3033-B
gust	54-538-B,54-591-B,54-669-B,62-1609-B,79-788-B,79-1165-B,116-2240-B,133-1284-B
gustowny	88-1641-B,133-1376-B
guz	81-993-B
guzik	19-2371-B,76-1625-B,129-3205-B
guzika	19-2400-S
gwara	122-2550-B
gwarancja	10-1187-B,62-256-B,62-380-B,100-2071-B,118-1202-B,131-2773-B,145-2004-B
gwarant	62-339-B
gwarantowac	47-414-B,62-276-B,145-1951-B
gwałcic	144-1334-B
gwałt	55-1107-B,144-1370-B
gwałtownie	144-1450-B
gwałtowny	52-1463-B,52-2817-B,57-1554-B,68-3872-B,96-779-B,107-3213-B,139-1813-B,143-1898-B,144-1403-B,147-558-B
gwiazda	10-1452-B,127-1434-B
gwiazdka	99-1919-B
gwiazdozbior	30-1479-B
gwint	135-2017-B
gwizd	146-2717-B
gwizdac	66-1909-B,146-2731-B
gwizdek	146-2748-B
gwoźdź	87-3000-B,125-3251-B
gzyms	31-3315-B
gładki	54-280-B,59-2373-B,101-1392-B,122-2999-B,123-152-B,123-2318-B,141-3794-B
gładko	123-2382-B
głaskac	21-1307-B,55-142-B,129-2578-B
głaz	17-1045-B
głeboki	36-2411-B,104-2585-B,125-27-B
głeboko	36-2426-B
głod	51-783-B,67-1314-B,127-1797-B
głodny	67-1328-B
głodowac	51-816-B,59-3000-B,67-1296-B,127-1815-B
głos	125-15-B
głosic	102-2132-B
głosnik	80-2826-B,125-1502-B
głosno	5-3177-B,80-2661-B,80-2721-B,80-2810-B,89-1830-B,142-1950-B
głosnosc	145-17-B
głosny	51-553-B,80-2675-B,104-3491-B,112-2401-B
głosowac	12-1595-B,145-259-B
głosowanie	12-1576-B,101-1597-B,101-1630-B,145-242-B,145-329-B
głowa	21-491-B,64-1042-B,64-1273-B,89-1724-S
głowe	14-1132-S
głowica	64-1054-B
głowica bojowa	145-1771-B
głowka	64-1068-B,64-1288-B
głownie	24-168-B,81-2891-B,103-3837-B
głowny	24-114-B,81-2838-B,81-3183-B,103-3490-B,103-3740-B
głowy	64-1201-S,64-1222-S,64-1248-S
głuchoniemy	35-2790-B
głuchota	35-2859-B
głuchy	35-2777-B
głupi	9-2412-B,17-1982-B,35-711-B,37-2977-B,39-2481-B,43-2487-B,51-2619-B,55-442-B,68-41-B,69-2908-B,121-2818-B,130-303-B,135-430-B,147-2115-B
głupiec	16-199-B,16-2511-B,16-2642-B,24-2156-B,39-2736-B,42-877-B,42-1471-B,43-2679-B,43-2725-B,55-381-B,62-2899-B,68-0-B,74-2015-B,76-1964-B,80-1441-B,89-1507-B,90-1260-B,99-1793-B,121-3063-B,136-2496-B
głupio	130-373-B
