rzeźnia	122-2808-B
rzeźnik	19-2243-B
rzodkiew	107-2945-B
rzodkiewka	107-2961-B
rzucac	21-2856-B,24-2059-B,35-2038-B,54-1348-B,67-1625-B,97-813-B,99-2246-B,123-550-B,135-2650-B,137-485-B
rzucajacy sie w oczy	30-1083-B
rzut	21-2869-B,54-1362-B,135-2664-B
rzutki	3-374-B
rzutowac	104-3167-B
rzym	114-1556-B
rzymski	114-1456-B
rżec	88-2964-B
sabotaż	115-1736-B
sabotażysta	115-1774-B
sabotowac	115-1754-B
sacharyna	115-1819-B
saczyc sie	92-547-B,138-2882-B
sad	14-1935-B,32-2725-B,75-1194-B,75-1225-B,92-2469-B,138-2467-B
sad konkursowy	75-1981-B
sadowa	22-584-S,138-2444-S
sadownictwo	75-1239-B,75-1301-B,75-1896-B
sadowy	75-1263-B,75-1853-B
sadysta	115-2047-B
sadystycznie	115-2083-B
sadystyczny	115-2062-B
sadyzm	115-2033-B
sadza	123-2492-B,124-2573-B
sadzawka	101-1852-B
sadzic	14-1486-B,30-488-B,49-2152-B,53-94-B,61-3091-B,66-108-B,75-1065-B,100-686-B,108-477-B,109-2154-B,131-2330-B,135-934-B
sadło	51-2208-B
safari	115-2124-B
saksofon	116-2454-B,116-2467-B
sala	62-2974-B,115-3012-B
sala gimnastyczna	62-1838-B,62-1860-B
salon	43-210-B,95-2023-B,95-2067-B,115-2985-B,115-3024-B
salonik	95-2036-B,95-2051-B
salto	54-1389-B,124-2004-B
salut	116-201-B
salutowac	116-214-B
salwa	57-2110-B,114-2451-B,116-232-B,116-420-B,144-3199-B
sam	5-3084-B,65-2264-B,80-1590-B,92-128-B,116-460-S,124-1158-B,140-910-B,143-3350-B,148-2306-B
samica	52-1057-B
samo	9-1823-S,47-2399-S,48-1679-S,116-446-S,116-473-S,141-1561-S
samobojstwo	118-2338-B,130-3125-B
samochod	11-1619-B,11-1835-B,21-524-B,21-1797-B,21-2105-B,26-694-B,86-3501-B
samochwalstwo	16-1434-B
samodzielny	11-1903-B,70-2260-B,118-2536-B,119-217-B
samogłoska	145-379-B
samoistny	11-1926-B,70-2284-B,118-2561-B,119-238-B
samokontrola	118-2260-B
samokrytyka	118-2286-B
samolot	4-784-B,5-448-B,5-557-B,100-473-B
samolot mysliwski	52-3137-B
samoprzylepny	118-2170-B
samorzad	11-1966-B,118-2394-B
samotnik	109-2305-B
samotnosc	80-1552-B,124-1553-B
samotny	5-3094-B,80-1601-B,124-1536-B
samowolny	8-2061-B,65-1795-B,147-640-B
samowystarczalnosc	11-1066-B,118-2501-B,118-2584-B
