kredyt	33-1470-B,80-400-B,139-853-B
kreg	143-3158-B,143-3173-B
kregosłup	12-30-B,12-234-B,107-2306-B,126-43-B
kregowiec	143-3189-B
krem	33-1069-B
kremacja	33-1664-B
krematorium	33-1683-B,33-1707-B
krepa	33-558-B,33-1729-B
kreska	35-1998-B,79-1580-B,114-2580-B,129-2595-B
kreslarz	42-2786-B
kret	86-858-B
krety	119-956-B,122-682-B,137-326-B,147-1019-B
kretyn	33-1863-B,39-1229-B,60-1233-B,68-28-B,68-1475-B,86-2922-B,89-1345-B
krew	16-292-B,28-2524-S,79-115-B
krew w żyłach	16-337-S
krewetka	121-1046-B
krewna	110-3304-B
krewni	76-411-B,76-870-B,76-1083-B,110-3591-B
krewny	110-3320-B,110-3512-B
krochmal	127-1447-B
krochmalic	127-1463-B
kroczyc	129-1984-B,145-1040-B
kroic	21-2350-B,24-1522-B,34-3002-B,95-1757-B,123-97-B
kroj	34-3013-B
krok	83-2376-B,94-1443-B,128-230-B,138-1503-B,138-3467-B
krokodyl	33-2456-B
krol	76-972-B
krolestwo	76-983-B,109-339-B
krolewna	103-3660-B
krolewski	76-1002-B,76-1022-B,81-3140-B,107-539-B,110-1713-B,114-2795-B
krolik	29-1371-B,107-2103-B
krolowa	107-513-B
kromka	123-110-B
kronika	24-1915-B
kronika filmowa	89-583-B
kropic	126-2025-B
kropka	42-1698-B,74-1731-B,97-3184-B,101-274-B,126-1334-B,128-2307-B
kropkowac	42-1709-B
kropla	43-975-B,43-1387-B
krosta	99-1476-B,126-1346-B
krotki	18-970-B,79-2970-B,120-3002-B
krotkotrwały	120-3073-B,138-309-B
krotkowzrocznosc	87-2698-B,88-1563-B,121-234-B
krotkowzroczny	87-2725-B,88-1420-B,88-1535-B,120-3100-B,121-205-B
krowa	32-3317-B
krtani	77-695-S
krtań	77-723-B
kruchy	18-168-B,18-1814-B,37-1005-B,54-1303-B,56-1047-B,56-1166-B,56-1415-B,56-2630-B,120-2989-B
krucjata	34-168-B
krucyfiks	33-3270-B
kruk	108-2436-B
krupier	33-3015-B
kruszec	92-3228-B
kruszyc	34-118-B
krwawic	15-2736-B
krwawienie	15-2769-B,62-2409-B,65-321-B
krwawy	16-550-B,60-1417-B,116-821-B
krwi	16-412-S,16-435-S
krwiożerczy	16-477-B
krwotok	15-2789-B,62-2432-B,65-343-B
kryc	120-1326-B
krykiet	33-2011-B
kryminalny	33-2081-B
kryminał	74-2184-B,122-2422-B,146-2950-B
krypta	34-545-B
krystaliczny	34-636-B
krystalizowac	34-661-B
kryształ	34-618-B
kryterium	33-2271-B,83-2389-B,127-1074-B
krytyczny	33-2326-B,33-3212-B
krytyk	33-2291-B,113-1060-B
krytyka	33-2345-B,33-2385-B
krytykowac	33-2363-B
kryzys	33-2226-B,33-2240-B
krzaczasty	19-1834-B
krzak	19-1812-B,121-1217-B
krzemień	54-1373-B
krzepki	19-1376-B,63-2052-B,81-1485-B,102-1517-B,109-3613-B,114-1021-B,128-3137-B,129-2743-B,130-390-B,137-1055-B,144-931-B,144-1632-B
krzepnac	26-773-B,29-2619-B,34-1578-B
krzesło	22-2859-B,128-2236-B
krzew	19-1823-B,121-1229-B
krzyczec	13-2035-B,14-1647-B,20-880-B,25-202-B,34-407-B,66-517-B,108-1147-B,114-836-B,117-2043-B,121-413-B,121-920-B,126-2551-B,144-2810-B,148-1724-B
krzyk	20-895-B,25-118-B,25-220-B,34-421-B,93-1539-B,117-2060-B,121-429-B,121-517-B,121-937-B,144-2851-B
krzykliwy	25-167-B,53-3168-B,54-251-B,58-406-B,58-911-B,80-2706-B,80-2768-B,81-1224-B,89-1863-B,121-983-B,133-1728-B,142-1993-B,144-2913-B
krzyknac	34-491-B,121-441-B
krzywa	34-2508-B
krzywda	63-2750-B,71-3569-B,148-1236-B
krzywic	34-2537-B
krzywizna	34-2466-B,34-2521-B,54-1101-B
krzywoprzysiestwo	97-3630-B
krzywy	11-3226-B,12-2112-B,33-2584-B,90-2683-B,148-1363-B
krzyż	33-2694-B,33-3289-B
krzyżowac	33-2707-B
krzyżowka	33-2725-B,33-2993-B
ksiadz	24-2268-B,103-3314-B
ksiaże	43-2357-B,103-3623-B
ksiażeczka bankowa	96-597-B
ksiażka	16-2697-B
ksiażka adresowa	40-286-B
ksiażkowy	16-3085-S
ksiega kasowa	21-2596-B
ksiegarnia	16-3042-B,16-3063-B
ksiegarz	16-2986-B
ksiegowac	16-2712-B
ksiegowosc	2-2344-B,2-2418-B,16-2877-B
ksiegowy	2-2397-B,16-2856-B
ksiegozbior	78-3126-B
ksiestwo	103-3640-B,103-3814-B
ksieżna	43-2114-B,103-3679-B
ksieżniczka	103-3698-B
ksieżyc	86-2355-B
ksieżyca	86-2370-S
kształcic	44-3061-B
kształt	52-3288-B,55-2601-B,86-799-B,87-103-B,120-142-B,120-157-S
kształtny	88-1655-B
kształtowac	51-1846-B,55-2615-B,56-1192-B
kształtowanie	120-253-B
kto	146-2283-B,146-2924-B
ktokolwiek	7-2083-B,7-2211-B
ktorego	147-218-B
ktory	134-2898-B,146-1896-B,146-2293-B,146-2932-B
ktorys	124-1830-B
ktos	7-2102-B,7-2229-B,92-41-B,124-1914-B,124-1972-B
ku	136-1790-B,137-1441-B,137-1471-B
kuba	34-702-B
kubek	75-1366-B,87-1282-B,139-1656-B
kubeł	18-2983-B,94-2426-B,139-1386-B
kuc	55-2195-B
kucharka	31-2265-B
kucharz	31-2279-B
kuchenka	31-2307-B,108-849-B,129-0-B
kuchnia	34-893-B,76-1209-B
kucyk	101-1988-B
kufel	87-1292-B
kufer	23-3394-B,139-740-B
kuglarz	29-3246-B,29-3298-B,46-896-B,81-2210-B,81-2602-B,124-2775-B,147-2215-B
kukiełka	42-750-B,42-805-B,82-2685-B,106-1004-B
kukurydza	31-3191-B,81-3124-B
kukułka	34-806-B
kula	12-1410-B,17-1475-B,19-382-B,34-374-B,59-1996-B,82-2407-B,92-2413-B,97-723-B,121-283-B,125-3093-B
kulawy	57-3127-B,76-3089-B
kulec	65-3106-B,79-1439-B
kulinarna	31-2323-S
kulisty	59-2021-B,125-3147-B
kulka	12-1420-B,19-394-B,97-735-B,121-293-B
kulminacyjny	25-2216-S
kuloodporny	19-458-B
kult	34-998-B,148-357-B
kultura	24-3285-B,34-1148-B
kulturalny	34-1093-B
kulturowy	34-1113-B
kultywowac	34-1027-B,109-2226-B
kumpel	18-2404-B,18-3208-B,24-2116-B,26-1127-B,52-794-B,83-1116-B,94-2872-B,121-1718-B
kumulowac	2-2612-B
kundel	34-1484-B,86-1484-B
kunszt	9-1006-B,9-1675-B,33-272-B,122-1646-B
kupa	13-1520-B,25-291-B,64-1784-B,87-199-B,99-1103-B,126-3173-B
kupic	19-2429-B,106-1068-B
kupiec	19-1992-B,19-2463-B,35-3003-B,84-1438-B,84-1478-B,86-1470-B,106-1171-B,115-2890-B,120-2771-B,128-2786-B,137-2087-B,137-2122-B
kupiecki	84-1376-B
kupno	106-1084-B
kupon	32-2303-B,145-348-B
kupujacy	19-2476-B,46-493-B,106-1188-B,120-2864-B,120-2898-B
kura	56-889-B,65-375-B
kuracja	34-1638-B,138-1764-B
kurator	62-609-B,139-1001-B
kurcz	31-2195-B,33-406-B,125-1384-B
kurczatko	24-29-B
kurczenie sie	121-1139-B
kurczowo	31-2229-B
kurczyc sie	44-571-B,121-1081-B
kurek	26-1270-B
kurier	32-2509-B,84-2110-B
kuriozalny	106-2947-B
kurnik	65-499-B
kurs	25-939-B,32-2629-B,108-1628-B
kursor	34-2306-B,101-605-B
kursowac	115-907-B
kurtka	26-941-B,74-2077-B
