letter of credit	102-3323-B
lettered	102-3389-B
lettering	102-3408-B,102-3427-B
letterpress	102-3448-B
letters	103-0-B
letting	103-16-B,103-32-B,103-50-B
lettuce	103-63-B
letup	103-79-B
leukaemia	103-98-B
leukemic	103-117-B
leukocyte	103-136-B,103-156-B
levee	103-176-B,103-189-B
level	103-200-B,103-216-B,103-234-B,103-248-B,103-262-B,103-278-B,103-292-B,103-309-B,103-321-B,103-334-B,103-349-B,178-3032-S
level flight	107-470-S
level headed	103-386-B
level off	103-366-B
levelling	103-411-B
lever	103-434-B,103-445-B
leverage	103-461-B,103-480-B
leviathan	103-498-B,103-516-B
levity	103-534-B,103-552-B
levulose	103-574-B
levy	103-593-B
lewd	103-603-B,103-617-B
lewdness	103-629-B
lexical	103-650-B
lexicographer	103-668-B
lexicography	103-695-B
lexicon	103-722-B,103-741-B,103-757-B
liability	103-777-B
liable	103-798-B,103-815-B,103-835-B
liaison	103-851-B
liar	103-869-B,103-883-B,103-898-B
lib	4-1716-S,4-1736-S,4-1756-S
libel	103-912-B,103-927-B,103-946-B
liberal	103-960-B,103-977-B,103-994-B
liberalism	103-1011-B
liberality	103-1034-B
liberalization	103-1057-B
liberalize	103-1089-B
liberate	103-1114-B
liberation	103-1132-B
liberator	103-1155-B
libidinous	103-1176-B,103-1195-B
librarian	103-1217-B
library	103-1241-B,103-1260-B
librettist	103-1277-B
libretto	103-1300-B
licence	54-2528-S,103-1318-B,103-1341-B,103-1357-B,103-1375-B,103-1391-B,103-1416-B
license	103-1433-B,103-1456-B,103-1472-B
licentious	103-1490-B,103-1511-B,103-1533-B
licentiousness	103-1555-B,103-1583-B
lick	103-1612-B,103-1627-B,103-1640-B,103-1653-B,103-1666-B
lickerish	103-1681-B,103-1699-B
licking	103-1716-B,103-1736-B,103-1752-B,103-1766-B,103-1782-B,103-1800-B
licorice	103-1818-B
lid	103-1838-B,103-1851-B,103-1863-B,103-1876-B,103-1890-B,103-1903-B
lie	103-1916-B,103-1926-B,103-1947-B,103-1959-B,103-1971-B
lie about	103-1984-B
lie down	103-2003-B,103-2022-B
lief	103-2041-B
liege	103-2057-B
lieutenant	103-2072-B,165-1565-S
life	103-2091-B,103-2103-B,103-2118-B,103-2132-B
lifebelt	103-2142-B
lifeguard	103-2162-B
lifeless	103-2180-B,103-2199-B
lifelike	103-2215-B
lifer	103-2235-B
lifesaver	103-2253-B
lifetime	103-2271-B
lift	29-2081-S,103-2285-B,103-2297-B,103-2312-B,103-2325-B,103-2340-B,103-2352-B,103-2370-B,103-2388-B,103-2406-B
lift up	103-2421-B,103-2436-B
lifter	103-2454-B
lifting	103-2473-B
ligament	103-2494-B
ligate	103-2513-B
ligation	103-2527-B
ligature	103-2545-B,103-2561-B
light	71-2071-S,103-2579-B,103-2595-B,103-2608-B,103-2621-B,103-2638-B,103-2655-B,103-2673-B,103-2687-B,103-2699-B,103-2710-B,103-2721-B,103-2736-B,103-2754-B
light bulb	103-2767-B
light hearted	103-2809-B,103-2831-B,103-2850-B
light year	103-2788-B
lighten	103-2871-B,103-2889-B,103-2909-B,103-2928-B
lighter	31-1257-S,103-2946-B,103-2964-B,103-2986-B
lighthearted	103-3006-B,103-3029-B
lightheartedness	103-3047-B
lighthouse	103-3075-B
lighting	103-3091-B
lightly	103-3114-B
lightness	103-3134-B
lightning	103-3155-B,103-3172-B,103-3190-B,103-3206-B
lightning bug	103-3223-B
lightning rod	103-3246-B
lightproof	103-3272-B
lightship	103-3300-B
lightweight	103-3320-B
ligneous	103-3340-B,103-3357-B
lignify	103-3373-B
lignin	103-3394-B
lignite	103-3409-B
likable	103-3425-B
like	103-3443-B,103-3454-B,103-3464-B,103-3477-B,103-3491-B,104-0-B,104-13-B,104-25-B,104-42-B,104-54-B,106-1321-S
like this	104-66-B
likeable	104-81-B
liked	104-100-B
likelihood	104-116-B
likeliness	104-143-B
likely	104-170-B,104-184-B,104-203-B,104-220-B,104-241-B,104-260-B
liken	104-278-B,104-294-B
likeness	104-311-B,104-334-B
likewise	104-355-B,104-376-B
liking	104-396-B,104-409-B,104-429-B
lilac	104-447-B,104-459-B
liliaceous	104-475-B
lilt	104-496-B
lily	104-509-B
lily of the valley	104-521-B
limb	104-549-B,104-559-B
limber	104-571-B,104-584-B
limbo	104-598-B,104-610-B
lime	104-622-B,104-633-B,104-648-B
limekiln	104-660-B,104-677-B,104-703-B
limestone	104-727-B,104-745-B
limit	104-771-B,104-791-B,104-805-B,104-822-B,104-838-B,104-853-B,104-866-B,104-884-B,104-898-B,104-910-B
limitation	104-924-B,104-947-B
limited	104-970-B,104-987-B
limiter	104-1005-B
limitless	104-1024-B,104-1045-B
limonite	104-1066-B
limousine	104-1084-B,104-1102-B
limp	104-1122-B,104-1136-B
limpid	104-1151-B
limy	104-1166-B
linchpin	104-1180-B,104-1196-B,104-1212-B
linden	104-1227-B
line	7-269-S,7-288-S,104-1241-B,104-1254-B,104-1268-B,104-1279-B,104-1295-B,104-1309-B,104-1328-B,104-1338-B,104-1349-B,104-1365-B,104-1376-B,104-1386-B,104-1398-B,104-1408-B,104-1418-B,104-1430-B,104-1442-B,104-1453-B,104-1464-B,104-1476-B
line up	104-1487-B,104-1505-B
linear	104-1526-B
lined	104-1541-B,104-1556-B,104-1569-B
linen	104-1582-B
linesman	104-1596-B,104-1617-B
linger	104-1637-B,104-1655-B,104-1670-B
lingo	104-1687-B
lingua	104-1699-B
linguist	104-1713-B,104-1733-B
linguistic	104-1752-B,104-1776-B
linguistics	104-1799-B
liniment	104-1823-B,104-1842-B
lining	104-1860-B,104-1874-B,104-1888-B,104-1906-B,104-1925-B,104-1941-B
link	104-1961-B,104-1976-B,104-1994-B,104-2009-B,104-2025-B,104-2042-B,104-2059-B,104-2075-B,104-2087-B,104-2099-B,104-2114-B,104-2127-B
linkman	104-2138-B
lino	104-2159-B
linoleum	104-2173-B
linotype	104-2191-B
lion	104-2209-B,117-1441-S
lioness	104-2220-B
lionet	104-2237-B
lip	104-2253-B
lipid	104-2264-B,104-2277-B
lipoma	104-2290-B
lipstick	104-2304-B
liquefaction	104-2322-B
liqueur	104-2348-B
liquid	104-2364-B,104-2378-B
liquidate	104-2393-B
liquidation	104-2413-B,104-2438-B
liquidator	104-2463-B
liquidity	104-2486-B
liquidizer	104-2510-B
liquor	104-2532-B,104-2547-B
liquorice	104-2562-B
lira	104-2583-B
lisp	104-2593-B
lissom	104-2611-B,104-2624-B,104-2642-B,104-2660-B
lissome	104-2674-B,104-2690-B,104-2709-B
list	104-2728-B,104-2742-B,104-2755-B,104-2769-B,104-2781-B,104-2798-B,104-2810-B,104-2821-B,104-2834-B,104-2844-B,141-2413-S,141-2432-S
listed	104-2858-B
listen	104-2873-B
listen to	104-2890-B
listener	104-2910-B,104-2931-B
listing	104-2948-B
listless	104-2963-B,104-2980-B,104-2999-B,104-3021-B,104-3040-B
listlessness	104-3059-B,104-3085-B
lit	104-3108-B,104-3119-B
litany	104-3134-B
liter	104-3149-B
literacy	104-3161-B
literal	104-3182-B,104-3200-B
literally	104-3217-B
literary	104-3241-B
literate	104-3261-B,104-3276-B,105-0-B,105-17-B,105-35-B
literature	105-54-B
lithe	105-77-B,105-91-B
lithesome	105-108-B,105-124-B
lithium	105-141-B
lithograph	105-155-B
lithographer	105-177-B
lithographic	105-200-B
lithography	105-225-B
lithuanian	1-1606-B
litigation	105-248-B,105-265-B,105-288-B,105-304-B
litmus	105-324-B
litre	105-341-B
litter	105-353-B,105-368-B,105-383-B,105-401-B
little	1-2283-S,105-416-B,105-432-B,105-445-B,105-458-B,105-471-B,105-485-B,105-507-B,105-523-B,105-540-B,105-555-B,105-570-B,105-587-B,105-598-B,105-613-B,105-625-B,105-639-B,105-653-B
littleness	105-668-B,105-690-B
littoral	105-710-B,105-728-B
liturgical	105-747-B
liturgy	105-768-B
livable	105-785-B,105-803-B
